str_no_string|¡NO STRING!
str_npc24_rehire_speech|¡Ayudadme, {playername}! ¡Me he quedado sin un penique!
str_npc25_rehire_speech|¡Ayudadme, {playername}! ¿Dónde estoy?
str_npc26_rehire_speech|Me gustaría unirme de nuevo a vos.
str_npc27_rehire_speech|Me gustaría unirme de nuevo a vos.
str_npc28_rehire_speech|Me gustaría unirme de nuevo a vos.
str_npc1_home_intro|¡{playername}! ¡Esas son las embrujadas ruinas de Harrenhal!.
str_npc2_home_intro|Nos acercamos a Pentos. ¡Ahí es donde me dirigía cuando ese usurpador orejudo tomó mi nave!
str_npc3_home_intro|¿Podéis oler eso? Limoneros, manzanos y flores de azafrán, ¡es el aroma de Antigua! Pasé muchos veranos felices aquí cuando era niño, jugando en los jardines de la familia de madre mientras padre estaba lejos como mercenario.
str_npc4_home_intro|Ah, Volantis. Astapor es sin duda la ciudad más grande del mundo, pero admito que Volantis tiene un cierto encanto. Al menos los esclavos de este lugar saben respetar la Antigua Sangre.
str_npc5_home_intro|¡{playername}! ¡Poza de la Doncella! ¡Aquí está el estanque donde Florian vio a Jonquil y las seis doncellas bañándose en él!
str_npc6_home_intro|¡Mirad, {playername}! Aquel es el gran castillo de Roca Casterly, ¡hogar de los Lannister!
str_npc7_home_intro|¡Mirad, {playername}, sobre esa colina! ¡Son las torres gemelas del castillo de mi abuelo!.
str_npc8_home_intro|Umm, ¿habéis oído eso? El silencio y las gaviotas. ¿Veis la desolación de este lugar? Estamos cerca de los Dedos, el lugar más olvidado por los dioses en este mundo.
str_npc9_home_intro|¡Aquí está! La bahía de Braavos, ¡la más apestosa, sucia y fea de todas las bahías!.
str_npc10_home_intro|¿Respiráis este aire fresco, {playername}? Este era mi hogar, antes de que partiera en busca de monedas y batallas, en ese orden. Es bueno estar otra vez cerca de este río, el Sangreverde. Es el olor de la libertad. Esta es la cuna de Dorne, aquí, en las afueras de la Ciudad de los Tablones.
str_npc11_home_intro|Veo las montañas. Debemos estar cerca de mi hogar.
str_npc12_home_intro|Estamos muy cerca del lugar donde tuve uno de mis mayores triunfos médicos, si os interesa.
str_npc13_home_intro|Ah, ¡las ruinas de Castamere! Tan encantador castillo se erigía una vez orgulloso a los pies de estas montañas. Seguro que conocéis la historia de Lord Reyne, ¿verdad? No tengo ninguna duda de que habréis escuchado esa canción en honor de Lord Tywin después de que destruyera el castillo.
str_npc14_home_intro|¿Veis aquella ciudad allí adelante, al fondo del valle? Es Norvos. Pasé todo el invierno allí hace alguos años, intentando entrenar a la guardia de la ciudad.
str_npc15_home_intro|¿Veis aquel castillo sobre la colina? Diez Torres lo llaman. Hice algunos trabajos allí, no hace mucho. No es tan llamativo como los demás castillos de estas tierras, pero está hecho con la mejor piedra que hayáis visto.
str_npc16_home_intro|Hey, {playername}, ¿veis aquello? Son las Piedras del Rey Mudd. Estamos cerca de mi lugar de nacimiento.
str_npc17_home_intro|Tyrosh... una de las pocas ciudades en las que no he tenido que huir de un magíster furioso ni de un sucio guardia.
str_npc18_home_intro|Debo advertiros, {playername}. Tras esas colinas se encuentra Blackhold, la aldea de la que escapé.
str_npc19_home_intro|'En la oscuridad, ¡el humo cae como la lluvia! ¡Las llamas son frías!' Un anciano me dijo eso una vez. Ah, no tengo ni idea de lo que significa.
str_npc20_home_intro|Los Pesares... un hogar de bandidos, y de cosas mucho peores.
str_npc21_home_intro|¡Ah, amigo mío! La ciudad de Lys. El lugar que mis antepasados redujeron a cenizas.
str_npc22_home_intro|¡Mirad {playername}! ¡Es Nido de Buitres!
str_npc23_home_intro|¡Mirad {playername}! ¡Es Invernalia!
str_npc24_home_intro|¡Mirad {playername}! ¡Es Chelsted!
str_npc25_home_intro|¡Mirad {playername}! ¡He visto este lugar antes! ¡JUGANDO CON CALAVERAS!
str_npc26_home_intro|{playername}, eso de allí son Los Susurros.
str_npc27_home_intro|Ah, Fuerte Terror. O, bueno, la mayoría de la gente corriendo y gritando de este lugar. No vayais 'ah', como si estuvieran asombrados por él. Supongo que os sentís impresionado al contemplar Fuerte Terror, es enorme. Aunque un lugar horrible, sin embargo.
str_npc28_home_intro|Ladera es por ahí. Las putas son viejas, el vino más viejo aún y los dados llenos de plomo.
str_npc1_home_description|A decir verdad, las historias sobre Harrenhal son un poco exageradas. Eso de que los fantasmas de que Harren el Negro y sus hijos deambulan por el castillo envueltos en llamas, y que la loca Lady Lothston envía sus murciélagos para secuestrar niños que luego cocina y se come, ¡bah!
str_npc2_home_description|La gente dice que los pentoshis son un montón de traicioneros avariciosos, pero creo que simplemente tienen buena cabeza para el comercio, si me preguntáis. Hacen que la gente de un lado y otro de la costa cultiven el lino y ellos lo tejen aquí. No pueden competir con las sedas y terciopelos volantinos en cuanto a tela de lujo, pero sus linos tiene buen uso en verano y se pueden utilizar también en las velas de los barcos. Y lo que es más importante, el lino es uno de los pocos productos que nadie más hacía en Essos, si podéis creerlo.
str_npc3_home_description|Antigua tiene inviernos secos y veranos calurosos, pero la gente de aquí construye grandes canalizaciones para regar sus cultivos. Hacen crecer uvas, y de hecho el vino de Antigua es famoso, {playername}, aquellos que pueden permitírselo se hacen jardines amurallados, donde los árboles frutales crecen en abundancia, y nos sentamos en la noche para escuchar música o jugar al ajedrez, o simplemente disfrutar de los aromas de la noche.
str_npc4_home_description|Mientras mi casa nunca ha negociado extensamente con los Volantinos, sigo teniendo una opinión favorable de ellos. ¡Saben cómo mantener a sus sucios esclavos bajo control! Y allí se entrenan las mejores putas después de Lys. Yo mismo tuve una vez el placer de yacer con una puta entrenada en los caminos de los siete suspiros. ¡Qué noche!, a pesar de su coño estaba demasiado usado para mi gusto.
str_npc5_home_description|¡Imaginadlo! Vais cabalgando de torneo en torneo, sin perder nunca una contienda, y encima, ¡os encontráis con las muchachas más hermosas de estas tierras, tan desnudas como el día que vinieron al mundo!
str_npc6_home_description|¡Que visión tan imponente! He visto muchos castillos a lo largo de Poniente, ¡pero nunca imaginé nada parecido a esto!
str_npc7_home_description|Mirad esos altos muros y las almenas que los guardan. En verdad, ¡Los Gemelos son uno de los castillos más grandes de todo Poniente! Solía nadar en ese río de niño, y tomé por primera vez a una chica entre aquellos árboles de allá.
str_npc8_home_description|¿No habiais oído hablar de este lugar? No me sorprende. Los Dedos son la región más remota del Valle de Arryn, y quizás antaño fueran un lugar agradable, pero hoy no. Durante una de las frecuentes guerras entre el Rey en el Norte y el Rey de la Montaña y el Valle, un ejército norteño cayó sobre los Dedos y se dedicó a violar, saquear y quemar absolutamente todo. Los Dedos han sido una comarca desolada desde entonces.
str_npc9_home_description|Los Braavosi son gente vil, todos ellos descienden de esclavos, ninguno de ellos se lava más de una vez al día. Hmf, me estremezco incluso de pensarlo. ¡Y ellos no permiten la esclavitud! ¡Incluso la impusieron en Pentos, en esa guerra que ganaron a través de la traición y el engaño!
str_npc10_home_description|En los tiempos de mis antepasados, cuando Valyria todavía gobernaba el mundo, los rhoynar dirigieron un ejército contra los señores de los dragones. Fueron completamente aplastados, así que la Reina Nymeria navegó con todos su pueblo al otro lado del Mar Angosto, desembarcando en Dorne, donde se casó con Mors Martell y juntos unificaron todo Dorne bajo su dominio.
str_npc11_home_description|Soy de una pequeña aldea, cerca de Colina Cuerno- Ya sabéis lo que dicen, {playername} -- 'La cebada que crece en Colina Cuervo se hace cerveza en Antigua, y todos salimos ganando con ello'. No sé bien qué significa, {playername}, pero es verdad eso de la cebada. Y el trigo, y la avena. Aquí a la sombra de la Casa Tarly cosechamos más grano que en todo el resto de los Siete Reinos, y nuestra cerveza es la mejor, también.  Lo podéis ver en el suelo... es negro y rico y huele a buenas cosechas y a barrigas llenas.
str_npc12_home_description|El viejo caballero de Piedratormenta, Ser Meribald Massey, tenía un edema y pidió que le trajeran un maestre de Antigua. Como el típico curandero de la Ciudadela, fue directo al Gran Maestre Ellendor a por una cura. Ellendor le recomendó mercurio para el edema. Ahora bien, la mayoría de los escritos de Ellendor eran inútiles en los tiempos de los días de los reyes Targaryen, cuando acababan de ser escritos, y lo son más aún ahora, pero a veces acertaba con la cura por casualidad: mercurio cura algunos casos de edema, en pequeñas dosis. Si embargo, el mercurio en dosis altas es venenoso, algo que los adoradores de Ellendor nunca entendieron.
str_npc13_home_description|Dicen que el padre de Lord Tywin era un hombre necio y débil. Aunque no lo dicen en presencia de Tywin Lannister. De todos modos, los señores Reyne y Tarbeck rebelaron contra su señor feudal, aunque no recuerdo el por qué. Probablemente debido a alguna tontería, como una mujer o quizás oro.
str_npc14_home_description|Digo 'intentando' porque los norvoshis no son muy dados a la disciplina. Son arqueros excepcionales como jamás habéis visto, y buenos jinetes también, pero no tienen estómago para luchar en el cuerpo a cuerpo. Sus habilidades les valen contra bandidos y mercenarios, sobre todo cuando pueden ocultarse detrás de sus muros, pero los dothrakis podemos diezmarlos flecha a flecha, y he visto un khalasar atravesando su infantería como un cuchillo corta la mantequilla.
str_npc15_home_description|Como la mayoría de los castillos que abundan por aquí, datan de tan antiguo como la misma tierra que hay bajo sus cimientos. Quizás no podáis verlo por las sucesivas ampliaciones, pero los bloques de piedra son cada uno del tamaño de una casa. Debieron valerse de gigantes en aquellos tiempos, porque no entiendo cómo pudieron mover esa piedra de otro modo. Y el entorno es hermoso también... Diez Torres se encuentra justo frente a las minas de Harlaw, lo que permite que el señor cobre un dineral en comisiones.
str_npc16_home_description|Supuestamente, esas piedras fueron levantadas por los antiguos reyes Mudd, que gobernaron las Tierras de los Ríos hace miles de años. Se suponía que eran imbatibles en el campo de batalla, pero perdieron la última batalla. El último Rey de la Casa Mudd recibió una flecha que le atravesó la nariz. Su castillo se llamaba... bueno, eso nadie lo sabe, pero le llamamos Piedrasviejas desde entonces.
str_npc17_home_description|Antes de conoceros, estuve viajando durante unos meses por todo Essos. ¡Los señores y las damas venían a verme cantar! Pero, por desgracia, ¡los gobernantes de las Ciudades Libres son envidiosos! Siempre encontraban alguna razón para echarme de sus palacios, bien por mi voz única o bien por los efectos que provocada en sus hermosas hijas.
str_npc18_home_description|Solía ser un lugar próspero en mitad de las rocas. Todos nos repetábams y amábamos al anciano de la aldea, pues así lo merecía. Siempre estaba viajando, de un pueblo vecino a otro, para mejorar nuestra posición. Un día olvidó algo y regresó antes de tiempo, sólo para encontrar a su esposa en la cama con un esclavo inmenso. Inmediatamente blandió su espada y mató a ambos.
str_npc19_home_description|El mismo hombre me vendió un excelente caparazón de mantícora, así que no fue un descubrimiento totalmente inútil.
str_npc20_home_description|Aquellas son las ruinas de Chroyane, la Ciudad Festival. Aquello de allí es el Puente de los Sueños, y el gran palacio, o las ruinas de lo que queda de él, es el antiguo Palacio del Amor. Chroyane era el orgullo de los rhoynar.
str_npc21_home_description|He oído que los lysenos todavía hacen una ofrenda cada año, para celebrar el hecho de que toda la ciudad no pereciera en aquel terrible incendio. En verdad, la pólvora es algo demoníaco.
str_npc22_home_description|Nido de Buitres era el castillo del Rey Buitre. Se levantó en rebelión durante el reinado de Daeron II, nombrándose rey a sí mismo.
str_npc23_home_description|Invernalia ha sido el bastión de los Stark durante miles de años. Bran el Constructor lo levantó con ayuda de la magia y se coronó primer Rey en el Norte.
str_npc24_home_description|¡La gente dice que aquí es donde nació Aemon el Caballero Dragón! ¡Y mi tío solía contarme que Garth Manoverde fue enterrado debajo de nuestra granja!
str_npc25_home_description|¿Dónde he visto este lugar antes, {playername}? ¿Qué hacemos aquí?
str_npc26_home_description|Es el lugar donde los Reyes de Punta Zarpa Rota solía tener su asiento. Algunos del pueblo llano cuentan una historia tonta sobre magos, cabezas cortadas y caballeros gigantes cuando escuchan sobre el lugar.
str_npc27_home_description|Los Bolton podría decirse que su reputación es peor que la realidad, pero Roose ... y su bastardo ... No son el tipo de personas que me gustaría conocer.
str_npc28_home_description|Pero eso era de esperar. La gente todavía se lamentan del saqueo. ¡Y han sido casi doscientos años! Los lugareños podrían contaroslo; 'Pasó solo una quincena cuando los traidores se lanzaron sobre la ciudad con sus dragones'.
str_npc1_home_description_2|Aún así, no se puede negar que todas las Casas que han fijado su hogar en este castillo han tenido un fin desafortunado. Las Casas Hoare, Qoherys, Strong, Harroway y Lothston se han extinguido y he oído que Lady Whent también ha muerto. Ha sido asesinada, mejor dicho, cuando los Lannister tomaron el castillo. Sí, quizás el castillo no esté embrujado, pero aún así no deja de ser un mal lugar para vivir, {playername}.
str_npc2_home_description_2|Yo mismo había cargado a bordo azafrán, canela, clavo, pimienta y otras especias, además un cargamento entero de vino del Rejo. Calculé que podría comprar lino, pieles, terciopelo, hierro y lana para cargar las naves a la vuelta y sacarme en total un muy buen dinero. Pero no había reparado en Lord Stannis, al que le importamos un bledo los campesinos.
str_npc3_home_description_2|Los poetas se refieren a Antigua como la ciudad más bella del mundo, y creo que por una vez no exageran. ¿Cómo podrían decir otra cosa teniendo la Ciudadela, el Septo Estrellado y Torrealta justo delante de ellos?
str_npc4_home_description_2|Volantis es gobernado por tres Triarcas, y cada uno gobierna por un año. Cada año los hacendados libres de Volantis eligen un nuevo Triarca o reeligen uno en el cargo. Desde los Años Sangrantes, y la Guerra del Dominio, los Volantinos han mantenido a su comercio y se quedaron fuera de la guerra, en gran parte gracias a las peleas entre los Triarcas.
str_npc5_home_description_2|Supongo que algunos hombres reciben el favor de los dioses. Decid, ¿alguna vez habéis escuchado la historia de Florian el Bufón y su doncella Jonquil? Florian era un apuesto y audaz caballero que un día vio bañarse a Jonquil en este mismo estanque. Estaba tan cautivado que se dispuso a matar al Rey de Punta Zarpa Rota, que estaba aterrorizando la zona, para ganar su favor. Cuando por fin cumplió su cometido, el padre de Jonquil le entregó su mano en matrimonio, ¡pero apenas pasó un año para que ambos murieran! El Rey tenía varios hijos, que irrumpieron en el banquete de boda, con intención de vengarse. Florian se las arregló para acabar con tres de ellos, pero no antes de que Jonquil fuera abatida con una flecha. Y entonces, consumido por el dolor, ¡se postró sobre su propia espada!
str_npc6_home_description_2|Se dice que las cavernas que hay bajo el castillo están llenas de armas, bóvedas inmensas llenas de montañas de monedas de oro, y almacenes repletos de provisiones para años. ¡Y mirad las tierras de alrededor! Nunca había visto tan ricas plantaciones de uva ni unos campos de trigo tan bien cuidados.
str_npc7_home_description_2|¡En verdad, estas tierras son las más prósperas y mejor gobernadas en todo Poniente! Oh, ¿ya se lo dije? Perdone, siento un parentesco especial con estas colinas y sus profundos bosques, después de todo, ¡mi padre es un hijo legítimo de Lord Walder Frey!
str_npc8_home_description_2|Los bardos dicen que fue en represalia porque el Rey Harrold y sus hombres habían secuestrado y violado a la prometida del Rey Edderion el Novio. De todas formas, ¡hubiera estado bien que dejaran algún árbol en pie para suavizar este maldito viento!
str_npc9_home_description_2|Bah, ya me llega el hedor de esta ciudad pantanosa, ¡es como si un pez viejo hubiera violado a una vieira! Será mejor que evitemos esta ciudad, {playername}, seguro que alguno acabaríamos con el cuello rajado si nos acercamos a este mugriento lugar.
str_npc10_home_description_2|Mirad a los Huérfanos del Sangreverde navegando en su barcos pintados arriba y abajo del río. Es su costumbre que los niños saluden a los viajeros con canciones y bailes y por lo general son gente pacífica. En su mayoría se dedican a comerciar a lo largo del río, recogiendo fruta, vendiendo colorantes y haciendo el trabajo duro del campo. Y tienen un conocimiento tan asombroso de las artes curativas, que muchas de sus parteras son más hábiles que muchos maestres incluso.
str_npc11_home_description_2|A decir verdad, ya no recuerdo ni por qué me fui de este lugar. ¡Ah! ¡Claro que me acuerdo! Las putas de estas tierras son todas viejas y arrugadas, y sus coños están tan polvorientos como la mazmorra de Jak de las Sombras, je. Signifique lo que signifique. Como os decía, {playername}, esta tierra es antigua y muchos de sus refranes lo son más aún. Nunca fui capaz de entender la mitad de las cosas que me decía mi padre, y me imagino que él tampoco.
str_npc12_home_description_2|La diferencia entre el veneno y la cura es la dosis. Decídselo a todas las personas que conozcáis, y decidles que os lo dijo Brynden el Sabio. La gente cree que toda la sabiduría digna de ser conocida se encuentra escrita en antiguo valyrio, pero yo os digo que podéis aprender el doble de las matronas de las aldeas y de la naturaleza misma que de toda la librería de la Ciudadela. Por eso me echaron de la Ciudadela, aunque bien pensado fue una bendición. En fin, al final curé a aquel noble y además de darme un saco de dinero, me regaló el cadáver de un criminal recién colgado para estudiarlo. ¡Ja! Y pensar en lo que tenía que hacer por aquel entonces para conseguir un cuerpo.
str_npc13_home_description_2|Creo que pensaron que Lord Tytos era tan pacífico que ni siquiera saldría de su roca, pero no habían contado con el joven Tywin, ¡que apenas tendría diecisiete años en esos momentos! Destruyó sus ejércitos combinados y puso bajo asedio Castamare y Tarbeck. Cuando las murallas cayeron finalmente ante sus catapultas, Lady Reyne se acercó a él de rodillas, con su marido muerto y rogando por la vida de sus pequeños hijos. Tywin Lannister clavo en una pica cada cuerpo de los pequeños y después la ejecutó a ella.
str_npc14_home_description_2|Pero esa es la historia de siempre en estos lares, ¿no? Esos gordos magíster, arcontes y demás... todos temen a los khalasar, y se esconden detrás de altas murallas. Si fueran capaces de preparar correctamente un ejército de lanceros, con arqueros y ballesteros tras ellos, seguramente el próximo Khal que se les acercase se podría llevar una sorpresa.
str_npc15_home_description_2|Y aquí está lo curioso - el viejo Lord Harlaw era un hombre voluble, y él cambió sus diseños una docena de veces. Diez Torres es en realidad diez castillos distintos, soldados entre sí. De todos modos, a pesar de esto, el castillo es sorprendentemente defendible. Me imagino que cualquier enemigo lo tendría difícil por un tiempo para conquistar esta pieza en particular de las Islas del Hierro.
str_npc16_home_description_2|Poniente está lleno de ruinas del pasado. Essos también. Supongo que todo el mundo sigue adelante.
str_npc17_home_description_2|No saben apreciar el auténtico talento, esos gordos vendedores de pescado. ¡Bah!
str_npc18_home_description_2|El engaño de su esposa lo volvió loco y empezó a actuar de un modo cada vez más extraño. Al final, se acostaba con una muchacha distinta cada noche, sólo para colgarlas a la mañana siguiente de yacer con él, para evitar que lo traicionasen de nuevo. ¡Y todo el mundo le deja hacer! Si no os importa, preferiría quedarme a rezagado cuando pasemos por aquí.
str_npc19_home_description_2|¿Alguna vez visteis una manticora, {playername}? Se supone que viven en una isla en el Mar de Jade, pero los nativos se niegan a decirnos donde exactamente.
str_npc20_home_description_2|Cuando los amos de los dragones cayeron sobre el Príncipe Garin, dirigió a más de doscientos mil hombres contra ellos. Pero destruyeron su ejército y se lo llevaron preso, dentro de una jaula de oro, y se burlaban de él. No dejaban de reirse de él mientras invocaba a la Madre Rhoyne para que ahogase a los invasores, pero cuando un maremoto brutal cayó sobre los invasores, sus risas cesaron. Se dice que los espíritus de los invasores se convirtieron en la siniestra niebla que cubre este lugar, y que el Príncipe Garin se convirtió en el Príncipe de los Pesares.
str_npc21_home_description_2|No creo que reciban a un Parren amigablemente, mi señor. Deberíamos continuar.
str_npc22_home_description_2|Se cuenta que estaba totalmente loco, y a menudo hacía como si fuera un buitre de verdad, paseando por el castillo con plumas en la cabeza y comiendo carne podrida.
str_npc23_home_description_2|El Rey Rodrik fue el Rey en el Norte que desafió a los hijos del hierro a un duelo masivo por la Isla del Oso. Él solo tumbó a cien hombres, uno tras otro, hasta que los hijos del hierro cayeron y dejaron la Isla del Oso. Poco después, el Rey Rodrik concedió la isla a la Casa Mormont, y la han mantenido desde entonces como banderizos de los Stark.
str_npc24_home_description_2|¡Y he oído que dijo que Jaehaerys el Sabio llamó a esto el pueblo más bonito de todo el reino! ¡Y mis tíos solían contar la historia de cómo los restos de Vermithor, el gran wyrm llamado Furia de Bronce, fue enterrado bajo esa gran colina de allá!
str_npc25_home_description_2|¡¿Quién soy yo?!
str_npc26_home_description_2|Pero Los Susurros no llevan ese nombre por el susurro de las cabezas cortadas. El sonido viene del mar inundando las cuevas debajo de los acantilados.
str_npc27_home_description_2|Roose siempre se ocupó de que noticias lleguen a los Stark, pero las casas más cercanas a Fuerte Terror escucharon las historias. Pero ¿qué podíamos hacer, rebelarnos contra nuestros señores?
str_npc28_home_description_2|Por supuesto, el saqueo fue horrible, pero han pasado varias generaciones desde la última persona viva que pudiese recordar dicho suceso, ¡por eso digo que deberían haberlo superarlo!
str_npc1_home_recap|Nací en una pequeña aldea cerca de Refugio Estival, {playername}
str_npc2_home_recap|Nací en Valle Oscuro, {playername}, un par de años antes de que ocurriera aquello tan terrible. Toda mi familia estaba fuera cuando Lord Darklyn se rebeló, de lo contrario no estaría hoy aquí. Dirán lo que quieran de Lord Tywin, pero si vais a desafiarlo, más os vale tener un gran ejército a vuestras espaldas.
str_npc3_home_recap|Vivía en la casa de mi padre en Antigua, pero pasé gran parte de mi infancia entre los ríos y el mar, nadando.
str_npc4_home_recap|Mi ancestral y glorioso hogar se encuentra en Astapor, con vistas a la Bahía de los Esclavos, hacia las humeantes ruinas de Valyria.
str_npc5_home_recap|Nací en las praderas del Dominio, cerca de Sotodeoro.
str_npc6_home_recap|Mi familia vive cerca del Viejo Túmulo, pero dudo que quieran saber nada de mí.
str_npc7_home_recap|Nací en una choza en mitad de los pantanos, no muy lejos de {s21}.
str_npc8_home_recap|Nací en una de las islas que hay cerca de los Senos. Imaginad eso, haber nacido en una isla aún menos importante que los Senos...
str_npc9_home_recap|Soy de la poderosa ciudad de Pentos, ¡la más limpia de todas las Ciudades Libres!
str_npc10_home_recap|Nací y me crié en las colinas que rodean el Sangreverde, {playername}, y espero volver allí algún día y formar una familia, tal vez en una pequeña mansión.
str_npc11_home_recap|Nací en una pequeña, y muy pequeña, aldea cerca de Colina Cuerno. Eso me convierte en un auténtico hombre del Domino, ¿no creéis?.
str_npc12_home_recap|Oh, mi padre era un caballero menor, al servicio de la Casa Crane. Viví la mayor parte de mi vida en Antigua, pero ahora viajo por el mundo en busca de conocimiento médico.
str_npc13_home_recap|Oh, realmente nací en Vado Ceniza, {playername}, aunque mi padre era de Tiesa.
str_npc14_home_recap|Soy el hijo menor de Khal Ogo.
str_npc15_home_recap|Soy de Braavos. Pero Poniente es donde se puede hacer dinero en estos días, si vuestro negocio es la poliorcética.
str_npc16_home_recap|Hey, {playername}, nací en Buenmercado, pero mi padre perdió sus tierras por las intrigas de un familiar y tuvo que ponerse al servicio de un señor cercano. Así fue como me convertí en escudero, una manera de intentar tranquilizar a mi padre por el dolor de haber perdido nuestro viejo castillo.
str_npc17_home_recap|Soy de la corte de Lys, pero no he estado allí desde que era niño.
str_npc18_home_recap|Me escapé de Blackhold, donde el anciano de la aldea se dedica a aterrorizar a las muchachas.
str_npc19_home_recap|Nací en la Reina de las Ciudades. ¡Qarth!
str_npc20_home_recap|He trabajado por todo Essos, como guardia o como mercenario.
str_npc21_home_recap|Un sirviente de mi padre me dejó cuando era niño en Rhaggat Eveth, antes de caer muerto.
str_npc22_home_recap|Nací en Desembarco del Rey, aunque mi verdadero hogar es Torre Cargyll.
str_npc23_home_recap|Supongo que puedo contaroslo de nuevo.
str_npc24_home_recap|Mi hogar está en Chelsted.
str_npc25_home_recap|Tan dulce la carne, tan dulce el niño. Para cortar, para comer, los jirones tan rojos...
str_npc26_home_recap|Eso no es asunto vuestro.
str_npc27_home_recap|Nací en un pequeño torreón en las Colinas Solitarias.
str_npc1_honorific|¡{playername}!
str_npc2_honorific|¡{playername}!
str_npc3_honorific|¡{playername}!
str_npc4_honorific|¡{playername}!
str_npc5_honorific|¡{playername}!
str_npc6_honorific|¡{playername}!
str_npc7_honorific|¡{playername}!
str_npc8_honorific|¡{playername}!
str_npc9_honorific|¡{playername}!
str_npc10_honorific|¡{playername}!
str_npc11_honorific|¡{playername}!
str_npc12_honorific|¡{playername}!
str_npc13_honorific|¡{playername}!
str_npc14_honorific|¡{playername}!
str_npc15_honorific|¡{playername}!
str_npc16_honorific|¡{playername}!
str_npc17_honorific|¡{playername}!
str_npc18_honorific|¡{playername}!
str_npc19_honorific|¡{playername}!
str_npc20_honorific|¡{playername}!
str_npc21_honorific|¡{playername}!
str_npc22_honorific|¡{playername}!
str_npc23_honorific|¡{playername}!
str_npc24_honorific|¡{playername}!
str_npc25_honorific|¡{playername}!
str_npc26_honorific|¡{playername}!
str_npc27_honorific|¡{playername}!
str_npc28_honorific|¡{playername}!
str_npc1_kingsupport_1|Es una excelente idea, {playername}. Todos estos mercaderes, arcontes y magísteres recién llegados que nos gobiernan ahora, con sus cárceles y sus horcas y sus patíbulos, sus latigazos y sus hierros al fuego, sus ahorcamientos para cualquier hombre que, azuzado por los llantos de sus hijos, robe una hogaza de pan, o tal vez un caballo... Poniente merece algo mejor.
str_npc2_kingsupport_1|Bueno, {playername} ... Os apoyo. Creo que daríais a este mundo el tipo de gobierno ilustrado que necesita desde hace tanto.
str_npc3_kingsupport_1|Bueno, {mi señor/mi señora} ... me preocupa vuestra pretensión. Los cuentos y canciones hablan a menudo de que el poder tiende a corromper. Pero bien es cierto que me reconforta la misericordia y el buen juicio que habéis demostrado hasta ahora.
str_npc4_kingsupport_1|Bueno, {playername}, creo que seríais el tipo de {rey/reina} que los nobles de buena familia, como yo, estaríamos orgullosos de seguir a la batalla...
str_npc5_kingsupport_1|Una gran idea, {playername} ... habéis demostrado que sabéis liderar a los hombres. Ahora lo que importa es que también los gobernéis con justicia, no obstante...
str_npc6_kingsupport_1|No soy quién para juzgar los argumentos legales de vuestra pretensión. Sin embargo, creo que a diferencia de los demás soberanos que abundan por aquí, vos tenéis la capacidad real de unificar estas tierras... y de poner fin a estas guerras sin fin, entre reino y reino, entre noble y noble, hermano y hermano, que nos han traído la desgracia a todos a ojos de los dioses.
str_npc7_kingsupport_1|Sí... lo haréis bien. Sabéis cómo tratar a bandidos y rufianes.
str_npc8_kingsupport_1|La historia de Aegon el Conquistador nos dice que un hombre que realiza grandes hazañas, por encima de los otros hombres de su tiempo, puede reclamar el trono. Y creo firmemente en ello.
str_npc9_kingsupport_1|Muy bien, {mi señor/mi señora}. Soy pentoshi de nacimiento, pero los magíster nunca intercedieron cuando fui privado de mi herencia. Así que no les debo nada, y yo digo: '¡que la corona sea para el más valiente!'. Y ese seríais vos, {playername}.
str_npc10_kingsupport_1|Bueno, {playername}, creo que tiene que haber {reyes/reyes y reinas}, y si debe haber {reyes/reyes y reinas}, entonces vos seríais {un buen rey/una buena reina} como cualquier otro...
str_npc11_kingsupport_1|Hey, ¡qué buena idea, {playername}! Supongo que tendré que empezar a llamaros 'Majestad', o 'Excelencia', entonces...
str_npc12_kingsupport_1|Estoy convencido de que seríais un buen rey, {playername}. Me suelo jactar de tener buen juicio para las personas, y vos habéis demostrado una capacidad de comapsión que supera con creces la de las otras personas que se llaman a sí mismas monarcas.
str_npc13_kingsupport_1|¡Eso sería excelente! Muchas historias sobre héroes han demostrado que el valor puede conseguir un trono. Tal vez conozcáis el cantar de Rand, hijo de Tam, que se levantó frente a la oscuridad para ser el rey de todo el mundo. ¡Una historia fantástica!
str_npc14_kingsupport_1|Bien, {playername}, los dioses han establecido una jerarquía en este mundo y normalmente no tiene que ver con la usurpación. Pero también creo que los reyes de estas tierras son débiles y por lo tanto no son dignos de llamarse reyes. Por eso, deberían permitir que la corona fuera tomada por un {hombre/gobernante} mejor, como vos.
str_npc15_kingsupport_1|Bueno, pagáis a vuestros hombres en plazo, en cuanto podéis, en términos generales. Esa es la mejor cualidad para un monarca, a mi entender. Y vos mostráis al menos algo de respeto por los derechos de los demás.
str_npc16_kingsupport_1|¿Por qué no, {playername}? Estoy convencido de que seríais {un buen rey/una buena reina} ... y por supuesto, también estoy seguro de que en su momento os acordaríais de gente como yo, que colaboraron en vuestra lucha por el trono.
str_npc17_kingsupport_1|No os preocupéis, seréis {un rey/una reina} excelente.
str_npc18_kingsupport_1|Siempre habéis actuado con rectitud, así que sé que seríais un gobernante justo.
str_npc19_kingsupport_1|Siempre habéis sido honorable, así que creo que seríais un gobernante justo.
str_npc20_kingsupport_1|Mientras recéis por ello a los dioses antiguos y nuevos, nada se interpondrá en vuestro camino. Creo que seríais un buen gobernante.
