trp_multiplayer_profile_troop_male|perfil tropa multijugador hombre
trp_sarranid_n_extra4|Travelling Sarranid Recruit
trp_sarranid_n_extra4_pl|Travelling Sarranid Recruits
trp_sarranid_n_extra5|Docile Sarranid Recruit
trp_sarranid_n_extra5_pl|Docile Sarranid Recruits
trp_sarranid_r_millet|I1 Sarranid Millet
trp_sarranid_r_millet_pl|I1 Sarranid Milletani
trp_sarranid_r_ajam|I2 Sarranid Ajam
trp_sarranid_r_ajam_pl|I2 Sarranid Ajami
trp_sarranid_r_oglan|A2 Sarranid Oglan
trp_sarranid_r_oglan_pl|A2 Sarranid Oglani
trp_sarranid_r_azab|I3 Sarranid Azab
trp_sarranid_r_azab_pl|I3 Sarranid Azablar
trp_sarranid_r_cemaat|I3 Sarranid Cemaat
trp_sarranid_r_cemaat_pl|I3 Sarranid Cemaatle
trp_sarranid_r_jebelus|A3 Sarranid Jebelus
trp_sarranid_r_jebelus_pl|A3 Sarranid Jebeli
trp_sarranid_r_kapikulu_savari|C4 Sarranid Kapikulu Savari
trp_sarranid_r_kapikulu_savari_pl|C4 Sarranid Kapikulu Savarleri
trp_sarranid_r_timariot|C4 Sarranid Timariot
trp_sarranid_r_timariot_pl|C4 Sarranid Timarioter
trp_sarranid_r_al_haqa|I4 Sarranid Al-Haqa
trp_sarranid_r_al_haqa_pl|I4 Sarranid Al-Haqani
trp_sarranid_r_garip|A4 Sarranid Garip
trp_sarranid_r_garip_pl|A4 Sarranid Garipler
trp_sarranid_r_badw|H4 Sarranid Badw
trp_sarranid_r_badw_pl|H4 Sarranid Badawi
trp_sarranid_r_kapikula|C5 Sarranid Kapikula
trp_sarranid_r_kapikula_pl|C5 Sarranid Kapikulani
trp_sarranid_r_yerliyya|I5 Sarranid Yerliyya
trp_sarranid_r_yerliyya_pl|I5 Sarranid Yerliyyas
trp_sarranid_r_uluteci|A5 Sarranid Uluteci
trp_sarranid_r_uluteci_pl|A5 Sarranid Uluteciler
trp_sarranid_r_yeniceri|I6 Sarranid Yeniceri
trp_sarranid_r_yeniceri_pl|I6 Sarranid Yeniceriler
trp_sarranid_r_extra1|I1 Rebelous Sarranid Millet
trp_sarranid_r_extra1_pl|I1 Rebelous Sarranid Milletani
trp_sarranid_r_extra2|I1 Adventurous Sarranid Millet
trp_sarranid_r_extra2_pl|I1 Adventurous Sarranid Milletani
trp_sarranid_r_extra3|I1 Begrudged Sarranid Millet
trp_sarranid_r_extra3_pl|I1 Begrudged Sarranid Milletani
trp_sarranid_r_extra4|I1 Travelling Sarranid Millet
trp_sarranid_r_extra4_pl|I1 Travelling Sarranid Milletani
trp_sarranid_r_extra5|I1 Docile Sarranid Millet
trp_sarranid_r_extra5_pl|I1 Docile Sarranid Milletani
trp_sarranid_e_millet|I1 Sarranid Millet
trp_sarranid_e_millet_pl|I1 Sarranid Milletani
trp_sarranid_e_ajam|I2 Sarranid Ajam
trp_sarranid_e_ajam_pl|I2 Sarranid Ajami
trp_sarranid_e_oglan|A2 Sarranid Oglan
trp_sarranid_e_oglan_pl|A2 Sarranid Oglani
trp_sarranid_e_azab|I3 Sarranid Azab
trp_sarranid_e_azab_pl|I3 Sarranid Azablar
trp_sarranid_e_cemaat|I3 Sarranid Cemaat
trp_sarranid_e_cemaat_pl|I3 Sarranid Cemaatle
trp_sarranid_e_jebelus|A3 Sarranid Jebelus
trp_sarranid_e_jebelus_pl|A3 Sarranid Jebeli
trp_sarranid_e_ghulam|A3 Sarranid Ghulam
trp_sarranid_e_ghulam_pl|A3 Sarranid Ghilman
trp_sarranid_e_al_haqa|I4 Sarranid Al-Haqa
trp_sarranid_e_al_haqa_pl|I4 Sarranid Al-Haqani
trp_sarranid_e_timariot|C4 Sarranid Timariot
trp_sarranid_e_timariot_pl|C4 Sarranid Timarioter
trp_sarranid_e_yerliyya|I4 Sarranid Yerliyya
trp_sarranid_e_yerliyya_pl|I4 Sarranid Yerliyyas
trp_sarranid_e_kapikulu_savari|C4 Sarranid Kapikulu Savari
trp_sarranid_e_kapikulu_savari_pl|C4 Sarranid Kapikulu Savarleri
trp_sarranid_e_garip|A4 Sarranid Garip
trp_sarranid_e_garip_pl|A4 Sarranid Garipler
trp_sarranid_e_badw|H4 Sarranid Badw
trp_sarranid_e_badw_pl|H4 Sarranid Badawi
trp_sarranid_e_serdengecti|A4 Sarranid Serdengecti
trp_sarranid_e_serdengecti_pl|A4 Sarranid Serdengectleri
trp_sarranid_e_tabardariyya|A4 Sarranid Tabardariyya
trp_sarranid_e_tabardariyya_pl|A4 Sarranid Tabardariyyani
trp_sarranid_e_kapikula|C5 Sarranid Kapikula
trp_sarranid_e_kapikula_pl|C5 Sarranid Kapikulani
trp_sarranid_e_yeniceri|I5 Sarranid Yeniceri
trp_sarranid_e_yeniceri_pl|I5 Sarranid Yeniceriler
trp_sarranid_e_beylik|C5 Sarranid Beylik
trp_sarranid_e_beylik_pl|C5 Sarranid Beylerin
trp_sarranid_e_uluteci|A5 Sarranid Uluteci
trp_sarranid_e_uluteci_pl|A5 Sarranid Uluteciler
trp_sarranid_e_akinci|H5 Sarranid Akinci
trp_sarranid_e_akinci_pl|H5 Sarranid Akinciler
trp_sarranid_e_terkes_serdengecti|A5 Sarranid Terkes Serdengecti
trp_sarranid_e_terkes_serdengecti_pl|A5 Sarranid Terkes Serdengectleri
trp_sarranid_e_qilich_arslan|C6 Sarranid Qilich Arslan
trp_sarranid_e_qilich_arslan_pl|C6 Sarranid Qilich Arslani
trp_sarranid_e_memluk|C6 Sarranid Memluk
trp_sarranid_e_memluk_pl|C6 Sarranid Mamalik
trp_sarranid_e_sekban|C6 Sarranid Sekban
trp_sarranid_e_sekban_pl|C6 Sarranid Sekbanlar
trp_sarranid_e_silahtar|A6 Sarranid Silahtar
trp_sarranid_e_silahtar_pl|A6 Sarranid Silahtarin
trp_sarranid_e_sipahi|H6 Sarranid Sipahi
trp_sarranid_e_sipahi_pl|H6 Sarranid Sipahiler
trp_sarranid_e_hasham|C7 Sarranid Hasham
trp_sarranid_e_hasham_pl|C7 Sarranid Hashamler
trp_sarranid_e_iqta_dar|H7 Sarranid Iqta'dar
trp_sarranid_e_iqta_dar_pl|H7 Sarranid Iqta'darani
trp_sarranid_e_extra1|I1 Rebelous Sarranid Millet
trp_sarranid_e_extra1_pl|I1 Rebelous Sarranid Milletani
trp_sarranid_e_extra2|I1 Adventurous Sarranid Millet
trp_sarranid_e_extra2_pl|I1 Adventurous Sarranid Milletani
trp_sarranid_e_extra3|I1 Begrudged Sarranid Millet
trp_sarranid_e_extra3_pl|I1 Begrudged Sarranid Milletani
trp_sarranid_e_extra4|I1 Travelling Sarranid Millet
trp_sarranid_e_extra4_pl|I1 Travelling Sarranid Milletani
trp_sarranid_e_extra5|I1 Docile Sarranid Millet
trp_sarranid_e_extra5_pl|I1 Docile Sarranid Milletani
trp_sarranid_messenger|Sarranid Messenger
trp_sarranid_messenger_pl|Sarranid Messengers
trp_sarranid_deserter|Sarranid Deserter
trp_sarranid_deserter_pl|Sarranid Deserters
trp_sarranid_prison_guard|Guardia de la prisión
trp_sarranid_prison_guard_pl|Guardias de la prisión
trp_sarranid_castle_guard|Guardia del castillo
trp_sarranid_castle_guard_pl|Guardias del castillo
trp_custom_n_recruit|Inmaculado
trp_custom_n_recruit_pl|Inmaculados
trp_custom_n_recruit_equip|Inmaculado
trp_custom_n_recruit_equip_pl|Inmaculados
trp_custom_n_recruit_selection|Inmaculado
trp_custom_n_recruit_selection_pl|Inmaculados
trp_custom_n_militia|Freelancer Militia
trp_custom_n_militia_pl|Freelancer Militia
trp_custom_n_militia_equip|Freelancer Militia
trp_custom_n_militia_equip_pl|Freelancer Militia
trp_custom_n_militia_selection|Freelancer Militia
trp_custom_n_militia_selection_pl|Freelancer Militia
trp_custom_n_page|Freelancer Page
trp_custom_n_page_pl|Freelancer Page
trp_custom_n_page_equip|Freelancer Page
trp_custom_n_page_equip_pl|Freelancer Page
trp_custom_n_page_selection|Freelancer Page
trp_custom_n_page_selection_pl|Freelancer Page
trp_custom_n_guard|Freelancer Guard
trp_custom_n_guard_pl|Freelancer Guards
trp_custom_n_guard_equip|Freelancer Guard
trp_custom_n_guard_equip_pl|Freelancer Guards
trp_custom_n_guard_selection|Freelancer Guard
trp_custom_n_guard_selection_pl|Freelancer Guards
trp_custom_n_squire|Freelancer Squire
trp_custom_n_squire_pl|Freelancer Squires
trp_custom_n_squire_equip|Freelancer Squire
trp_custom_n_squire_equip_pl|Freelancer Squires
trp_custom_n_squire_selection|Freelancer Squire
trp_custom_n_squire_selection_pl|Freelancer Squires
trp_custom_n_swordman|Freelancer Swordman
trp_custom_n_swordman_pl|Freelancer Swordmen
trp_custom_n_swordman_equip|Freelancer Swordman
trp_custom_n_swordman_equip_pl|Freelancer Swordmen
trp_custom_n_swordman_selection|Freelancer Swordman
trp_custom_n_swordman_selection_pl|Freelancer Swordmen
trp_custom_n_archer|Freelancer Archer
trp_custom_n_archer_pl|Freelancer Archers
trp_custom_n_archer_equip|Freelancer Archer
trp_custom_n_archer_equip_pl|Freelancer Archers
trp_custom_n_archer_selection|Freelancer Archer
trp_custom_n_archer_selection_pl|Freelancer Archers
trp_custom_n_knight|Freelancer Knight
trp_custom_n_knight_pl|Freelancer Knights
trp_custom_n_knight_equip|Freelancer Knight
trp_custom_n_knight_equip_pl|Freelancer Knights
trp_custom_n_knight_selection|Freelancer Knight
trp_custom_n_knight_selection_pl|Freelancer Knights
trp_custom_n_swordmaster|Freelancer Swordmaster
trp_custom_n_swordmaster_pl|Freelancer Swordmasters
trp_custom_n_swordmaster_equip|Freelancer Swordmaster
trp_custom_n_swordmaster_equip_pl|Freelancer Swordmasters
trp_custom_n_swordmaster_selection|Freelancer Swordmaster
trp_custom_n_swordmaster_selection_pl|Freelancer Swordmasters
trp_custom_n_expert_archer|Freelancer Expert Archer
trp_custom_n_expert_archer_pl|Freelancer Expert Archers
trp_custom_n_expert_archer_equip|Freelancer Expert Archer
trp_custom_n_expert_archer_equip_pl|Freelancer Expert Archers
trp_custom_n_expert_archer_selection|Freelancer Expert Archer
trp_custom_n_expert_archer_selection_pl|Freelancer Expert Archers
trp_custom_r_recruit|I1 Freelancer Recruit
trp_custom_r_recruit_pl|I1 Freelancer Recruits
trp_custom_r_recruit_equip|I1 Freelancer Recruit
trp_custom_r_recruit_equip_pl|I1 Freelancer Recruits
trp_custom_r_recruit_selection|I1 Freelancer Recruit
trp_custom_r_recruit_selection_pl|I1 Freelancer Recruits
trp_custom_r_militia|I2 Freelancer Militia
trp_custom_r_militia_pl|I2 Freelancer Militia
trp_custom_r_militia_equip|I2 Freelancer Militia
trp_custom_r_militia_equip_pl|I2 Freelancer Militia
trp_custom_r_militia_selection|I2 Freelancer Militia
trp_custom_r_militia_selection_pl|I2 Freelancer Militia
trp_custom_r_hunter|A2 Freelancer Hunter
trp_custom_r_hunter_pl|A2 Freelancer Hunters
trp_custom_r_hunter_equip|A2 Freelancer Hunter
trp_custom_r_hunter_equip_pl|A2 Freelancer Hunters
trp_custom_r_hunter_selection|A2 Freelancer Hunter
trp_custom_r_hunter_selection_pl|A2 Freelancer Hunters
trp_custom_r_guard|I3 Freelancer Guard
trp_custom_r_guard_pl|I3 Freelancer Guards
trp_custom_r_guard_equip|I3 Freelancer Guard
trp_custom_r_guard_equip_pl|I3 Freelancer Guards
trp_custom_r_guard_selection|I3 Freelancer Guard
trp_custom_r_guard_selection_pl|I3 Freelancer Guards
trp_custom_r_page|C3 Freelancer Page
trp_custom_r_page_pl|C3 Freelancer Page
trp_custom_r_page_equip|C3 Freelancer Page
trp_custom_r_page_equip_pl|C3 Freelancer Page
trp_custom_r_page_selection|C3 Freelancer Page
trp_custom_r_page_selection_pl|C3 Freelancer Page
trp_custom_r_woodsman|A3 Freelancer Woodsman
trp_custom_r_woodsman_pl|A3 Freelancer Woodsmen
trp_custom_r_woodsman_equip|A3 Freelancer Woodsman
trp_custom_r_woodsman_equip_pl|A3 Freelancer Woodsmen
trp_custom_r_woodsman_selection|A3 Freelancer Woodsman
trp_custom_r_woodsman_selection_pl|A3 Freelancer Woodsmen
trp_custom_r_spearman|I4 Freelancer Spearman
trp_custom_r_spearman_pl|I4 Freelancer Spearmen
trp_custom_r_spearman_equip|I4 Freelancer Spearman
trp_custom_r_spearman_equip_pl|I4 Freelancer Spearmen
trp_custom_r_spearman_selection|I4 Freelancer Spearman
trp_custom_r_spearman_selection_pl|I4 Freelancer Spearmen
trp_custom_r_swordman|I4 Freelancer Swordman
trp_custom_r_swordman_pl|I4 Freelancer Swordmen
trp_custom_r_swordman_equip|I4 Freelancer Swordman
trp_custom_r_swordman_equip_pl|I4 Freelancer Swordmen
trp_custom_r_swordman_selection|I4 Freelancer Swordman
trp_custom_r_swordman_selection_pl|I4 Freelancer Swordmen
trp_custom_r_squire|C4 Freelancer Squire
trp_custom_r_squire_pl|C4 Freelancer Squires
trp_custom_r_squire_equip|C4 Freelancer Squire
trp_custom_r_squire_equip_pl|C4 Freelancer Squires
trp_custom_r_squire_selection|C4 Freelancer Squire
trp_custom_r_squire_selection_pl|C4 Freelancer Squires
trp_custom_r_archer|A4 Freelancer Archer
trp_custom_r_archer_pl|A4 Freelancer Archers
trp_custom_r_archer_equip|A4 Freelancer Archer
trp_custom_r_archer_equip_pl|A4 Freelancer Archers
trp_custom_r_archer_selection|A4 Freelancer Archer
trp_custom_r_archer_selection_pl|A4 Freelancer Archers
trp_custom_r_skirmisher|A4 Freelancer Skirmisher
trp_custom_r_skirmisher_pl|A4 Freelancer Skirmishers
trp_custom_r_skirmisher_equip|A4 Freelancer Skirmisher
trp_custom_r_skirmisher_equip_pl|A4 Freelancer Skirmishers
trp_custom_r_skirmisher_selection|A4 Freelancer Skirmisher
trp_custom_r_skirmisher_selection_pl|A4 Freelancer Skirmishers
trp_custom_r_swordmaster|I5 Freelancer Swordmaster
trp_custom_r_swordmaster_pl|I5 Freelancer Swordmasters
trp_custom_r_swordmaster_equip|I5 Freelancer Swordmaster
trp_custom_r_swordmaster_equip_pl|I5 Freelancer Swordmasters
trp_custom_r_swordmaster_selection|I5 Freelancer Swordmaster
trp_custom_r_swordmaster_selection_pl|I5 Freelancer Swordmasters
trp_custom_r_knight|C5 Freelancer Knight
trp_custom_r_knight_pl|C5 Freelancer Knights
trp_custom_r_knight_equip|C5 Freelancer Knight
trp_custom_r_knight_equip_pl|C5 Freelancer Knights
trp_custom_r_knight_selection|C5 Freelancer Knight
trp_custom_r_knight_selection_pl|C5 Freelancer Knights
trp_custom_r_expert_archer|A5 Freelancer Expert Archer
trp_custom_r_expert_archer_pl|A5 Freelancer Expert Archers
trp_custom_r_expert_archer_equip|A5 Freelancer Expert Archer
trp_custom_r_expert_archer_equip_pl|A5 Freelancer Expert Archers
trp_custom_r_expert_archer_selection|A5 Freelancer Expert Archer
trp_custom_r_expert_archer_selection_pl|A5 Freelancer Expert Archers
trp_custom_r_frontline_skirmisher|A5 Freelancer Frontline Skirmisher
trp_custom_r_frontline_skirmisher_pl|A5 Freelancer Frontline Skirmishers
trp_custom_r_frontline_skirmisher_equip|A5 Freelancer Frontline Skirmisher
trp_custom_r_frontline_skirmisher_equip_pl|A5 Freelancer Frontline Skirmishers
trp_custom_r_frontline_skirmisher_selection|A5 Freelancer Frontline Skirmisher
trp_custom_r_frontline_skirmisher_selection_pl|A5 Freelancer Frontline Skirmishers
trp_custom_e_recruit|Inmaculado
trp_custom_e_recruit_pl|Inmaculados
trp_custom_e_recruit_equip|Inmaculado
trp_custom_e_recruit_equip_pl|Inmaculados
trp_custom_e_recruit_selection|Inmaculado
trp_custom_e_recruit_selection_pl|Inmaculados
trp_custom_e_militia|I2 Freelancer Militia
trp_custom_e_militia_pl|I2 Freelancer Militia
trp_custom_e_militia_equip|I2 Freelancer Militia
trp_custom_e_militia_equip_pl|I2 Freelancer Militia
trp_custom_e_militia_selection|I2 Freelancer Militia
trp_custom_e_militia_selection_pl|I2 Freelancer Militia
trp_custom_e_hunter|A2 Freelancer Hunter
trp_custom_e_hunter_pl|A2 Freelancer Hunters
trp_custom_e_hunter_equip|A2 Freelancer Hunter
trp_custom_e_hunter_equip_pl|A2 Freelancer Hunters
trp_custom_e_hunter_selection|A2 Freelancer Hunter
trp_custom_e_hunter_selection_pl|A2 Freelancer Hunters
trp_custom_e_guard|I3 Freelancer Guard
trp_custom_e_guard_pl|I3 Freelancer Guards
trp_custom_e_guard_equip|I3 Freelancer Guard
trp_custom_e_guard_equip_pl|I3 Freelancer Guards
trp_custom_e_guard_selection|I3 Freelancer Guard
trp_custom_e_guard_selection_pl|I3 Freelancer Guards
trp_custom_e_page|C3 Freelancer Page
trp_custom_e_page_pl|C3 Freelancer Page
trp_custom_e_page_equip|C3 Freelancer Page
trp_custom_e_page_equip_pl|C3 Freelancer Page
trp_custom_e_page_selection|C3 Freelancer Page
trp_custom_e_page_selection_pl|C3 Freelancer Page
trp_custom_e_woodsman|A3 Freelancer Woodsman
trp_custom_e_woodsman_pl|A3 Freelancer Woodsmen
trp_custom_e_woodsman_equip|A3 Freelancer Woodsman
trp_custom_e_woodsman_equip_pl|A3 Freelancer Woodsmen
trp_custom_e_woodsman_selection|A3 Freelancer Woodsman
trp_custom_e_woodsman_selection_pl|A3 Freelancer Woodsmen
trp_custom_e_swordman|I4 Freelancer Swordman
trp_custom_e_swordman_pl|I4 Freelancer Swordmen
trp_custom_e_swordman_equip|I4 Freelancer Swordman
trp_custom_e_swordman_equip_pl|I4 Freelancer Swordmen
trp_custom_e_swordman_selection|I4 Freelancer Swordman
trp_custom_e_swordman_selection_pl|I4 Freelancer Swordmen
trp_custom_e_spearman|I4 Freelancer Spearman
trp_custom_e_spearman_pl|I4 Freelancer Spearmen
trp_custom_e_spearman_equip|I4 Freelancer Spearman
trp_custom_e_spearman_equip_pl|I4 Freelancer Spearmen
trp_custom_e_spearman_selection|I4 Freelancer Spearman
trp_custom_e_spearman_selection_pl|I4 Freelancer Spearmen
trp_custom_e_squire|C4 Freelancer Squire
trp_custom_e_squire_pl|C4 Freelancer Squires
trp_custom_e_squire_equip|C4 Freelancer Squire
trp_custom_e_squire_equip_pl|C4 Freelancer Squires
trp_custom_e_squire_selection|C4 Freelancer Squire
trp_custom_e_squire_selection_pl|C4 Freelancer Squires
trp_custom_e_archer|A4 Freelancer Archer
trp_custom_e_archer_pl|A4 Freelancer Archers
trp_custom_e_archer_equip|A4 Freelancer Archer
trp_custom_e_archer_equip_pl|A4 Freelancer Archers
trp_custom_e_archer_selection|A4 Freelancer Archer
trp_custom_e_archer_selection_pl|A4 Freelancer Archers
trp_custom_e_skirmisher|A4 Freelancer Skirmisher
trp_custom_e_skirmisher_pl|A4 Freelancer Skirmishers
trp_custom_e_skirmisher_equip|A4 Freelancer Skirmisher
trp_custom_e_skirmisher_equip_pl|A4 Freelancer Skirmishers
trp_custom_e_skirmisher_selection|A4 Freelancer Skirmisher
trp_custom_e_skirmisher_selection_pl|A4 Freelancer Skirmishers
trp_custom_e_swordmaster|I5 Freelancer Swordmaster
trp_custom_e_swordmaster_pl|I5 Freelancer Swordmasters
trp_custom_e_swordmaster_equip|I5 Freelancer Swordmaster
trp_custom_e_swordmaster_equip_pl|I5 Freelancer Swordmasters
trp_custom_e_swordmaster_selection|I5 Freelancer Swordmaster
trp_custom_e_swordmaster_selection_pl|I5 Freelancer Swordmasters
trp_custom_e_spearmaster|I5 Freelancer Spearmaster
trp_custom_e_spearmaster_pl|I5 Freelancer Spearmasters
trp_custom_e_spearmaster_equip|I5 Freelancer Spearmaster
trp_custom_e_spearmaster_equip_pl|I5 Freelancer Spearmasters
trp_custom_e_spearmaster_selection|I5 Freelancer Spearmaster
trp_custom_e_spearmaster_selection_pl|I5 Freelancer Spearmasters
trp_custom_e_knight|C5 Freelancer Knight
trp_custom_e_knight_pl|C5 Freelancer Knights
trp_custom_e_knight_equip|C5 Freelancer Knight
trp_custom_e_knight_equip_pl|C5 Freelancer Knights
trp_custom_e_knight_selection|C5 Freelancer Knight
trp_custom_e_knight_selection_pl|C5 Freelancer Knights
trp_custom_e_horse_archer|H5 Freelancer Horse Archer
trp_custom_e_horse_archer_pl|H5 Freelancer Horse Archers
trp_custom_e_horse_archer_equip|H5 Freelancer Horse Archer
trp_custom_e_horse_archer_equip_pl|H5 Freelancer Horse Archers
trp_custom_e_horse_archer_selection|H5 Freelancer Horse Archer
trp_custom_e_horse_archer_selection_pl|H5 Freelancer Horse Archers
trp_custom_e_expert_archer|A5 Freelancer Expert Archer
trp_custom_e_expert_archer_pl|A5 Freelancer Expert Archers
trp_custom_e_expert_archer_equip|A5 Freelancer Expert Archer
trp_custom_e_expert_archer_equip_pl|A5 Freelancer Expert Archers
trp_custom_e_expert_archer_selection|A5 Freelancer Expert Archer
trp_custom_e_expert_archer_selection_pl|A5 Freelancer Expert Archers
trp_custom_e_frontline_skirmisher|A5 Freelancer Frontline Skirmisher
trp_custom_e_frontline_skirmisher_pl|A5 Freelancer Frontline Skirmishers
trp_custom_e_frontline_skirmisher_equip|A5 Freelancer Frontline Skirmisher
trp_custom_e_frontline_skirmisher_equip_pl|A5 Freelancer Frontline Skirmishers
trp_custom_e_frontline_skirmisher_selection|A5 Freelancer Frontline Skirmisher
trp_custom_e_frontline_skirmisher_selection_pl|A5 Freelancer Frontline Skirmishers
trp_custom_e_heavy_knight|C6 Freelancer Heavy Knight
trp_custom_e_heavy_knight_pl|C6 Freelancer Heavy Knights
trp_custom_e_heavy_knight_equip|C6 Freelancer Heavy Knight
trp_custom_e_heavy_knight_equip_pl|C6 Freelancer Heavy Knights
trp_custom_e_heavy_knight_selection|C6 Freelancer Heavy Knight
trp_custom_e_heavy_knight_selection_pl|C6 Freelancer Heavy Knights
trp_custom_e_heavy_horse_archer|H6 Freelancer Heavy Horse Archer
trp_custom_e_heavy_horse_archer_pl|H6 Freelancer Heavy Horse Archers
trp_custom_e_heavy_horse_archer_equip|H6 Freelancer Heavy Horse Archer
trp_custom_e_heavy_horse_archer_equip_pl|H6 Freelancer Heavy Horse Archers
trp_custom_e_heavy_horse_archer_selection|H6 Freelancer Heavy Horse Archer
trp_custom_e_heavy_horse_archer_selection_pl|H6 Freelancer Heavy Horse Archers
trp_custom_master|Grazmak mo Senko
trp_custom_master_pl|Grazmak mo Senko
trp_custom_messenger|Mensajero
trp_custom_messenger_pl|Mensajeros
trp_custom_deserter|Desertor
trp_custom_deserter_pl|Desertores
trp_custom_prison_guard|Guardia de la prisión
trp_custom_prison_guard_pl|Guardias de la prisión
trp_custom_castle_guard|Guardia del castillo
trp_custom_castle_guard_pl|Guardias del castillo
trp_bandit_n_looter|Saqueador
trp_bandit_n_looter_pl|Saqueadores
trp_bandit_n_bandit|Bandido
trp_bandit_n_bandit_pl|Bandidos
trp_bandit_n_brigand|Bandolero
trp_bandit_n_brigand_pl|Bandoleros
trp_bandit_n_mountain|Bandido de la montaña
trp_bandit_n_mountain_pl|Bandidos de la montaña
trp_bandit_n_forest|Bandido del bosque
trp_bandit_n_forest_pl|Bandidos del bosque
trp_bandit_n_sea_raider|Pirata
trp_bandit_n_sea_raider_pl|Piratas
trp_bandit_n_steppe|Guerrero dothraki
trp_bandit_n_steppe_pl|Guerreros dothraki
trp_bandit_n_taiga|Jinete salvaje
trp_bandit_n_taiga_pl|Jinetes salvajes
trp_bandit_n_desert|Forajido
trp_bandit_n_desert_pl|Forajidos
trp_bandit_n_outlaw|Líder forajido
trp_bandit_n_outlaw_pl|Líderes forajidos
trp_bandit_n_outlaw1|Arquero forajido
trp_bandit_n_outlaw1_pl|Arqueros forajidos
trp_bandit_n_valemen|Jefe del clan
trp_bandit_n_valemen_pl|Jefes del clan
trp_bandit_n_valemen1|Arquero del clan
trp_bandit_n_valemen1_pl|Arqueros del clan
trp_bandit_n_valemen2|Macero del clan
trp_bandit_n_valemen2_pl|Maceros del clan
trp_bandit_n_raiders|Capitán salteador
trp_bandit_n_raiders_pl|Capitanes salteadores
trp_bandit_n_raiders1|Arquero salteador
trp_bandit_n_raiders1_pl|Arqueros salteadores
trp_bandit_n_raiders2|Jinete saltador
trp_bandit_n_raiders2_pl|Jinetes saltadores
trp_bandit_n_essoslooter|Bandido del desierto
trp_bandit_n_essoslooter_pl|Bandidos del desierto
trp_bandit_n_dothraki|Bandido del desierto
trp_bandit_n_dothraki_pl|Bandidos del desierto
trp_bandit_n_dothraki1|Bandido del desierto
trp_bandit_n_dothraki1_pl|Bandidos del desierto
trp_bandit_n_dothraki2|Bandido del desierto
trp_bandit_n_dothraki2_pl|Bandidos del desierto
trp_bandit_n_slavers|Capitán esclavista
trp_bandit_n_slavers_pl|Capitanes esclavistas
trp_bandit_n_slavers1|Jinete de camello esclavista
trp_bandit_n_slavers1_pl|Jinetes de camello esclavistas
trp_bandit_n_slavers2|Lancero esclavista
trp_bandit_n_slavers2_pl|Lanceros esclavistas
trp_bandit_n_pirates|Bandido rhoynar
trp_bandit_n_pirates_pl|Bandidos rhoynar
trp_bandit_n_pirates1|Arquero rhoynar
trp_bandit_n_pirates1_pl|Arqueros rhoynar
trp_bandit_n_escapedslave|Líder esclavo
trp_bandit_n_escapedslave_pl|Líderes esclavos
trp_bandit_n_escapedslave1|Esclavo
trp_bandit_n_escapedslave1_pl|Esclavo
trp_bandit_n_wildling_archer|Arquero salvaje
trp_bandit_n_wildling_archer_pl|Arqueros salvajes
trp_bandit_n_dothraki_archer|Arquero dothraki
trp_bandit_n_dothraki_archer_pl|Arqueros dothraki
trp_bandit_n_wildling_spearwifes|Guerrera salvaje
trp_bandit_n_wildling_spearwifes_pl|Guerreras salvajes
trp_crannogmen|Lacustre
trp_crannogmen_pl|Lacustres
trp_brienne|Brienne de Tarth
trp_brienne_pl|Brienne de Tarth
trp_event_young_noblemen|Caballero errante
trp_event_young_noblemen_pl|Caballeros errantes
trp_event_bandits|Bandido
trp_event_bandits_pl|Bandidos
trp_event_religious_fanatic_oldtown|Fanático
trp_event_religious_fanatic_oldtown_pl|Fanáticos
trp_event_religious_fanatic_volantis|Fanático
trp_event_religious_fanatic_volantis_pl|Fanáticos
trp_event_knights|Caballero errante
trp_event_knights_pl|Caballeros errantes
trp_event_camp_followers|Seguidora del campamento
trp_event_camp_followers_pl|Seguidoras del campamento
trp_event_singer|Bardo
trp_event_singer_pl|Bardos
trp_event_lute_player|Músico
trp_event_lute_player_pl|Músicos
trp_event_peasant|Campesino
trp_event_peasant_pl|Campesinos
trp_event_plump_bastard|Bastardo
trp_event_plump_bastard_pl|Bastardos
trp_event_young_girls_brother|Hermano de la muchacha
trp_event_young_girls_brother_pl|Hermanos de la muchacha
trp_event_ibbenese_axeman|Hachero ibbenés
trp_event_ibbenese_axeman_pl|Hacheros ibbeneses
trp_goldcloak_1|Archero de los capas doradas
trp_goldcloak_1_pl|Archeros de los capas doradas
trp_goldcloak_2|Espadachín de los capas doradas
trp_goldcloak_2_pl|Espadachines de los capas doradas
trp_goldcloak_3|Arquero de los capas doradas
trp_goldcloak_3_pl|Arqueros de los capas doradas
trp_goldcloak_4|Ballestero de los capas doradas
trp_goldcloak_4_pl|Ballesteros de los capas doradas
trp_goldcloak_5|Oficial de los capas doradas
trp_goldcloak_5_pl|Oficiales de los capas doradas
trp_zombie_wight|Espectro podrido
trp_zombie_wight_pl|Espectros podridos
trp_wildling_wight|Espectro
trp_wildling_wight_pl|Espectros
trp_unsullied|Inmaculado
trp_unsullied_pl|Inmaculados
trp_bandit_n_black_khergit_horseman|Jinete negro khergita
trp_bandit_n_black_khergit_horseman_pl|Jinetes negros khergitas
trp_bandit_n_manhunter|Cazahombres
trp_bandit_n_manhunter_pl|Cazahombres
trp_bandit_n_slave_driver|Esclavista
