str_no_string|ŽÁDNÝ TEXT!
; str_npc3_rehire_speech|Well, hello {my lord/my lady}! It is very good to see you again. I have not fared so well since we parted, I am afraid. My mother's family, whom I hoped would give me a start in trading, have not been as welcoming as I have hoped. I receive nothing but lectures from my aunts, on how I have ruined my prospects for marriage by taking service in a mercenary company. Perhaps I am better suited to war than to commerce, to share a meal over a campfire with rough fellows than to drink wine with the merchants of Oldtown. {playername}, I must ask you -- will you take me back?
; str_npc4_rehire_speech|Why hello, {my lord/my lady}. It's been a while. You've done well for yourself, I hear. For my part, I've been having some difficulties coaxing a living from my estates -- locusts, bad rains, unruly serfs, oh, and a slave rebllion followed by a dragon attack that seared the greater part of my family. I thought I might take up the sword once more. I know there's been some bad blood between us, but I'd be honoured to fight in your ranks once again.
; str_npc5_rehire_speech|{playername}! Your fame grows ever greater -- even as far as my fathers keep. I've come back again, hoping you might forget any harsh words I had spoken, to see if I could fight with you once again.
; str_npc6_rehire_speech|It is good to see you, {playername}. Everywhere I go, men are in awe of your deeds. I have not had it so well since I left.  Will you allow me to serve with you once again?
; str_npc7_rehire_speech|{My lord/My lady}! It is good to see you. Forgive what I may have said when we parted. I joined a caravan out of King's Landing, bound for Horn Hill, but it was overtaken by outlaws and after my ransom I was set free here. There may be better places in the world than this, but I have yet to see them. So I think, if it is my lot to live here, then your company is as good a livelihood as any. Will you have me back?
; str_npc8_rehire_speech|Greetings to you, {playername}. I was wondering if the harsh words spoken between us in the past could be forgotten. I could not find enough men to crew a longship, and those whom I gathered quickly got bored and wandered off -- not, I will add, before they drank away such gold as I had accumulated. So I thought back to the battles we fought together. Those were good days, and profitable ones too.
; str_npc9_rehire_speech|My dear, dear {playername}! So good it is to see you! I have sought service with the lords of this land, but have been most grieviously disappointed. Half of them ask me to collect debts from fellow lords, as though I were a banker's errand boy, or chase down his serfs, as though I were a farm overseer. One even asked me to murder one of his creditors! So I killed him instead! I have looked for you, to see if you would wish me to join you again.
; str_npc10_rehire_speech|{My lord/My lady}! It's good to see you. You see, it turns out I'm not much of a farmer. Too soft on the hired hands, I figure. I let them rob me blind. I guess fighting is what I know best. So tell me, are you still looking for good men?
; str_npc11_rehire_speech|{My lord/My lady}! So good to see you! People say that you've been making gold hand over foot. I'm a fidgety bag of bones, I'll admit. I left you because I wasn't satisfied with the warrior's life, but I spend a bit of time in town and I realize that there are worse things in life than a full belly, honest companions, and the joy of seeing the enemy run before you. Especially with my luck with the dices. So, would you be hiring again
; str_npc12_rehire_speech|{playername}! It's a fine thing to see an honest face like yours. This world is full of lies. I went home to publish my findings, hired some scribes and made a handful of codices, and waited for the commissions. But it turns out that the Citadel don't care about real medical knowledge rather than warmed-over Gerardys. And publishers -- let me tell you, you never saw anyone so unscrupulous. They rent the books out chapter to by chapter to apprentices to copy, but half of them aren't returned, and those that are have pages soaked in wine, and there's no longer a complete copy of my work anywhere. I'll keep trying, but first I need a bit of money in my pocket. Are you looking for a man trained in the Citadel?
; str_npc13_rehire_speech|Well hello there. I had been hoping to see you again. Everywhere I go, I hear tales and songs of your deeds. I will admit that I felt a twinge of regret that we had parted ways, and, I'll confess, a twinge of jealousy as well at your reputation. I thought that once again I might fight by your side, and thus bask in the reflection of your glory. Perhaps we might ride together again, for a little while?
; str_npc14_rehire_speech|{playername}! It is good to see you. When last we parted, I was ready to swear that I would not serve you again, but perhaps I judged you too harshly. All over, men sing your praises. I have tried serving in other lords' armies, and believe me, what I have seen of them restores my opinion of your leadership. As my father taught me to say 'Ki jini anha astak asqoy, anha, Drollo ki Ogo'. If you would have me in your company, I would fight for you again.
; str_npc15_rehire_speech|Why hello, {playername}. I can't say I'm entirely displeased to see you. You see, I took on another contract before I left, and sure enough, when it came time to collect the pay, the lord had nothing but talk and excuses and petty little complaints about my handiwork. I can't say I was always happy in your company, but at least I put gold directly into my purse after every battle. You still offering work?
; str_npc16_rehire_speech|{My lord/My lady}! I find myself lordless, having bedded the daughter of my last lord. Mayhaps you seek to hire brave knights?
; str_npc17_rehire_speech|{playername}! It's been a while since we last spoken. I still remember the smell of the battlefields you led us on, the sound of coins exchanging ownership as we traded our way from city to city and the feeling of rescpect we earned with each move we made. Things are going easy for me lately. Too easy. The money is soundly invested, and I've got some men working on my farms. For me there's nothing left to do. What do you think, shall we revive old times?
; str_npc18_rehire_speech|What a cruel world it is out there! No one believes me, and they all want to return me to my father. Like that will do any good. {playername}, could you show me your mercy once again and let me join your protection once more?
; str_npc19_rehire_speech|Ah, {playername}. Good to see you. Mind if I join you again?
; str_npc20_rehire_speech|The Heavens be praised that we meet again. It is so much easier to stay at the right path in your company. I now know that for sure. If you still appreciate me, I'd like to join your side once again.
; str_npc21_rehire_speech|How fortunate I find you back, my friend! The trace I followed only led to a dead end. If you won't mind, I'd rather join your side again and travel the world together, like we used to do.
; str_npc22_rehire_speech|Ah, {playername}. I'd hate to admit it, but you were right. The trace I followed led to nowhere. I'd like to join your company again, and this time I promise to heed your words more than I used to do.
; str_npc23_rehire_speech|Ah, {playername}. Still travelling around the world, are you? I'd like to rejoin your merry band of rogues, if you don't mind.
; str_npc24_rehire_speech|Help, {playername}! I've quite run out of coin!
; str_npc25_rehire_speech|Help, {playername}! Where am I?
; str_npc26_rehire_speech|I guess I'll join you again.
; str_npc27_rehire_speech|I guess I'll join you again.
; str_npc28_rehire_speech|I guess I'll join you again.
; str_npc1_home_intro|{playername}! Those are the haunted ruins of Harrenhal!.
; str_npc2_home_intro|We're approaching Pentos. That's where I was headed when that big-eared demon took my ship!
; str_npc3_home_intro|Can you smell that? Lemon trees, apples and crocus flowers, it's the scent of Oldtown! I spent many a happy summer here when I was a boy, playing in the gardens of my mother's family while my father was away fighting as a mercenary.
; str_npc4_home_intro|Ah, Volantis. Astapor is certainly the greatest city in the world, but I concede that Volantis has a certain charm. At least the slaves of this place knows to respect the old blood.
; str_npc5_home_intro|{playername}! That over there is the pool that Florian saw Jonquil and the six maidens bathe themselves in!
; str_npc6_home_intro|Look, {playername}! That's the great castle of Casterly Rock, home of the Lannisters!.
; str_npc7_home_intro|Look, {playername}, over that hill! It's the twin towers of my grandfathers castle!.
; str_npc8_home_intro|Hmf. Do you hear that? The silence and the gulls. Do you see the desolation and the bleakness? We're close to the Fingers, the most godforsaken place in the world.
; str_npc9_home_intro|Behold! The bay of Braavos, the smelliest, dirtiest, ugliest of all the bays!.
; str_npc10_home_intro|D'you smell that fresh air, {playername}? This was my home, before I went in search of coin and battles, in that order. It's good to be up close to the river again. It's the smell of freedom. This is the cradle of Dorne, here at the outskirts of Planky Town.
; str_npc11_home_intro|I see the mountains. We must be getting near home.
; str_npc12_home_intro|We're passing by the site of one of my greatest medical triumphs, if that interests you.
; str_npc13_home_intro|Ah, the ruins of Castamere! Such a lovely castle it once was, supposedly, at the foot of the Mountains. I'm sure you're familiar with the tale of Lord Reyne? You have, without a doubt, heard that song Lord Tywin had made after his destruction of the castle.
; str_npc14_home_intro|Do you see that city up there, on the spur over the valley? Norvos? I spent an entire winter there some years back, trying to train the city watch.
; str_npc15_home_intro|You see that castle up on the hill? Ten Towers, it's called. I did some work there, not long ago. It's not as showy as some of the other castles in this land, but it's the finest stonework you ever saw.
; str_npc16_home_intro|Aye, {playername}, do you see those? Those are the Stones of the Mud King. We must be getting near to my birthplace.
; str_npc17_home_intro|Tyrosh... One of the few cities where I haven't been run out by an enraged magister and his dirty guard.
; str_npc18_home_intro|I must warn you, {playername}. Behind these hills lies Blackhold, the village I ran away from.
; str_npc19_home_intro|'In the darkness, smoke falls like rain! The flames are cold!' An old man once told me that. Ah, I have no idea what it means.
; str_npc20_home_intro|The Sorrows... Home to bandits, and much, much worse.
; str_npc21_home_intro|Ah, my friend: the town of Lys. The place my forefather nearly burned to the ground.
; str_npc22_home_intro|Look {playername}! That's Vulture's Roost!
; str_npc23_home_intro|Look {playername}! That's Winterfell!
; str_npc24_home_intro|Look {playername}! That's Chelsted!
; str_npc25_home_intro|Look {playername}! I've seen this place before! PLAY WITH THE SKULLS!
; str_npc26_home_intro|{playername}, that over there is the Whispers.
; str_npc27_home_intro|Ah, the Dreadfort. Or, well, most people would run screaming from this place. Not go 'ah', as if they're awed by it. Though I guess you would be awed by the Dreadfort, it's big. Nasty place though.
; str_npc28_home_intro|That's Tumbleton over there. Dreadful place. The whores are old, the wine older and the dice filled with lead.
; str_npc1_home_description|Truth be told, the stories of Harrenhal are vastly exaggerated. The ghosts of Harren the Black and his sons haunting the castle, engulfed in flames, and mad lady Lothston sending out bats to bring home naughty children for her cookpots, bah!.
; str_npc2_home_description|People say that the Pentoshi are a bunch of treacherous money-grubbers, but they have a good head for trade, if you ask me. They make the people up and down the coast grow flax, which they weave here into linen. It can't compete with Volantene silks and velvets as a luxury fabric, but it makes good summertime wear and you can use it for the sails of ships. More importantly, linen was one of the few goods that someone else in Essos wasn't already making, if you can believe that.
; str_npc3_home_description|Oldtown has dry winters and hot summers, but the people here build great cisterns to water their crops. They grow grapes -- wine from Oldtown is famous, {playername} -- and those who can afford it make walled gardens, where fruit trees grow in abundance, and we sit at night listening to music, or playing chess, or merely sniff the night air.
; str_npc4_home_description|While my house has never traded extensively with the Volantenes, I still think favorably of them. They know how keep their filthy slaves in check! And they train the best sluts outside of Lys. I myself once had the pleasure of experiencing a whore trained in the ways of the seven sighs. What a night, though her cunt was much too used for my taste.
; str_npc5_home_description|Imagine that! Riding along from tourney to tourney, never loosing a match, and on top of that, you spot the fairest maidens in the land, naked as the day they where born!
; str_npc6_home_description|What an impossing sight! I've seen many of the castles in Westeros, but I never imagined anything close to this!.
; str_npc7_home_description|Look at those high walls, and well-guarded crenelations. Truly, the Crossing is one of the greatest castles in Westeros! I used to swim in that river as a child, and I had my first woman in those trees over there.
; str_npc8_home_description|You haven't heard of this place? No surprise. The Fingers is the most remote part of the Vale of Arryn, and while they might have been somewhat pleasant once, they certainly are not today. During one of the frequent wars between the King in the North and the King of Mountain and Vale, a northern army landed on The Fingers, and systematically raped, pillaged and burned everything in sight. The Fingers have been a desolate place ever since.
; str_npc9_home_description|The Braavosi is a vile bunch, all of them descended from slaves, none of them washing more than once a day. Hmf, I shudder to even think of it. And they don't allow slavery! Even impossed it on Pentos, in that war they won through treachery and deceit!
; str_npc10_home_description|In the days of my ancestors, when Valyria still ruled the world, the Rhoynar led an army against the dragonlords. They were utterly obliterated, and so Queen Nymeria sailed, with all her people, across the Narrow Sea and landed in Dorne, where she took Mors Martell as her husband and brought all of Dorne under their joint rule.
; str_npc11_home_description|I'm from a small village close to Horn Hill. You know the saying, {playername} -- 'Barley grown in Horn Hill is made into ale in Oldtown, and we're all the better for it.' Not sure what that means, {playername}, but it's true about the barley. And wheat, and oats. We grow more grain here in the shadow of the Tarlys than all the rest of Westeros put together, and our ale is the best, too. You can see it in the soil here -- rich and black, and smells of good harvests and full bellies.
; str_npc12_home_description|The old knight of Stonedance, Ser Meribald Massey, had the dropsy, and had requested a maester from Oldtown to treat him. Like a typical citadel-educated healer, he went right to Ellendor for a cure. Ellendor recommends mercury for dropsy. Now, most of Ellendor's writings were useless back in the days of the Targaryen kings, when they were first written down, and they're doubly worthless today, but sometimes he hits upon the right cure by chance: mercury does cure some kinds of dropsy in small doses. However, mercury in large doses is poison, something that the Ellendor-worshippers never grasped.
; str_npc13_home_description|They say lord Tywins father was a foolish and weak man. Though they do not say that to Tywin Lannister. Anyhow, the lords Reyne and Tarbeck rebelled against their liege lord, though I forget why. Probably due to some silly thing, like a woman or gold.
; str_npc14_home_description|I say 'trying' because in my opinion, Norvoshi don't take well to discipline. Finest archers you ever saw, and good riders too, but they have no stomach for fighting in ranks. Their skills serve them well enough against brigands and sellswords, particularly when they can hide behind walls, but the Dothraki can match them arrow for arrow, and I've seen a khalasar cut through their infantry like a knife through butter.
; str_npc15_home_description|Like most castles that last around here, it's got foundations that are as old as the land itself. You can't see them any more with all the rebuilding, but the slabs are the size of a house. They must have utilized giants back in those days, because I don't see how they moved those things otherwise. Beautiful location, too -- Ten Towers sits right in front of the mines of Harlaw, which allows the lord to charge a pretty penny in tolls.
; str_npc16_home_description|Supposively, those stones where set up by old king Mudd, who ruled the Riverlands thousands of years ago. He was supposed to be unbeatable in battle, but he lost his last one. Took an arrow through the nose. His castle was named... well, no one knows, but we call the remains Oldstones.
; str_npc17_home_description|Before I met you, I travelled for a few months through Essos. Lords and ladies flocked to hear me sing! But alas, the rulers of the Free Cities are a jealous bunch! They always found some reason to throw me out of their manses, be it my beautiful voice or the effect I had on their beautiful daughters.
; str_npc18_home_description|It used to be a prosperous place amidst the rocks. We all respected and loved our village elder, like he deserved. He always traveled hence and forth between the neighboring villages, to improve our standing. One day he had forgotten something, and returned early, only to find his wife in bed with a large thrall. Immediately he swung his sword and killed them both.
; str_npc19_home_description|The same man sold me an excellent manticore shell though, so it was not an entirely useless discovery.
; str_npc20_home_description|These are the ruins of Chroyane, the Festival City. That over there is the Bridge of Dreams, and the large palace, or the ruins of a large palace, is the former Palace of Love. Chroyane was the pride of the Rhoynar.
; str_npc21_home_description|I hear that the Lyseni still hold an annual offering, to celebrate the fact that the entire city did not perish in that dreadful fire. Truly, wildfire is demon work.
; str_npc22_home_description|Vulture's Roost was the seat of the Vulture King. He rose up in rebellion during the reign of Daeron the Second, proclaiming himself king.
; str_npc23_home_description|Winterfell has been the seat of the Starks for thousands of years. Bran the Builder raised it with the help of magic and crowned himself the first King in the North.
; str_npc24_home_description|People say this is where Aemon the Dragonknight was born! And my uncle used to tell me how Garth Greenhand was buried beneath our farm!
; str_npc25_home_description|Where do I know this place from, {playername}? What are we doing here?
; str_npc26_home_description|It's where the Kings of Crackclaw Point used to have their seat. Some of the smallfolk tell a silly story about wizards, severed heads and giant knights when they hear about the place.
; str_npc27_home_description|The Boltons arguably have a reputation that's worse than reality, but that Roose... and his bastard... they're not very nice people is what I'm getting at.
; str_npc28_home_description|But that's to be expected. The people still wail over the Sack. And it's been almost two hundred years! To hear the locals tell it, 'twas only a fortnight ago that the Betrayers descended on the town with their dragons.
; str_npc1_home_description_2|Still, there's no denying that every house to hold the castle has met with an unfortunate end. House Hoare, Qoherys, Strong, Harroway, Lothston are all gone, and I hear that lady Whent has died as well. Murdered, more like it, when the Lannisters took the castle. Yes, the castle might not be haunted, but it's a bad place even so, {playername}.
; str_npc2_home_description_2|I had loaded up on saffron, cinnamon, cloves, peppers and other spices and a chest full of fine Arbor vine. I estimated that I could buy linens, furs, velvet, iron and wool, and the extra ships to carry them back, and I'd still make a profit. I just hadn't figured in lord Stannis, who apparently don't care for the common man.
; str_npc3_home_description_2|The poets call Oldtown the most beautiful city in the world, and I think for once that they do not exaggerate. How could they, with the Citadel, the Starry Sept and the Hightower right in front of them!
; str_npc4_home_description_2|The city is ruled by the elected triarchs, three each year. Ever since the Bleeding Years, and the War of Dominion, the Volantenes have kept to their trade and stayed out of war, in no great part thanks to the squabbling of the triarchs.
; str_npc5_home_description_2|I guess some men are truly favored by the gods. Say, did you ever hear the story about Florian the Fool, and his fair maiden Jonquil? No? I don't believe it, every child in Westeros have heard that tale at one point or another! Florian was a brave and homely knight, who one day spied the fair Jonquil bathing in this very pool. He was so captivated that he set out to slay the King of Cracklaw Point, who had been terrorizing the countryside, to gain her favor. When he finally completed his quest, Jonquils father gave him her hand in marriage, but a year later they where both dead! The King had sons, and they stormed in at the wedding feast, intent on revenge. Florian managed to kill all three of them, but not before Jonquil had been hit by an arrow. Consumed by grief, he fell on his own sword!
; str_npc6_home_description_2|They say that the caverns beneath the keep is filled with weapons, vaults stacked with golden coins and supply rooms filled with years worth of provisions. And look at the surrounding land! Never have I seen such rich grape groves, or such well-tended fields of wheat.
; str_npc7_home_description_2|Truly, these lands are the most prosperous and well-governed in all of Westeros! Oh, did I mention that already? Excuse me, but I feel a special kinship with these rolling hills and deep forests, after all, my father is a trueborn son of lord Walder Frey!
; str_npc8_home_description_2|The singers say that it was in retaliation for King Harrold and his men abducting and raping the bethroted of King Edderion, the one they called The Bridegroom. I don't care either way, but they could have left a few trees to smoother this blasted wind!
; str_npc9_home_description_2|Pah, I can smell that swampy city now, it's like a day old fish that's been raped by a scallop! We better avoid this town, {playername}, one is sure to catch a sudden case of slashed throat if I have to stay near this dirty place.
; str_npc10_home_description_2|Look at how the Orphans sail their painted ships up and down the river. It's customary for the children to meet travellers with songs and dancing, and they are generally a peaceful sort. They mostly trade up and down the river, picking fruits, selling dyes and doing the odd farm job. And the have astonishing knowledge of the healing arts, many of their midwives being more skilled than even the maesters.
; str_npc11_home_description_2|Truth be told, I can't quite remember why I left in the first place. Hah! Of course I can! The whores in these parts are old and wrinkled, and their cunts as dusty as the prison of Jak o' the Shadows, heh. Whatever that means. As I told you, {playername}, this land is old, and many of the sayings are older still. I never understood half of what my father told me, and I suspect that neither did he.
; str_npc12_home_description_2|The difference between poison and cure is the dose. You tell that to everyone you meet, and tell them you heard it first from Brynden the Wise. People think that all the wisdom worth knowing was written in old valyrian, but I say you can learn twice as much from village midwives and careful examination of nature than from the entire Citadel library. That's why they threw me out of the Citadel, although in retrospect that was a blessing. Anyway, I put that lord back on his feet, and he availed me of a sack of gold and the corpse of a freshly hanged criminal to dissect. Ha! To think of the lengths I had to go to get specimens back in those days.
; str_npc13_home_description_2|I think they thought that lord Tytos was so meek he'd just cave over, but they hadn't reckoned with young Tywin. He can't have been more than seventeen at the time! He destroyed their combined armies, and laid siege to Castamere and Tarbeck. When the walls finally fell to his catapults, lady Reyne approached him on her knees, her husband dead, and pleaded for the life of her young sons. Tywin Lannister had their infant bodies put on spikes before her, and then had her executed.
; str_npc14_home_description_2|But that's the usual story in these parts, is it not? These fat magisters, archons and what not, they all fear the khalasars, and cover behind their high walls. If they where to properly train an army of pikemen, with archers and crossbowmen behind them, why, I think the next khal to come by would be in for a surprise.
; str_npc15_home_description_2|And here's the funny thing -- old lord Harlaw was a fickle man, and he changed his designs a dozen times. Ten Towers is actually ten different castles, welded together. Anyhow, despite this, the castle is surprisingly defendable. I imagine that any enemy would have a hard time conquering this particular piece of the Iron Islands.
; str_npc16_home_description_2|Westeros is littered with remnants of the past. Essos too. I guess the world always moves on.
; str_npc17_home_description_2|They don't appreciate talent, those fat fish mongers. Bah!
; str_npc18_home_description_2|The fact that she had cheated on him drove him mad, and he started to demand the strangest things. In the end he took a new girl every night, only to have her hanged in the morning to prevent her being unfaithfull to him. Everyone in the village just let him get away with it! I'd rather stay out of sight when we pass through here, if you won't mind.
; str_npc19_home_description_2|Ever seen a manticore, {playername}? They're supposed to live on an island in the Jade Sea, but the natives refuse to tell us which one.
; str_npc20_home_description_2|When the dragonlords descended on prince Garin, he led more than two hundred thousand men against them. They destroyed his army and took him captive, put him in a golden cage, and mocked him. The continued laughing as he called on Mother Rhoyne to drown the invaders, but when the massive tidal wave descended on the invaders, their laughter ceased. It is said that the spirit of the invaders became the shrouded mist that covers these parts, and that prince Garin became the Shrouded Lord.
; str_npc21_home_description_2|I don't think they'd take kindly to a Parren in their midst, my lord. We should move on.
; str_npc22_home_description_2|Supposively, he was quite mad, often pretending to be a vulture himself, going around the castle with feathers stuck to his head, and eating rotten meat.
; str_npc23_home_description_2|King Rodrik was the King in the North who challenged the ironborn to a wrestling match over Bear Island. He wrestled a hundred man to the ground, one after the other, until everyone of the reavers where defeated, and left Bear Island. King Rodrik then granted Bear Island to House Mormont, and they've held it as vassals of the Starks ever since.
; str_npc24_home_description_2|And I've heard it told that Jaehaerys the Wise called this the most beautiful village in all the realm! And my uncles used to tell me the tale of how the remains of Vermithor, the great wyrm called the Bronze Fury, was buried under that large hill over there!
; str_npc25_home_description_2|Who am I!
; str_npc26_home_description_2|But the Whispers are not named after whispering heads. The sound comes from the sea flooding the caves beneath the cliffs.
; str_npc27_home_description_2|Roose always kept tidings from reaching the Starks, but the houses closer to the Dreadfort heard the stories. But what could we do, rebel against our overlords?
; str_npc28_home_description_2|Sure, the Sack was horrible, but it's been a generations since the last person lived who could remember it, so I say they'd ought to get over it!
; str_npc1_home_recap|I was born in a small hamlet close to Summerhall, {playername}
; str_npc2_home_recap|I was born in Duskendale, {playername}, a couple of years before that dreadful defiance business. My entire family was away when lord Darklyn rebelled, else I would not have been here today. Say what you will of Lord Tywin, but if you're going to defy him, you better have an army at your back.
; str_npc3_home_recap|I used to live in my father's house in Oldtown, but I spent much of my childhood in the rivers and the sea, swimming.
; str_npc4_home_recap|My ancestral and glorious home lies in Astapor, looking out over the Bay of Grief, towards the smoking ruins of Valyria.
; str_npc5_home_recap|I was born in the low plains of the Reach, close to Goldengrove.
; str_npc6_home_recap|My family lives close to Barrowton, but I doubt they want anything to do with me.
; str_npc7_home_recap|I was born in a hovel in the fens, not far from {s21}.
; str_npc8_home_recap|I was born on one of the islands adjacent to The Paps. Imagine that, being born on an island less important than The Paps...
; str_npc9_home_recap|I am from the mighty city of Pentos, certainly the cleanest of all the Free Cities!
; str_npc10_home_recap|Born and raised in the hills surrounding the Greenblood, {playername}, and I hope to settle down there one day, perhaps in a small manse.
; str_npc11_home_recap|I was born in a small, and I say that with an emphasis, village close to Horn Hill. That makes me a full-blooded reachman, if nothing else.
; str_npc12_home_recap|Oh, my father was a very minor knight, in service to house Crane. Lived most of my life in Oldtown, but now I travel the world in search of medical lore.
; str_npc13_home_recap|Oh, I was actually born in Ashford, {playername}, though my father made his home at Standfast.
; str_npc14_home_recap|I am the younger son of Khal Ogo.
; str_npc15_home_recap|I'm from Braavos. But Westeros is where the money is to be made, these days, if your trade is siegecraft.
; str_npc16_home_recap|Why, {playername}, I was born in Fairmarket, but my father lost his land to a scheming relative and had to put himself in bond to a nearby lord. That's how I became a squire, a way too soothe my father in his sorrow over loosing our old keep.
; str_npc17_home_recap|I'm from the court of Lys, but I haven't been there since I was a boy.
; str_npc18_home_recap|I ran away from Blackhold, where the village elder terrorizes the women.
; str_npc19_home_recap|I was born in the Queen of Cities. Qarth!
; str_npc20_home_recap|I've been employed all over Essos, as both a guard and a sellsword.
; str_npc21_home_recap|My father's servant left me as a young boy in Rhaggat Eveth before dropping dead.
; str_npc22_home_recap|I was born in King's Landing, but my true home is Cargyll Keep.
; str_npc23_home_recap|I suppose I can tell you again.
; str_npc24_home_recap|My home is Chelsted.
; str_npc25_home_recap|So sweet the flesh, so sweet the child. To carve, to eat, the strips so red...
; str_npc26_home_recap|None of your business.
; str_npc27_home_recap|I was born in a small holdfast in the Lonely Hills.
; str_npc1_honorific|{playername}!
; str_npc2_honorific|{playername}!
; str_npc3_honorific|{playername}!
; str_npc4_honorific|{playername}!
; str_npc5_honorific|{playername}!
; str_npc6_honorific|{playername}!
; str_npc7_honorific|{playername}!
; str_npc8_honorific|{playername}!
; str_npc9_honorific|{playername}!
; str_npc10_honorific|{playername}!
; str_npc11_honorific|{playername}!
; str_npc12_honorific|{playername}!
; str_npc13_honorific|{playername}!
; str_npc14_honorific|{playername}!
; str_npc15_honorific|{playername}!
; str_npc16_honorific|{playername}!
; str_npc17_honorific|{playername}!
; str_npc18_honorific|{playername}!
; str_npc19_honorific|{playername}!
; str_npc20_honorific|{playername}!
; str_npc21_honorific|{playername}!
; str_npc22_honorific|{playername}!
; str_npc23_honorific|{playername}!
; str_npc24_honorific|{playername}!
; str_npc25_honorific|{playername}!
; str_npc26_honorific|{playername}!
; str_npc27_honorific|{playername}!
; str_npc28_honorific|{playername}!
; str_npc1_kingsupport_1|That's a great idea, {playername}. All these merchants and archons and magisters who rule now, with their prisons and gibbets and scaffolds, the whippings and brandings and hangings for any man who might be driven by the crying of his children to steal a loaf of bread, or maybe a horse -- This realm deserves something better.
; str_npc2_kingsupport_1|Well, {playername} -- I'd support you. I think you'd give this world the kind of enlightened rule which it has long needed.
; str_npc3_kingsupport_1|Well, {my lord/my lady} -- I would worry for you. Our histories tell us that power tends to corrupt. But in the end, I am comforted by the mercy and judgment you have shown so far.
; str_npc4_kingsupport_1|Well, {playername}, I think that you would be the kind of {king/queen} that well-born nobles such as myself would be proud to follow into battle...
; str_npc5_kingsupport_1|A fine idea, {playername} - you have shown that you know how to govern men. Mind that you govern them justly, though...
; str_npc6_kingsupport_1|I cannot judge the legal merits of your claim. However, I think that unlike the other sovereigns here, you have the capacity to unify this land -- and that would put a stop to these endless wars, between kingdom and kingdom, noble and noble, and brother and brother, that have brought us all into disgrace in the eyes of all the gods.
; str_npc7_kingsupport_1|Yes -- you'll do well. You know how to treat bandits and ruffians.
; str_npc8_kingsupport_1|The tale of Aegon the Conquerer tells us that a man who does great deeds, beyond those of the other men of his time, may claim the throne. I'd say that you could make that claim.
; str_npc9_kingsupport_1|Very good, {my lord/my lady}. I'm a Pentoshi by blood, but the magisters never stood for me when I was cheated of my inheritance. So I don't owe them anything, and I say, 'Let the rule go to the most valiant!' Which would be you, {playername}.
; str_npc10_kingsupport_1|Well, {playername}, I suppose there must be {kings/kings and queens}, and if there must be {kings/kings and queens}, then you would be as good a {king/queen} as any...
; str_npc11_kingsupport_1|Why, that's a fine idea, {playername}! I suppose I shall have to learn to call you 'Your Majesty', or 'Your Grace', then...
; str_npc12_kingsupport_1|I am sure that you would make a fine king, {playername}. I flatter myself that I am a good judge of character, and you have demonstrated a capacity for compassion that far exceeds that of these others who call themselves monarchs.
; str_npc13_kingsupport_1|That would be a fine thing, village 114! Many is the tale of the hero who has proven his worthiness to wear a crown through valor. Perhaps you know the song of Rand, son of Tam, who rose from obscurity to become king of the whole world. A splendid tale!
; str_npc14_kingsupport_1|Well, {playername}, the heavens have instituted a hierarchy in this world, and normally I would have no truck with usurpation. But I also think that the kings of this land are a weak and sorry lot, not worthy of the name of king, and that leaves the crown free to be taken by a better {man/ruler}, such as yourself.
; str_npc15_kingsupport_1|Well, you pay your men on time, when you can, generally speaking. That's the best qualification for kingship there is, in my book. You show some respect for the rights of others.
; str_npc16_kingsupport_1|Why not, {playername}? I'm sure you'd make a fine {king/queen} -- and of course I'd hope you remember the people like myself who did you a pretty turn on your scramble to the throne.
; str_npc17_kingsupport_1|Don't sweat it, you'd make an excellent {king/queen}.
; str_npc18_kingsupport_1|You've always been so kind: I think you'd make a fair ruler.
; str_npc19_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc20_kingsupport_1|As long as you praise the Heavens, nothing will stand in your way. I think you'd be a fine ruler.
; str_npc21_kingsupport_1|As a noble myself I can recognize royalty in an instant, and I dare say you are one of the finest I've met.
; str_npc22_kingsupport_1|Don't tell me you want to be one of them... But well, maybe you'd do better and be more sensible.
; str_npc23_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc24_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc25_kingsupport_1|How did you find me?
; str_npc26_kingsupport_1|I don't care.
; str_npc27_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc28_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc1_kingsupport_2|I surely would, {playername}. But let me tell you what might bring others to your cause -- particularly us knights. They tell us that in the old days, in the days of the Andals, those who took the throne would issue a great amnesty for all but the worst prisoners in his dungeons, release men from their vows, give people a second chance to make something of themselves -- like you gave me a second chance, {playername}.
; str_npc2_kingsupport_2|Most of the lords of this land -- well, let's just say that they never held a coin that they didn't collect as rent or take as pillage. You, on the other hand, have some experience of commerce and trade, of the effort and risk involved in making sure that men don't go hungry in Pentos while there's a glut of grain in Braavos, to give an example.... If you like, {playername}, I reckon I could find some support for you among the merchants and smallfolk of this realm.
; str_npc3_kingsupport_2|I would, my lord. But I think it would help if you announced an a great tourney once your rule is secure.
; str_npc4_kingsupport_2|Of course, {playername}. The trick is now to get others to follow you. As you know, one's lineage is a great determinant of one's worthiness. Perhaps you have a long-lost ancestor of whom you have not told me?
