dlga_start:lco_conversation_end|Tady jsi.
; dlga_lord_talk:lord_challenge_duel_for_lady|I want you to take back your accusations against {s1}.
; dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|What accusations? Everyone knows that she beds her stable boys and anyone else she can lay hands on while her husband is away. I merely repeat the words of many.
; dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|You will recant these lies, or prove them against my {s0}!
; dlga_lord_challenge_duel_for_lady_2:lord_pretalk|If you say so...
; dlga_lord_challenge_duel:close_window|{s15}
; dlga_lord_talk:lord_challenge_courtship_rival|Relinquish your suit of {s5}!
; dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Or what? Do you intend to duel over a lady? I'll let you know -- our liege frowns on this sort of hot-headed challenge, when every man must stand together against the foreign foe.
; dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Do you fear to fight me?
; dlga_lord_challenge_courtship_rival_2:lord_pretalk|My pardon. I have spoken rashly...
; dlga_start:lady_pretalk|Hello {playername}. what's that, you have a letter from {s9}? Let me see. Oh. What a peculiar turn of phrase. Oh my. I don't know what to say. Did {s9} really write this himself? I was unaware of his interest, but now that I know.... well, let's say that I shall look favourably on him when next we meet. Thank you {playername}, thank you so much!
; dlga_start:lady_pretalk.1|Hello {playername}. what's that, you have a letter from {s9}? Let me see. Oh my. What a strange man. Did that poltroon really write this, or he get one of his stablehands to scrawl it? I have never been so insulted! If you see {s9} please tell him to keep his distance. Oaf!
; dlga_lord_talk:lord_message_delivered|I bring a message from {s9}.
; dlga_lord_message_delivered:lord_pretalk|Oh? Let me see that... Well, well, well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see {reg4?her:him} again.
; dlga_lord_talk:lord_message_delivered_enemy|I bring a message from {s9}.
; dlga_lord_message_delivered_enemy:close_window|Oh? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, with my thanks.
; dlga_lord_talk:lord_deliver_message_prisoner|I bring a message from {s11}.
; dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Can it be true? Oh, thank you kindly, {playername}! You have brought hope and some small ray of light to these bleak walls. Perhaps one day I will be able to repay you.
; dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a| 'Twas the least I could do, {s65}.
; dlga_lord_deliver_message_prisoner_2a:close_window|You've no idea how grateful I am, {playername}. A thousand thanks and more.
; dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Worry not, {s65}. You'll have ample opportunity once you are free again.
; dlga_lord_deliver_message_prisoner_2b:close_window|Hah, of course, {playername}. My eternal thanks go with you.
; dlga_lord_talk:lord_rescue_by_replace_offer|Fear not, I am here to rescue you.
; dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|By God, are you serious? What is your plan?
; dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|A simple ruse, {s65}. If we exchange garments, I shall take your place here in prison, while you make your escape disguised as myself. I paid the guards a handsome bribe, with which I am sure they have already purchased half the wine stocks of the nearest tavern. With some luck they'll soon get so drunk they'd have trouble recognising their own mothers, let alone telling one of us from the other. At least not until you are safely away.
; dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, it might just work... But what of you, my {friend/lady}? The guards won't take kindly to this trickery. You may end up spending some time in this cell yourself.
; dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Not to worry, {s65}. The place is already starting to grow on me.
; dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|I shall be fine as long there is an ample reward waiting at the end.
; dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|You are a brave soul indeed. I won't forget this.
; dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Of course, my {friend/lady}, of course! Come to me when you have regained your freedom, and perhaps I shall be able to repay the debt I owe you.
; dlga_lord_rescue_by_replace_offer_6:close_window|Quickly, {s65}, let us change garments. It is past time you were away from here.
; dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, I wish to restore my old oath to {s4}.
; dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|That is too great a matter for me to decide, {playername}. You should seek out {s4}. Such clemency is {reg0?hers:his} alone to grant or deny.
; dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
; dlga_lord_ask_pardon_terms:lord_pretalk|As you like, {s65}. I will accept your judgment.
; dlga_lord_ask_pardon_terms:lord_pretalk.1|A shame, {s65}. A shame.
; dlga_lord_ask_pardon_terms:lord_pretalk.2|Very well, go and die without me.
; dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Aye, I am ready.
; dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|On second thought, no. I don't wish to be in your service again.
; dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Aye, I agree to those terms.
; dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|That is too high a price, {s65}. I must decline.
; dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excellent. Though you strayed from us, {playername}, it gladdens all our hearts that you have found your way back to the right path. I hereby restore your homage to me. Rise once more as an honoured {man/warrior} in my service.
; dlga_lord_ask_pardon_terms_rejected:close_window|Then get out of my sight, traitor! Begone with you, and do not come back!
; dlga_lord_talk:lord_ask_pardon|I wish to make peace with {s4}.
; dlga_lord_ask_pardon:lord_pretalk|Do you indeed, {playername}? Then go and trip on your sword. Give us all peace.
; dlga_lord_ask_pardon:lord_pretalk.1|{playername}, you are a {lord/lady} without a master, holding lands in your name, with only the barest scrap of a claim to legitimacy. No king in this world would accept a lasting peace with you.
; dlga_lord_ask_pardon:lord_pretalk.2|Make peace when I have you at an advantage? I think not.
; dlga_lord_ask_pardon:lord_pretalk.3|I do not see it as being in my current interest to make peace, and have no interest in negotiations.
; dlga_lord_ask_pardon:dplmc_lord_ask_pardon_ruler_1|As things stand I do not see it as being in my current interest to make peace, but if you were to hand over {s0} I would be willing to agree to a truce of twenty days.
; dlga_dplmc_lord_ask_pardon_ruler_1:close_window|I accept.  I will give you {s0}, and let there be peace.
; dlga_dplmc_lord_ask_pardon_ruler_1:dplmc_lord_ask_pardon_ruler_2a|I don't have {s0} with me.
; dlga_dplmc_lord_ask_pardon_ruler_2a:lord_pretalk|In that case, the war will continue.
; dlga_dplmc_lord_ask_pardon_ruler_1:lord_pretalk|On second thought, such an accord would not be in my interests.
; dlga_lord_ask_pardon:lord_truce_offer|Yes... I am weary of fighting you. I could offer you a truce of twenty days. If you keep your word and do not molest my lands and subjects, we may talk again...
; dlga_lord_truce_offer:close_window|I accept. Let us stop making war upon each other, for the time being anyway
; dlga_lord_truce_offer:lord_pretalk|On second thought, such an accord would not be in my interests.
; dlga_lord_ask_pardon:lord_ask_pardon_2|Hmm. I could use my considerable influence to arrange a pardon for you, {playername}, but there are some who see you as an enemy and will not be satisfied unless you pay tribute. All in all, you'd need to bring no less than {reg16} coins to make any friends in {s4}.
; dlga_lord_ask_pardon:lord_pretalk.4|I am in no position to offer you anything. You must speak to {s7}.
; dlga_lord_ask_pardon:lord_ask_pardon_2.1|Yes... I have bigger worries than you or your followers. However, you have wronged my subjects, and wrongs demand compensation. For the sum of {reg16} coins, I suppose that I could agree to grant you a pardon. What do you say?
; dlga_lord_ask_pardon:lord_pretalk.5|I am sorry. I am in no position to offer you a pardon
; dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|I have the money here. {reg16} coins.
; dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|I fear I cannot pay that much.
; dlga_lord_ask_pardon_tribue_accept:close_window|Excellent, {playername}. I will use this to make amends to those you have wronged, and I will let it be known that you are no longer an enemy of the {s4}.
; dlga_lord_ask_pardon_tribue_accept:close_window.1|Excellent, {playername}. I'll use the coin to smooth the feathers of those that can oppose your pardon, and I'm sure that word will soon spread that you are no longer an enemy of {s4}.
; dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Then there's nothing I can do for you, {playername}. No silver, no pardon.
; dlga_lord_talk:lord_active_mission_1|About the task you gave me...
; dlga_lord_talk:lord_switch_to_spouse|Let us discuss matters related to our household.
; dlga_lord_switch_to_spouse:lord_pretalk|Let us wait until we are in a hall, {s0}, as it is difficult to deal with household inventories and such matters in the field.
; dlga_lord_switch_to_spouse:spouse_talk|Certainly, {s0}
; dlga_lord_talk:lord_request_mission_ask|Do you have any tasks for me?
; dlga_lord_talk:wildfire_talk2|Do you own a valyrian dagger?
; dlga_wildfire_talk2:wildfire_talk3|I do, I do. A fine thing, quite exquisite. Forged in the fires of the Freehold, you know. I own quite a collection actually.
; dlga_wildfire_talk3:wildfire_talk4|Can I convince you to let me buy one of them?
; dlga_wildfire_talk4:wildfire_talk5|I suppose that could be arranged. I shall require 10000 coins for one of my daggers.
; dlga_wildfire_talk5:lord_pretalk|Very well. Here is the gold.
; dlga_wildfire_talk5:lord_pretalk.1|I can't afford that.
; dlga_wildfire_talk2:wildfire_talk3.1|Of course I do. I am a triarch of Volantis, of the blood of Old Valyria. We are the heirs to the Dragonlords, and house Vhassar is the most noble of all the families who live within the Black Walls. We have several artifacts from the Freehold, daggers, ingots of steel, weapons of great importance.
; dlga_wildfire_talk4:wildfire_talk5.1|I suppose that could be arranged. The elections are almost upon us, and the people should be mollified by games and feasts, that they may know my great power. But alas, such spectacle is not cheap. I shall require 15000 coins for one of my daggers.
; dlga_wildfire_talk5:lord_pretalk.2|I can't afford that.
; dlga_wildfire_talk2:wildfire_talk3.2|What noble in Volantis does not? We where the closest allies of the Freehold, the first daughter of Old Valyria. Amongst the families living within the Black Walls, valyrian daggers are as plentiful as the dates upon a palm tree. I use one as a paper weight, hah!
; dlga_wildfire_talk4:wildfire_talk5.2|Bah! Like a common merchant? Who do you think I am? I am of the blood of the dragons! How dare you! No, I cannot sell you a dagger. But ah, what kind of man would I be if I was not generous! You can have a dagger from me, on one condition. Bring me a bottle of Tyroshi Pear Brandy. I have a thirst, and nothing quenches it like a large goblet of brandy. Say what you will of the tyroshi, but they know how to make liquor.
; dlga_wildfire_talk5:lord_pretalk.3|Very well. Here is the brandy.
; dlga_wildfire_talk5:lord_pretalk.4|I will return with a bottle of brandy.
; dlga_wildfire_talk2:wildfire_talk3.3|Ah, yes. A fine blade. I own quite a few. They make for very good gifts, especially when one looks to obtain favorable winds for ones fleet. I myself favor Bakkalon, but I've heard that Gomon Eldros sacrificed one to Boash, the Blind God! Can you imagine that?
; dlga_wildfire_talk4:wildfire_talk5.3|I suppose that could be arranged. Daggers are not good for much, you know. I don't need one to cut my meat, an ordinary one suffices for that, and what else can one do with it? I shall require 5000 coins for one of my daggers.
; dlga_wildfire_talk5:lord_pretalk.5|I can't afford that.
; dlga_lord_talk:pj_wildfire_talk2|I've cleared out the pirates on Bloodstone.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3|Well, I'm glad they have been taken care of. Those islands are usually teeming with outlaws, but it haven't been too bad lately.
; dlga_pj_wildfire_talk3:pj_wildfire_talk4|I imagine their death might be worth a reward.
; dlga_pj_wildfire_talk4:pj_wildfire_talk5|Reckon so, do you?
; dlga_pj_wildfire_talk5:pj_wildfire_talk6|I suppose the people of Tyrosh could find some way to thank you for your services. Here, take this.
; dlga_pj_wildfire_talk6:pj_wildfire_talk7|Thank you.
; dlga_pj_wildfire_talk7:lord_pretalk|My pleasure. Less pirates means more trade.
; dlga_lord_talk:wildfire_talk2.1|My lord, what will you do about Renly?
; dlga_wildfire_talk2:wildfire_talk3.4|Renly... What has Renly ever done to earn a throne? He sits in council and jests with Littlefinger, and at tourneys he dons his splendid suit of armor and allows himself to be knocked off his horse by a better man. That is the sum of my brother Renly, who wants to be king. It is not a question of wanting.
; dlga_wildfire_talk3:wildfire_talk5|The throne is mine, as Robert's heir. That is law. After me, it must pass to my daughter, unless Selyse should finally give me a son. I am king. Wants do not enter into it. I have a duty to my daughter. To the realm. Even to Robert. He loved me but little, I know, yet he was my brother. The Lannister woman gave him horns and made a motley fool of him. She may have murdered him as well, as she murdered Jon Arryn and Ned Stark. For such crimes there must be justice. I mean to scour King's Landing clean, to bring justice to lord and peasant alike, and for that I must sit the Iron Throne.
; dlga_wildfire_talk5:wildfire_talk6|How can I be of service, my lord?
; dlga_wildfire_talk6:wildfire_talk7|How indeed, {playername}? Renly is my younger brother. By law the throne belongs to me. By all the laws of gods and men. He intends to flaunt these laws, and for that there must be justice.
; dlga_wildfire_talk7:wildfire_talk8|I, Stannis Baratheon, King of Westeros, hereby charge you with bringing justice to Renly Baratheon, Lord of Storm's End. I denounce him, and attaint him, I strip him of all rank and title, of all lands and holdings, and sentence him to death. Do your duty, {playername}.
; dlga_wildfire_talk8:wildfire_talk9|The kinslayer is accursed in the eyes of the gods, your Grace.
; dlga_wildfire_talk9:wildfire_talk10|I stopped believing in gods the day I saw the Windproud break up across the bay. Any gods so monstrous as to drown my mother and father would never have my worship, I vowed. In King’s Landing, the High Septon would prattle at me of how all justice and goodness flowed from the Seven, but all I ever saw of either was made by men. Men make justice, and it is all a king must do.
; dlga_wildfire_talk10:lord_pretalk|I never asked for this crown. Gold is cold and heavy on the head, but so long as I am the king, I have a duty. I shall bring justice to Westeros, a thing Renly understands as little as war. The lords must pay the traitors price, and when I come into my kingdom, they shall. Every man shall reap what he has sown, from the highest lord to the lowest gutter rat. And some will lose more than the tips off their fingers, I promise you. They have made my kingdom bleed, and I do not forget that.
; dlga_lord_talk:wildfire_talk2.2|Lord Renly is dead.
; dlga_wildfire_talk2:wildfire_talk3.5|Renly... The Iron Throne is mine by rights. All those who deny it are my foes. Yet Renly was my brother. I did not like the man he grew to be, but I remember him as a boy... If he had done his duty by me, I would sit the throne now, and he would be my chosen heir.
; dlga_wildfire_talk3:lord_pretalk|Those lords who supported him, however... Good men and true will fight for Joffrey, wrongly believing him the true king. A northman might even say the same of Robb Stark. But these lords who flocked to my brother’s banners knew him for a usurper. They turned their backs on their rightful king for no better reason than dreams of power and glory, and I have marked them for what they are.
; dlga_lord_talk:combined_political_quests|Do you think we can work together to advance our standings in this realm?
; dlga_combined_political_quests:lord_pretalk|I do not imagine that you and I have many mutual interests.
; dlga_combined_political_quests:lord_pretalk.1|Hmm.. Perhaps we can discuss this matter in a more private setting, at a later date.
; dlga_combined_political_quests:lord_pretalk.2|Hmm.. I do have an idea, but it would require you that you be free of controversy. If you were to wait some time without getting into any arguments with the other {s0} of our realm, perhaps we could proceed further.
; dlga_lord_talk:lord_ask_resign_marshalship|I wish to resign the marshalship
; dlga_lord_ask_resign_marshalship:lord_pretalk|So be it. I shall have to find someone else.
; dlga_lord_talk:lord_ask_enter_service|{s66}, I have come to offer you my sword in vassalage!
; dlga_lord_talk:lord_ask_enter_service.1|{s66}, I wish to become your sworn {man/woman} and fight for your honour.
; dlga_lord_talk:lord_ask_leave_service|{s66}, I wish to be released from my oath to you.
; dlga_lord_talk:lord_talk_preoffer|I have an offer for you.
; dlga_lord_talk:lord_give_troops|I want to give some troops to you.
; dlga_lord_give_troops:lord_pretalk|I can't accomodate any more {reg65?men:soldiers} right now.  My supply lines are overtaxed as it is.
; dlga_lord_give_troops:lord_pretalk.1|I have plenty of soldiers at the moment, but I suppose I could accomodate a few more.
; dlga_lord_give_troops:lord_give_troops_1|Well, I could use some good soldiers.
; dlga_lord_give_troops_1:lord_give_troops_2|Thank you.
; dlga_lord_give_troops_2:lord_pretalk|It's my pleasure to do this.
; dlga_lord_talk:lord_give_order_ask|I have a new task for you.
; dlga_lord_talk:lord_give_suggestion_ask|May I suggest a course of action?
; dlga_lord_give_order_ask:lord_give_order|Yes?
; dlga_lord_give_suggestion_ask:lord_give_order|I will gladly follow your direction, {my lord/your Highness}. If you intend to direct an extensive campaign, however, you may also wish to declare yourself marshal, so there is no cause for confusion.
; dlga_lord_give_suggestion_ask:lord_pretalk|My apologies. I don't know you well enough to take your advice.
; dlga_lord_give_suggestion_ask:lord_give_order.1|What is it?
; dlga_lord_give_order:lord_give_order_answer|Follow me.
; dlga_lord_give_order:lord_give_order_answer.1|Will you follow me? I have a plan...
; dlga_lord_give_order:lord_give_order_details_ask|Go to...
; dlga_lord_give_order:lord_give_order_details_ask.1|Raid around the village of...
; dlga_lord_give_order:lord_give_order_details_ask.2|Patrol around...
; dlga_lord_give_order:lord_give_order_assault|Together, you and I can take {s11}. You should assault immediately...
; dlga_lord_give_order:lord_give_order_details_ask.3|We are under attack, but the enemy can be repulsed. You should ride towards...
; dlga_lord_give_order:lord_give_order_details_ask.4|We are under attack, but the enemy can be repulsed. You should assemble the army and march to...
; dlga_lord_give_order_assault:lord_pretalk|{s4} is directing this siege. I suggest you speak to {reg4?her:him}
; dlga_lord_give_order_assault:lord_pretalk.1|Our preparations are not yet ready. We need another {s11}
; dlga_lord_give_order_assault:close_window|Very well -- to the walls!
; dlga_lord_give_order:lord_give_order_details_ask.5|There is a fortress which can easily be taken. Go to..
; dlga_lord_give_order:lord_give_order_details_ask.6|The enemy is coming in force. Flee in the direction of...
; dlga_lord_give_order:lord_give_order_stop|I won't need you for some time. You are free to do as you like.
; dlga_lord_give_order:lord_give_order_stop.1|You no longer need to accompany me.
dlga_lord_give_order:lord_pretalk|Zapomeň na to.
; dlga_lord_give_order_details_ask:lord_pretalk|It is not my way to turn tail and run, without even laying eyes on the enemy.
; dlga_lord_give_order_details_ask:lord_pretalk.1|You want me to shed my blood outside a fortress while others stand by and watch? I think not.
; dlga_lord_give_order_details_ask:lord_give_order_details|Where?
; dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Zapomeň na to.
; dlga_lord_give_order_stop:lord_pretalk|All right. I will stop here.
; dlga_lord_give_order_answer:lord_give_order|That would hardly be proper. It would be more appropriate for you to follow me instead. Did you have any other ideas?
; dlga_lord_give_order_answer:lord_pretalk|All right. I will do that.{s12}
; dlga_lord_give_order_answer:lord_pretalk.1|I am sorry. I need to attend my own business at the moment.
; dlga_lord_start:lord_talk.5|What is it?
; dlga_lord_talk:lord_give_order_call_to_arms_verify|I want to start a new campaign. Let us assemble the army here.
; dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|You wish to summon all lords for a new campaign?
; dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Yes. We must gather all our forces before we march on the enemy.
; dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|On second thought, it won't be necessary to summon everyone.
; dlga_lord_give_order_call_to_arms:lord_pretalk|All right then. I will send messengers and tell everyone to come here.
; dlga_lord_talk:lord_give_order_disband_army_verify|I want to end the campaign and let everyone return home.
; dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|You want to end the current campaign and release all lords from duty?
; dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Yes. We no longer need all our forces here.
; dlga_lord_give_order_disband_army_2:lord_pretalk|On second thought, it will be better to stay together for now.
; dlga_lord_give_order_disband_army:lord_pretalk|All right. I will let everyone know that they are released from duty.
; dlga_lord_talk:lord_talk_ask_something|I wish to ask you something.
; dlga_lord_talk_ask_something:lord_talk_ask_something_2|Aye? What is it?
; dlga_lord_talk_ask_something_2:lord_talk_ask_skill|Have your skills increased since the days when we were travelling companions?
; dlga_lord_talk_ask_skill:lord_pretalk|Let me show you...
; dlga_lord_talk_ask_something_2:lord_talk_ask_skill.1|If it would please you, can you tell me about your skills?
; dlga_lord_talk_ask_skill:lord_pretalk.1|Well, all right.
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Ještě něco dalšího?
; dlga_lord_talk_ask_something_2:lord_talk_ask_location|I want to know the location of someone.
; dlga_lord_talk_ask_something_2:lord_tell_objective|What are you and your men doing?
; dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|What is the realm doing?
; dlga_lord_talk_ask_about_strategy:lord_pretalk|You should decide that, as you are the marshal.
; dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|How goes the war?
; dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
; dlga_lord_talk_ask_something_2:dplmc_lord_ask_exchange_fief_1|{s19}
; dlga_dplmc_lord_ask_exchange_fief_1:lord_pretalk|{s19}
; dlga_dplmc_lord_ask_exchange_fief_1:dplmc_lord_exchange_fief_select_1|{s19}
; dlga_dplmc_lord_exchange_fief_select_1:dplmc_lord_ask_exchange_fief_2|{s1}
dlga_dplmc_lord_exchange_fief_select_1:lord_pretalk|Zapomeň na to.
; dlga_dplmc_lord_ask_exchange_fief_2:dplmc_lord_exchange_fief_select_2|{s19}
; dlga_dplmc_lord_exchange_fief_select_2:dplmc_lord_exchange_fief_select_3|{s1}
dlga_dplmc_lord_exchange_fief_select_2:lord_pretalk|Zapomeň na to.
; dlga_dplmc_lord_exchange_fief_select_3:dplmc_lord_exchange_fief_confirm|{s14}
; dlga_dplmc_lord_exchange_fief_select_3:lord_pretalk|{s14}
; dlga_dplmc_lord_exchange_fief_confirm:lord_pretalk|{s14}
; dlga_dplmc_lord_exchange_fief_confirm:lord_pretalk.1|Actually, forget about this for now.
; dlga_lord_marriage_permission:lord_pretalk|Great heaven, man -- if I haven't given you permission to see her, do you think I'm going to give you permission to marry her?
; dlga_lord_marriage_permission:lord_pretalk.1|It is not my way to push my {s11} to marry against her will or her better judgment
; dlga_lord_marriage_permission:lord_pretalk.2|Sorry, lad -- I'm not going to make my {s11} marry you, when I'd rather see her married to {s12}
; dlga_lord_marriage_permission:lord_marriage_permission_endowment|Splendid news, my young man -- I shall be proud to have you in our family. Now, let us talk the terms of the marriage. As per our custom, the two of us must make sure that {s11} has sufficient finances to support herself, in the event of any unforeseen circumstances..
; dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|I would say that, taking into consideration the prestige of our two houses, that you can provide a dower of {reg3} coins, while I will supply a dowry of {reg4} coins. This shall be her ladyship's property, as a security, lest for any reason you are unable to provide for her. What say you to that?
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Very well -- so let it be.
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|I cannot afford that right now.
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|That is too much to pay.
; dlga_lord_marriage_permission_endowment_answer_no:close_window|Well. I cannot in all decency allow my daughter to marry without some security, can I? Let me know if you change your mind.
; dlga_lord_marriage_permission_engagement_date:close_window|Splendid! You two may now consider yourselves offically betrothed. Very well -- I shall plan to hold a great feast in {s24}, as soon as circumstances permit. We will be sure to notify you when the day comes.
; dlga_lord_marriage_permission_engagement_date:close_window.1|Unfortunately, there is one final complication -- there is no safe place to hold the wedding. Let us hold off on finalizing this, for the time being.
; dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|No matter -- take the time you need to raise the money. I want her ladyship to be well looked after.
; dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|That is a shame, but I would be remiss in my duty if I allowed her ladyship to face an uncertain future.
; dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10} I have the honor of visiting with {s14}{s12}?
; dlga_lord_courtship_permission:lord_pretalk|{s12}
; dlga_lord_courtship_permission:lord_pretalk.1|From what I hear, you have already spoken to her -- without my permission. Let me tell you this: I am her lord and guardian, and I have plans for her. I will not be mocked behind my back as a man who cannot control the women of his household. I would ask you not to discuss this matter with me again.
; dlga_lord_courtship_permission:lord_pretalk.2|{s14}
; dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|What would it take to cement a lasting alliance with your house?
dlga_lord_talk_ask_something_2:lord_pretalk|Zapomeň na to.
; dlga_lord_talk_ask_location:lord_pretalk|Then you will have to ask someone else.
; dlga_lord_talk_ask_location:lady_pretalk|I am afraid you will have to ask someone else.
; dlga_lord_talk_ask_location:lord_talk_ask_location_2|Very well, I may or may not have an answer for you. About whom do you wish to hear?
; dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
; dlga_lord_talk_ask_location_2:lord_talk_ask_location|{s1}
; dlga_lord_talk_ask_location_2:lord_pretalk|Never mind.
; dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
; dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
; dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
; dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Tell me more about the war with {s1}.
; dlga_lord_talk_ask_about_war_2:lord_pretalk|That's all I wanted to know. Thank you.
; dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
; dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
; dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|Did you have any other questions?
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Our leader {s4} is far too cautious. {reg4?She:He} should either use the army to attack the enemy, or let it go home.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Our army sits, doing nothing. Apparently, too few vassals have answered the call to arms. Perhaps {s4} does not enjoy the confidence of the great lords of this realm.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|I disagree with this strategy. I would prefer to {s4}.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|I personally would prefer to attack {s8}, but our marshal {s10} believes that it {s9}
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|I personally would prefer to defend {s8}, instead of {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Ještě něco dalšího?
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|This strategy seems reasonable to me.
; dlga_lord_strategy_follow_up:lord_strategy_why_not|If you're attacking, why aren't you...
; dlga_lord_strategy_follow_up:lord_talk_ask_something_again|I see....
; dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Would you say, then, that {s4} should no longer be marshal?
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|I believe that our realm should resolve the issue of {s4} before we begin to debate replacing the marshal.
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Yes. I have already made my position on this matter clear. I believe that {s4} should be marshal instead of {s5}.
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|I will make up my mind on this matter without your persuasion.
; dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Hmm...
; dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Yes, I would say that. At this point, I would be tempted to say that I support {s15} instead. I am glad that you and I had this discussion, so that I know that we are of the same mind on this matter.
; dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Not necessarily. It is possible for {s4} and I have to have an honest disagreement over strategy, without my seeking to replace him.
; dlga_lord_strategy_why_not:lord_strategy_why_not_select|Yes?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Zapomeň na to.
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|..planning to continue with the attack on {s4}?
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|..defending {s4}?
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|..attacking {s4}?
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Our marshal {s11} believes that {s8} {s9}{s10}
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|We could go there. {s7} However, {s5} {s3} {s4}. {s6} {s8}.
; dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|Did you have any similar questions? Why we are not...
; dlga_lord_talk_ask_marriage_1:lord_pretalk|Have no fear, I have no intention of changing my mind.  We will be married as soon as there is an opportunity worthy of the august event.
