dlga_start:lco_conversation_end|Buyrun.
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Very well -- so let it be.
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|I cannot afford that right now.
; dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|That is too much to pay.
; dlga_lord_marriage_permission_endowment_answer_no:close_window|Well. I cannot in all decency allow my daughter to marry without some security, can I? Let me know if you change your mind.
; dlga_lord_marriage_permission_engagement_date:close_window|Splendid! You two may now consider yourselves offically betrothed. Very well -- I shall plan to hold a great feast in {s24}, as soon as circumstances permit. We will be sure to notify you when the day comes.
; dlga_lord_marriage_permission_engagement_date:close_window.1|Unfortunately, there is one final complication -- there is no safe place to hold the wedding. Let us hold off on finalizing this, for the time being.
; dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|No matter -- take the time you need to raise the money. I want her ladyship to be well looked after.
; dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|That is a shame, but I would be remiss in my duty if I allowed her ladyship to face an uncertain future.
; dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10} I have the honor of visiting with {s14}{s12}?
; dlga_lord_courtship_permission:lord_pretalk|{s12}
; dlga_lord_courtship_permission:lord_pretalk.1|From what I hear, you have already spoken to her -- without my permission. Let me tell you this: I am her lord and guardian, and I have plans for her. I will not be mocked behind my back as a man who cannot control the women of his household. I would ask you not to discuss this matter with me again.
; dlga_lord_courtship_permission:lord_pretalk.2|{s14}
; dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|What would it take to cement a lasting alliance with your house?
; dlga_lord_talk_ask_something_2:lord_pretalk|Never mind.
; dlga_lord_talk_ask_location:lord_pretalk|Then you will have to ask someone else.
; dlga_lord_talk_ask_location:lady_pretalk|I am afraid you will have to ask someone else.
; dlga_lord_talk_ask_location:lord_talk_ask_location_2|Very well, I may or may not have an answer for you. About whom do you wish to hear?
; dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
; dlga_lord_talk_ask_location_2:lord_talk_ask_location|{s1}
; dlga_lord_talk_ask_location_2:lord_pretalk|Never mind.
; dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
; dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
; dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
; dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Tell me more about the war with {s1}.
; dlga_lord_talk_ask_about_war_2:lord_pretalk|That's all I wanted to know. Thank you.
; dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
; dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
; dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|Did you have any other questions?
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Our leader {s4} is far too cautious. {reg4?She:He} should either use the army to attack the enemy, or let it go home.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Our army sits, doing nothing. Apparently, too few vassals have answered the call to arms. Perhaps {s4} does not enjoy the confidence of the great lords of this realm.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|I disagree with this strategy. I would prefer to {s4}.
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|I personally would prefer to attack {s8}, but our marshal {s10} believes that it {s9}
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|I personally would prefer to defend {s8}, instead of {s9}.
; dlga_lord_strategy_follow_evaluation:lord_talk|Is there anything else?
; dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|This strategy seems reasonable to me.
; dlga_lord_strategy_follow_up:lord_strategy_why_not|If you're attacking, why aren't you...
; dlga_lord_strategy_follow_up:lord_talk_ask_something_again|I see....
; dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Would you say, then, that {s4} should no longer be marshal?
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|I believe that our realm should resolve the issue of {s4} before we begin to debate replacing the marshal.
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Yes. I have already made my position on this matter clear. I believe that {s4} should be marshal instead of {s5}.
; dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|I will make up my mind on this matter without your persuasion.
; dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Hmm...
; dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Yes, I would say that. At this point, I would be tempted to say that I support {s15} instead. I am glad that you and I had this discussion, so that I know that we are of the same mind on this matter.
; dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Not necessarily. It is possible for {s4} and I have to have an honest disagreement over strategy, without my seeking to replace him.
; dlga_lord_strategy_why_not:lord_strategy_why_not_select|Yes?
; dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Never mind
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|..planning to continue with the attack on {s4}?
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|..defending {s4}?
; dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|..attacking {s4}?
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Our marshal {s11} believes that {s8} {s9}{s10}
; dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|We could go there. {s7} However, {s5} {s3} {s4}. {s6} {s8}.
; dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|Did you have any similar questions? Why we are not...
; dlga_lord_talk_ask_marriage_1:lord_pretalk|Have no fear, I have no intention of changing my mind.  We will be married as soon as there is an opportunity worthy of the august event.
; dlga_lord_talk_ask_marriage_1:dplmc_claimant_marriage_proposal_pc_confirm|I do not forget that it was your strong right arm that placed me on this throne.  Do you aim to take Baybak's place as my {husband/wife}, to rule the {s0} with me as Commander of the Armies even as I am Mother of the Realm?
; dlga_lord_talk_ask_marriage_1:dplmc_claimant_marriage_proposal_pc_confirm.1|Are you proposing to rule the {s0} alongside me as my {husband/wife}?
; dlga_dplmc_claimant_marriage_proposal_pc_confirm:dplmc_claimant_marriage_proposal_pc_reax|Yes. That is my proposal.
; dlga_dplmc_claimant_marriage_proposal_pc_confirm:lord_pretalk|No, I think you have misunderstood me.  Forget I brought it up.
; dlga_dplmc_claimant_marriage_proposal_pc_confirm:lord_pretalk.1|Oh, HELL no!  No, you totally have the wrong idea... forget I said anything.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk|Have no fear, I have no intention of changing my mind.  We will be married as soon as there is an opportunity worthy of the august event.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk.1|Unfortunately this is impossible, since I am already married to {s0}.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk.2|Unfortunately this is impossible, since you are already married to {s0}.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk.3|Unfortunately this is impossible, since I am already engaged to {s0}.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk.4|Unfortunately this is impossible, since you are already engaged to {s0}.
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_pretalk.5|{s14}
; dlga_dplmc_claimant_marriage_proposal_pc_reax:lord_marriage_proposal_female_pc_confirm_engagement|{s14}
; dlga_lord_talk_ask_marriage_1:lord_pretalk.1|It is our custom to seal any such alliances with marriage.  You have made quite a few waves since your arrival, and I might be willing to consider such an arrangement, but unfortunately no one in my household is eligible to wed.
; dlga_lord_talk_ask_marriage_1:lord_pretalk.2|You will not take offense if I tell you that, as a ruler, I have other plans for my children.
; dlga_lord_talk_ask_marriage_1:lord_pretalk.3|It is our custom to seal any such alliances with marriage. Unfortunately, no one in my household is eligible to wed.
; dlga_lord_talk_ask_marriage_1:lord_courtship_pre_permission|{s15}
; dlga_lord_talk_ask_marriage_1:lord_marriage_proposal_female_pc_confirm|Are you proposing that you and I marry?
; dlga_lord_courtship_pre_permission:lord_courtship_permission|May I {s15}suggest that I be considered as a {groom/bride}?
; dlga_lord_courtship_pre_permission:lord_marriage_permission_engagement_date|CHEAT -- Start engagement
; dlga_lord_courtship_pre_permission:lord_pretalk|Never mind
; dlga_lord_marriage_proposal_female_pc_confirm:lord_marriage_proposal_female_pc_reax|Yes. That is my proposal.
; dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk|No, I think you have misunderstood me.
; dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk.1|Oh, HELL no!  No, you totally have the wrong idea... forget I said anything.
; dlga_lord_marriage_proposal_female_pc_reax:lord_pretalk|{s14}
; dlga_lord_marriage_proposal_female_pc_reax:lord_marriage_proposal_female_pc_next_step|{s14}
; dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_2|I must say, though. You live your life like a {woman/man}, riding where you will, with the company you choose. This will not make it easy for the other {s0} to accept our marriage. I don't suppose that you would give up adventuring, for the sake of our marriage?
; dlga_lord_marriage_proposal_female_pc_next_step_2:lord_marriage_proposal_female_pc_next_step_5|I think not!
; dlga_lord_marriage_proposal_female_pc_next_step_2:lord_marriage_proposal_female_pc_next_step_5.1|Very well.
; dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_4|I suppose the next step would be for me to send a message to your family, asking for their permission to marry you, but I suppose that you make your own decisions.
; dlga_lord_marriage_proposal_female_pc_next_step_4:lord_marriage_proposal_female_pc_next_step_5|You assume correctly.
; dlga_lord_marriage_proposal_female_pc_next_step_5:lord_marriage_proposal_female_pc_confirm_engagement|Very well, then. As there are no obstacles to our marriage, should we then consider ourselves engaged to be wed? I will organize a great feast, and we can exchange our vows before all the {s0} of the realm. If you are willing, that is...
; dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_yes|I am willing.
; dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_no|Actually, I would like to reconsider.
; dlga_lord_marriage_proposal_female_pc_confirm_engagement_yes:close_window|Very well. Hopefully, a little over a month from now, we shall be wed.{s12}
; dlga_lord_marriage_proposal_female_pc_confirm_engagement_no:close_window|Take whatever time you need, my {lord/lady}.
; dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|I say this only once, {s4}! Surrender or die!
; dlga_party_encounter_lord_hostile_ultimatum_surrender:close_window|{s43}
; dlga_lord_talk:lord_predemand|I'm here to deliver you my demands!
; dlga_lord_predemand:lord_demand|Eh? What do you want?
; dlga_lord_demand:lord_ultimatum_surrender|I offer you one chance to surrender or die.
; dlga_lord_ultimatum_surrender:lord_attack_verify|{s43}
; dlga_lord_attack_verify:lord_attack_verify_cancel|Forgive me, my lord. I don't know what I was thinking.
; dlga_lord_attack_verify_cancel:close_window|Be gone, then.
; dlga_lord_attack_verify:lord_attack_verify_commit|That is none of your business. Prepare to fight!
; dlga_lord_ultimatum_surrender:lord_attack_verify_b|{s43}
; dlga_lord_attack_verify_b:lord_attack_verify_cancel|Forgive me, my lord. I don't know what I was thinking.
; dlga_lord_attack_verify_b:lord_attack_verify_commit|I stand my ground. Prepare to fight!
; dlga_lord_attack_verify_commit:close_window|{s43}
; dlga_lord_demand:lord_pretalk|Forgive me. It's nothing.
; dlga_lord_talk:liege_defends_claim_1|I have met in my travels one who calls {reg3?herself:himself} {s45}...
; dlga_liege_defends_claim_1:liege_defends_claim_2|Oh really? It is not everyone who dares mention that name in my presence. I am not sure whether to reward your bravery, or punish you for your impudence.
; dlga_liege_defends_claim_2:liege_defends_claim_3|Very well. I will indulge your curiosity. But listen closely, because I do not wish to speak of this matter again.
; dlga_liege_defends_claim_3:liege_defends_claim_4|{s48}
; dlga_liege_defends_claim_4:lord_talk|{s48}
; dlga_lord_join_rebellion_suggest_cheat:close_window|Cheat:Allright.
; dlga_lord_talk:lord_prison_break_chains|I've come to break you out of here.
; dlga_lord_prison_break_chains:close_window|Thank the heavens you came! However, I'm not going anywhere with these chains on my legs. You'll need to get the key away from the guard somehow.
; dlga_lord_tell_objective:lord_pretalk|What am I doing? What does it look like I'm doing?! I'm a prisoner here!
; dlga_lord_tell_objective:lord_pretalk.1|I am not commanding any {reg65?soldiers:men} at the moment.
; dlga_lord_tell_objective:lord_pretalk.2|We are resting at {s1}.
; dlga_lord_tell_objective:lord_pretalk.3|We are travelling to {s1}.
; dlga_lord_tell_objective_2:lord_pretalk|I am heading to the vicinity of {s1}.
; dlga_lord_tell_objective:lord_pretalk.4|We are recruiting new soldiers from {s1}.
; dlga_lord_tell_objective:lord_pretalk.5|We are scouting for the enemy around {s1}.
; dlga_lord_tell_objective:lord_pretalk.6|We are laying waste to the village of {s1}.
; dlga_lord_tell_objective:lord_pretalk.7|We are retreating to {s1}.
; dlga_lord_tell_objective:lord_pretalk.8|We are besieging {s1}.
; dlga_lord_tell_objective:lord_pretalk.9|We are fighting against {s1}.
; dlga_lord_tell_objective:lord_pretalk.10|I am screening {s1}'s advance.
; dlga_lord_tell_objective:lord_pretalk.11|We are accompanying {s1}.
; dlga_lord_tell_objective:lord_talk_ask_about_strategy|I am leading the army of the realm.
; dlga_lord_tell_objective:lord_pretalk.12|We are reconsidering our next objective.
; dlga_lord_tell_objective:lord_pretalk.13|I don't know: {reg1} {s1} (ERROR)
; dlga_lord_talk:lord_ask_follow|Will you follow me? I have a plan.
; dlga_lord_ask_follow:close_window|I enjoy your company, {playername}, but there are other things I must attend to. Perhaps in a few days I can ride with you again.
; dlga_lord_ask_follow:close_window.1|That would hardly be proper, {playername}. Why don't you follow me instead?
; dlga_lord_ask_follow:close_window.2|{s43}
; dlga_lord_ask_follow:close_window.3|Lead the way, {playername}! Let us bring death and defeat to all our enemies.
; dlga_lord_talk_preoffer:lord_talk_offer|Yes?
; dlga_lord_talk_offer:knight_offer_join|I wish to ransom one of your prisoners.
; dlga_lord_talk_offer:lord_pretalk|Never mind.
; dlga_knight_offer_join:hero_pretalk|I fear I cannot join you at the moment, {playername}, I've important business to attend to and it cannot wait.
; dlga_knight_offer_join:hero_pretalk.1|You forget your place. I do not take orders from the likes of you.
; dlga_knight_offer_join:knight_offer_join_2|I would be glad to fight at your side, my friend, but there is a problem... The thing is, I've found myself in a bit of debt that I must repay very soon. {reg6} coins altogether, and I am honour-bound to return every coin. Unless you've got {reg6} coins with you that you can spare, I've to keep my mind on getting this weight off my neck.
; dlga_knight_offer_join:close_window|Join you? I think not.
; dlga_knight_offer_join:knight_offer_join_2.1|Aye, my friend, I'll be happy to join you.
; dlga_knight_offer_join_2:knight_offer_join_accept|Here, take it, all {reg6} coins you need. 'Tis only money.
; dlga_knight_offer_join_2:knight_offer_join_accept.1|Then let us ride together, my friend.
; dlga_knight_offer_join_2:close_window|That's good to know. I will think on it.
; dlga_knight_offer_join_2:hero_pretalk|That's good to know. I will think on it.
; dlga_knight_offer_join_accept:knight_offer_join_accept_party|I've some trusted men in my band who could be of use to you. What do you wish to do with them?
; dlga_knight_offer_join_accept:close_window|Ah, certainly, it might be fun!
; dlga_knight_offer_join_accept_party:knight_join_party_disband|You may disband your men. I've no need for other troops.
; dlga_knight_offer_join_accept_party:knight_join_party_join|Your men may join as well. We need every soldier we can muster.
; dlga_knight_offer_join_accept_party:knight_join_party_lead_out|Lead your men out of the town. I shall catch up with you on the road.
; dlga_knight_offer_join_accept_party:knight_join_party_lead_out.1|Keep doing what you were doing. I'll catch up with you later.
; dlga_knight_join_party_disband:close_window|Ah . . . Very well, {playername}. Much as I dislike losing good men, the decision is yours. I'll disband my troops and join you.
; dlga_knight_join_party_join:close_window|Excellent. My lads and I will ride with you.
; dlga_knight_join_party_lead_out:close_window|Very well then. I shall maintain a patrol of this area. Return if you have further orders for me.
; dlga_lord_enter_service_reject:close_window|Indeed.... Did you offer vassalage, then, just to by time? Very well -- you shall have time to reconsider, but if you are toying with me, it will do your reputation no credit.
; dlga_lord_give_oath_give_up:close_window|Indeed.... Did you offer vassalage, then, just to buy time? Very well -- you shall have time to reconsider, but if you are toying with me, it will do your reputation no credit.
; dlga_lord_enter_service_reject:close_window.1|What pigswill! And to think I would offer you a place among my nobles. Begone, beggar, before I lose my temper!
; dlga_lord_ask_enter_service:lord_give_oath_under_oath_already|You are already oath-bound to serve {s5}, are you not?
; dlga_lord_give_oath_under_oath_already:lord_pretalk|Indeed I am, {s65}. Forgive my rambling.
; dlga_lord_ask_enter_service:lord_pretalk|I accept oaths only from those I can trust to keep them, {playername}.
; dlga_lord_ask_enter_service:lord_ask_enter_service_female_2|My {lord/lady}, you seem to have the makings of a good war leader. For a {man/woman} to show such skill is an uncommon thing, but not completely without precedent. Noble{men/women} have often taken command of armies after their {wives/husbands} or {mothers/fathers} were slain or captured, for example.
; dlga_lord_ask_enter_service_female_2:lord_ask_enter_service_female_response|However, I have never heard of a {s0} who granted a fief to a {man/woman}, no matter how valorous, simply because {reg65?she:he} needed an extra vassal. Were I to do such a thing, I would raise eyebrows across the realm. {People/Men} would say that I was besotted or bewitched, or that I aimed to overturn the natural order of things. As much as I regret it, I cannot afford to grant you a fief.
; dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_capture|What if I were to take one of your enemy's castles by force?
; dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_marriage|What if I were to marry one of your lords?
; dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_competitor|Perhaps one of your competitors will prove to be more open-minded.
; dlga_lord_ask_enter_service_female_response:lord_ask_enter_service|I would be willing to fight for you, even without the fief.
; dlga_lord_ask_enter_service_female_response:lord_pretalk|Never mind.
; dlga_lord_ask_enter_service_female_solution_marriage:lord_ask_enter_service_female_response|Well, I still would not be willing to grant you any fiefs. However, you would no doubt have the use of your {wife/husband}'s properties, which would allow you to act as one of my vassals in all but name. Did you have an other questions?
; dlga_lord_ask_enter_service_female_solution_competitor:lord_ask_enter_service_female_response|Oh, perhaps you might find someone who was truly desperate -- but then, I would think, they would not have many fiefs to bestow. Did you have an other questions?
; dlga_lord_ask_enter_service_female_solution_capture:lord_ask_enter_service_female_response|Well, in that case, depending on the circumstances, I might be inclined to let you keep it. Did you have an other questions?
; dlga_lord_ask_enter_service:lord_give_oath_1|You are known as a brave warrior and a fine leader of men, {playername}. I shall be pleased to accept your {s0} into my service and bestow vassalage upon you, if you are ready to swear homage to me.
; dlga_lord_ask_enter_service:lord_pretalk.1|You've yet to show yourself as a competent commander, {playername}. Take your {s0} to my enemies and prove to me that you are worthy of becoming my vassal. Then we may speak more of this.
; dlga_lord_give_oath_1:lord_give_oath_2|I am ready, {s65}.
; dlga_lord_give_oath_1:lord_give_oath_give_up|Forgive me, {s65}, I must give the matter more thought first...
; dlga_lord_give_oath_give_up:lord_pretalk|Take whatever time you need, my lady.
; dlga_lord_give_oath_give_up:close_window.1|What are you playing at, {playername}? Go and make up your mind, and stop wasting my time.
; dlga_lord_give_oath_2:lord_give_oath_3|Good. Then repeat the words of the oath with me: I swear homage to you as lawful ruler of {s41}.
; dlga_lord_give_oath_3:lord_give_oath_4|I pledge homage to you as lawful ruler of {s41}.
; dlga_lord_give_oath_3:lord_give_oath_give_up|Excuse me. But I feel I need to think about this.
; dlga_lord_give_oath_4:lord_give_oath_5|I will remain as your loyal and devoted {man/follower} as long as my breath remains....
; dlga_lord_give_oath_5:lord_give_oath_6|I will remain as your loyal and devoted {man/follower} as long as my breath remains...
; dlga_lord_give_oath_5:lord_give_oath_give_up|May I ask for some time to think about this?
; dlga_lord_give_oath_6:lord_give_oath_7|...and I will be at your side to fight your enemies should you need my sword.
; dlga_lord_give_oath_7:lord_give_oath_8|...and I will be at your side to fight your enemies should you need my sword.
; dlga_lord_give_oath_7:lord_give_oath_give_up|Please give me more time to think about this.
; dlga_lord_give_oath_8:lord_give_oath_9|Finally, I will uphold your lawful claims and those of your legitimate heirs.
; dlga_lord_give_oath_9:lord_give_oath_101|Finally, I will uphold your lawful claims and those of your legitimate heirs.
; dlga_lord_give_oath_9:lord_give_oath_give_up|I must have more time to consider this.
; dlga_lord_give_oath_101:lord_give_oath_102|This I swear by all the gods known to man...
; dlga_lord_give_oath_102:lord_give_oath_10|This I swear by all the gods known to man.
; dlga_lord_give_oath_102:lord_give_oath_give_up|I must have more time to consider this.
; dlga_lord_give_oath_10:lord_give_oath_go_on_2|Very well. You have given me your solemn oath, {playername}. May you uphold it always, with proper courage and devotion.
; dlga_lord_give_oath_go_on_2:lord_give_oath_go_on_3|Let it be known that from this day forward, you are my sworn {man/follower} and vassal. I give you my protection and grant you the right to bear arms in my name, and I pledge that I shall not deprive you of your life, liberty or properties except by the lawful judgment of your peers or by the law and custom of the land.{reg1? Furthermore I give you the fief of {s1} with all its rents and revenues.:}
; dlga_lord_give_oath_go_on_3:lord_give_conclude|You have done a wise thing, {playername}. Serve me well and I promise, you will rise high.
; dlga_lord_give_conclude:lord_give_conclude_2|{s41}
; dlga_lord_give_conclude_2:close_window.1|So be it, {s0}. May all my vassals be as valiant and loyal as you.
; dlga_lord_give_conclude_2:close_window.2|I have great hopes for you {playername}. I know you shall prove yourself worthy of the trust I have placed in you.
; dlga_lord_ask_enter_service:lord_enter_service_swear|Heh, a wise move, {playername}. With loyal service, a {man/woman} in my service could become wealthy and powerful, and our enemies... Well, our enemies are as wheat before a scythe. However, to enter my service you must first renounce all worldly oaths and bonds, and swear to serve only the {s5}.
; dlga_lord_enter_service_swear:lord_enter_service_swear_accepted|I do so swear, {s65}.
; dlga_lord_enter_service_swear:lord_enter_service_swear_denied|I need some time to think about this.
; dlga_lord_enter_service_swear_denied:close_window|Are you having me on? I've no time for games, {playername}. Make up your mind and stop wasting my time.
; dlga_lord_enter_service_swear_accepted:lord_enter_service_swear_accepted_2|Then it is my pleasure to welcome you to the service of my house. From this day on, {playername}, you are a soldier of the {s5} with all the duties and privileges that come with it.
; dlga_lord_enter_service_swear_accepted_2:close_window|I charge you with rooting out and destroying the forces of our enemies wherever you may find them. Moreover, I will have special tasks for you from time to time, as may some of my other vassal lords. Serve, fight, and honour your oaths. These things will take you far, if you've a mind for promotion. May God grant us long lives and many victories to toast in my hall!
; dlga_lord_ask_leave_service:lord_ask_leave_service_verify|Hrm. Has your oath become burdensome, {playername}? It is unusual to request release from homage, but in respect of your fine service, I will not hold you if you truly wish to end it. Though you would be sorely missed.
; dlga_lord_ask_leave_service:lord_ask_leave_service_verify.1|Release from homage? Hmm, perhaps it would be for the best... However, {playername}, you must be sure that release is what you desire. This is not a thing done lightly.
; dlga_lord_ask_leave_service_verify:lord_ask_leave_service_2|It is something I must do, {s65}.
; dlga_lord_ask_leave_service_verify:lord_ask_leave_service_giveup|You are right, {s65}. My place is here.
; dlga_lord_ask_leave_service_giveup:lord_pretalk|I am pleased to hear it, {playername}. I hope you'll banish such unworthy thoughts from your mind from now on.
; dlga_lord_ask_leave_service_2:lord_ask_leave_service_verify_again|Then you are sure? Also, be aware that if you leave my services, you will be surrendering to me all the fiefs which you hold in my name.
; dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_3|Yes, {s65}.
; dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_giveup|Of course not, {s65}. I am ever your loyal vassal.
; dlga_lord_ask_leave_service_3:lord_ask_leave_service_end|As you wish. I hereby declare your oaths to be null and void. You will no longer hold land or titles in my name, and you are released from your duties to my house. You are free, {playername}.
; dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2|Thank you, my lord. It was an honour to serve you.
; dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2.1|My thanks. It feels good to be {a free man/free} once again.
; dlga_lord_ask_leave_service_end_2:close_window|Farewell then, {playername}, and good luck go with you.
; dlga_lord_active_mission_1:lord_lend_companion_end|Oh, you want your companion back? I see...
; dlga_lord_active_mission_1:lord_pretalk|{playername}, I must beg your patience, I still have need of your companion. Please return later when things have settled.
; dlga_lord_active_mission_1:lord_active_mission_2|Yes, have you made any progress on it?
; dlga_lord_active_mission_2:lord_generic_mission_thank|Indeed. I brought you {reg1} {s1} as prisoners.
; dlga_lord_active_mission_2:capture_enemy_hero_thank|Oh, indeed. I've captured a lord from {s13} for you.
; dlga_capture_enemy_hero_thank:capture_enemy_hero_thank_2|Many thanks, my friend. He will serve very well for a bargain. You've done a fine work here. Please accept these {reg5} coins for your help.
; dlga_capture_enemy_hero_thank_2:lord_pretalk|Certainly, {s65}.
; dlga_capture_enemy_hero_thank_2:lord_pretalk.1|It was nothing.
; dlga_capture_enemy_hero_thank_2:lord_pretalk.2|Give me more of a challenge next time.
; dlga_lord_active_mission_2:lord_raise_troops_thank|Indeed. I have raised {reg1} {s13}. You can take them.
; dlga_lord_raise_troops_thank:lord_raise_troops_thank_2|These men may well turn the tide in my plans, {playername}. I am confident you've trained them well. My thanks and my compliments to you.
; dlga_lord_raise_troops_thank_2:lord_pretalk|Well, the lads are at your command now, my lord. I am sure you will take good care of them.
; dlga_lord_active_mission_2:lord_collect_taxes_success|Here are all the taxes from {s3}. It comes up to {reg19} coins.
; dlga_lord_active_mission_2:lord_collect_taxes_half_success|Here are the taxes from {s3}. It comes up to {reg19} coins.
; dlga_lord_active_mission_2:lord_collect_taxes_fail|Unfortunately, a revolt broke up while I was collecting the taxes. I could only collect {reg19} coins.
; dlga_lord_collect_taxes_success:lord_pretalk|Well done, {playername}, very well done indeed! You were truly the right {man/person} for the job. I promised you a fifth of the taxes, so that amounts to {reg21} coins. If you give me {reg20} coins, you may keep the difference. A good result for everyone, eh?
; dlga_lord_collect_taxes_half_success:lord_pretalk|What?! Is this some scheme of yours, {playername}? That's less than half the taxes I'm owed! You have let them get away with murder as well as my money. What a farce! You can forget the money I promised you, I'm taking {reg20} coins from what you collected, and you're lucky I'm leaving you a few coins for honour's sake.
; dlga_lord_collect_taxes_fail:lord_pretalk|God, what a bloody mess you've gotten us into, {playername}.This could turn very ugly if I do not take immediate action.I certainly hope you're not here expecting to be paid for failure.Hand over my {reg19} coins, if you please, and end our business together.
; dlga_lord_active_mission_2:lord_hunt_down_fugitive_success|I found {s4} hiding at {s3} and gave him his punishment.
; dlga_lord_active_mission_2:lord_hunt_down_fugitive_fail|I'm afraid he got away.
; dlga_lord_hunt_down_fugitive_success:lord_hunt_down_fugitive_success_2|And we'll all be a lot better off without him! Thank you, {playername}, for removing this long-festering thorn from my side. 'Tis good to know you can be trusted to handle things with an appropriate level of tactfulness. A bounty I promised, and a bounty you shall have. 300 coins and not a copper less!
; dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_accept|Let me take the money, {s65}. Thank you.
; dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_reject|This is blood money. I can't accept it.
; dlga_lord_hunt_down_fugitive_reward_accept:lord_pretalk|Of course, {playername}. Here you are. Once again, you've my thanks for ridding me of that {s43}.
; dlga_lord_hunt_down_fugitive_reward_reject:lord_pretalk|You are a {man/woman} for whom justice is its own reward, eh? As you wish it, {playername}, as you wish it. An honourable sentiment, to be true. Regardless, you've my thanks for ridding me of that {s43}.
; dlga_lord_hunt_down_fugitive_fail:lord_pretalk|It is a sad day when that {s43} manages to avoid the hand of justice yet again. I thought you would be able to do this, {playername}. Clearly I was wrong.
; dlga_lord_active_mission_2:lord_active_mission_3|I am still working on it.
; dlga_lord_active_mission_2:lord_mission_failed|I am afraid I won't be able to do this quest.
; dlga_lord_active_mission_3:lord_pretalk|Good. Remember, I am counting on you.
; dlga_lord_mission_failed:lord_pretalk|{s43}
; dlga_lord_suggets_attack_enemy_castle3:lord_pretalk|That should be possible. Very well, we'll attack {s1}.
; dlga_lord_propose_mercenary:lord_mercenary_service|As it happens, {playername}, I promised {s10} that I would hire a company of sellswords for an upcoming campaign.
