str_no_string|AUCUNE CHAÎNE !
str_npc10_payment_response|Bien sûr. Prenez ces {reg3} pièces d'argent.
str_npc11_payment_response|Très bien , voici {reg3} pièces d'argent. Soyez prêt. Nous allons bientôt partir.
str_npc13_payment_response|Bien sûr, voici {reg3} pièces d'argent. Préparez-vous à partir sous peu.
str_npc14_payment_response|D'accord, voici {reg3} pièces d'argent. Vous êtes le bienvenu dans notre compagnie.
str_npc15_payment_response|D'accord, voici {reg3} pièces d'argent. Heureux de vous avoir parmi nous.
str_npc16_payment_response|Je suis sûr qu'il vous en sera toujours reconnaissant. Voici {reg3} pièces d'argent, soyez prêt à partir sous peu.
str_npc17_payment_response|{reg3} pièces? Vous osez! J'aime ça, je serai heureux de vous accueillir.
str_npc19_payment_response|D'accord, voilà votre argent.
str_npc20_payment_response|Cela me semble assez juste. Prenez vos {reg3} pièces d'argent.
str_npc21_payment_response|Très bien.
str_npc22_payment_response|Bien sûr. Voici {reg3} pièces d'argent. Dépêchez-vous, car je vais bientôt partir.
str_npc24_payment_response|Voici {reg3} pièces d'argent. Dite-lui de se dépêcher, je vais bientôt partir.
str_npc26_payment_response|Voici {reg3} pièces d'argent. Il vaudrai mieux que cela en vaille la peine.
str_npc1_morality_speech|Mon seigneur. Ne le prenez pas mal mais on mène une vie dure et le fait de {s21} commence à faire beaucoup. Faites-y plus attention à l'avenir, si je puis me permettre.
str_npc2_morality_speech|J'espère que je puis me permettre, mais c'est difficile pour moi de nous voir {s21}. Peut-être que je devrais essayer de m'endurcir, mais si nous pouvions faire preuve d'un peu de pitié de temps à autres, je dormirais mieux.
str_npc3_morality_speech|Ce n'est peut-être pas à moi de dire cela, {mon seigneur/ma dame}, mais je dois vous avouer que cela me choque de nous voir {s21}. Je conçois tout à fait que la guerre est cruelle, mais il n'est pas nécessaire de la rendre encore plus cruelle.
str_npc4_morality_speech|Pardonnez-moi, mais sachez que la Maison des Paton n'apprécie pas de {s21}. Je ne serais pas très à l'aise à l'idée de continuer sur cette voie.
str_npc5_morality_speech|Pardonnez-moi capitaine, mais {s21} n'est pas une bonne chose. Votre premier devoir va aux hommes qui ont décidé de vous suivre. Le moins qu'ils puissent espérer, c'est de la nourriture, une paye, une part du butin de temps à autres et qu'on ne les sacrifie pas inutilement.
str_npc6_morality_speech|Excusez-moi {mon seigneur/ma dame}. Je ne m'attendais pas à {s21}.
str_npc7_morality_speech|Mon seigneur, je n'aime pas nous voir {s21}. Ce sont là les actes d'un chef bandit de bas étages, sans considération pour ses compagnons.
str_npc8_morality_speech|Je n'ai pas apprécié que vous décidiez de {s21}. Tomber au combat est un honneur, mais combattre au sein d'une troupe armée menée par un lâche est une disgrâce. 
str_npc9_morality_speech|{Mon seigneur/Ma dame}, il ne me sied guère de {s21}. Les hommes de ma Maison sont prêts à mourir mais pas à être déshonorés. Je vous saurai gré de ne plus m'accabler de honte à l'avenir.
str_npc10_morality_speech|Je vous demande pardon. Je ne peux pas dire que cela me plaise de nous voir {s21}. Ce sont des gens simples, qui essayent de gagner leur vie. Si nous pouvions nous montrer un peu moins durs avec ces pauvres bougres, je me sentirais beaucoup mieux.
str_npc11_morality_speech|Excusez-moi, {playername}, mais ce n'est pas bon de {s21}. J'ai suivi les armées et les groupes armés pendant trente années et le moins que l'on puisse attendre d'un chef, c'est qu'il nourrisse ses hommes, qu'il les paye et qu'il fasse de son mieux pour garder leurs pauvres fesses intactes.
str_npc12_morality_speech|{Mon seigneur/Ma dame}... Je n'aime pas nous devoir {s21}. J'entends agir comme un guerrier et non comme un brigand. De grâce, essayez de témoigner un peu plus de compassion.
str_npc13_morality_speech|Votre Grâce, je préfèrerais que nous évitions de {s21}. Ce royaume est un petit pays et la réputation de l'un est chose précieuse. Je n'ai pas envie que l'un de nos rivaux nous vilipende à cause de ce malheureux incident.
str_npc14_morality_speech|{s21} ne m'intéresse pas. Un chef avec une réputation de lâche ne sera pas craint comme il se doit par ses hommes.
str_npc15_morality_speech|{Mon seigneur/Ma dame}, je veux juste vous faire connaître mon opinion, un commandant qui a un tant soit peu de bon sens ne laissera pas sa compagnie {s21}. J'espère ne pas vous froisser en parlant aussi crûment.
str_npc16_morality_speech|{Mon seigneur/Ma dame}, l'idée de {s21} me déplaît. Tant de gorges n'ont pas à être tranchées et tant de cadvres n'ont pas à être fouillés...
str_npc17_morality_speech|Quel genre de commandant êtes-vous? Regardez vos hommes, et tous ces cadavres sur le terrain. Souvenez-vous de {s21}, car ils vont vous hanter jusqu'à la fin de votre vie
str_npc18_morality_speech|Pourquoi avez-vous {s21}? Quand je pensais que vous étiez là pour me protéger, je ne m'attendais pas à ce que vous agissiez comme mon Chef de village!
str_npc19_morality_speech|Hum...
str_npc20_morality_speech|Pourquoi , pourquoi vous avez {s21}? Est-ce parce qu'ils étaient païens? Dans ce cas la conversion aurait été mieux ou bien vous êtes un démon déguisé?
str_npc21_morality_speech|Je suis peut-être tombé en disgrâce, mais cela ne veut pas dire que j'ai été déshonoré. Ne vous salissez pas en {s21}, mon ami.
str_npc22_morality_speech|Avez-vous perdu la tête? Je pensais que je pouvais vous faire confiance, mais par {s21} vous me montrez que vous êtes comme l'un de ces nobles. Ne vous avisez pas à recommencer!
str_npc23_morality_speech|Mon ami. C'est une vie difficile pour la plupart des gens sur ces terres, et c'est trop pour nous de devoir {s21}. Prêtez-nous un peu plus d'attention à l'avenir.
str_npc24_morality_speech|Avez-vous perdu la tête? J'ai pensé que vous étiez un honnête homme, mais par {s21} vous nous montrez que vous ne valez pas mieux que n'importe quel autre seigneur. Ne vous avisez pas de laisser cela se produire à nouveau!
str_npc1_2ary_morality_speech|Mon seigneur - je veux juste vous dire, je ne vois pas de problème à {s21}. Je vis pour combattre, pour moi c'est  mon seul but.
str_npc2_2ary_morality_speech|{playername}... {s21} ne me plait pas. Je suis un marchand, et dans ma profession, la parole passe avant tout. Je ne veux pas d'une réputation d'escroc... Elle sonnerait la fin de mon métier de marchand.
str_npc3_2ary_morality_speech|{playername}... Je pense que votre décision de {s21} était bonne. Il n'y a aucune honte à trouver un moyen d'empêcher les effusions de sang. Le moins de sang vous verserez, le plus de tournois vous pourrez participer.
str_npc4_2ary_morality_speech|Pardon mais qu'importe ce que disent les autres sur cette idée de {s21}, je n'en pense pas un mot. Vous devez trouver n'importe quelle ruse qui vous permettra de survivre en ces temps de troubles.
str_npc9_2ary_morality_speech|Mon seigneur, {s21} provoque mon désarroi. {Un gentilhomme/Une dame} de votre rang devrait afficher un grand sens de l'honneur et ce, à tout moment.
str_npc10_2ary_morality_speech|{Mon seigneur/Ma dame}... Je ne peux pas dire que j'apprécie vraiment de devoir {s21}. Vous devriez bien traiter vos hommes, ils vous le rendront avec les intérêts.
str_npc14_2ary_morality_speech|Mon seigneur, vous ne devriez pas vous soucier de cette idée de {s21}. Les armées sont là pour exécuter les ordres de leur chef, et les épreuves font partie de la vie du soldat.
str_npc15_2ary_morality_speech|Vous savez, {playername}, Il n'est aucunement rassurant de vous voir {s21}. Si vous ne respectez pas votre parole envers eux, vous pourriez faire de même envers moi, c'est ainsi que je vois les choses.
str_npc16_2ary_morality_speech|Mon seigneur, je voulais juste vous dire que ce n'est pas un problème pour moi de devoir {s21}. On fait ce qu'il faut pour vivre et ils en feraient de même s'ils étaient à notre place.
str_npc17_2ary_morality_speech|Avez-vous perdu la tête? Les hommes ont besoin de voir votre bravoure, pas votre lâcheté. Aller {s21} indépendamment et la prochaine fois, montrez à vos hommes ce qu'est {un vrai  homme / une femme courageuse}.
str_npc18_2ary_morality_speech|Comment avez-vous pu faire ça? Par {s21}, vous avez agi comme mon père perfide. Comment pourrais-je vous faire confiance sans jamais me retrouver en face de lui?
str_npc19_2ary_morality_speech|Hum...
str_npc20_2ary_morality_speech|Peut-être que {s21} est votre façon de montrer votre foi devant les cieux, mais ce n'est certainement pas dans mes habitudes. S'il vous plaît soyez prudent, car ce comportement ne conduit que vers le mal.
str_npc21_2ary_morality_speech|Mon ami, essayons-nous de parcourir le monde ou de le nettoyer? Par {s21} vous m'avez vraiment fait me demander si en vous suivant, j'avais pris la bonne décision.
str_npc22_2ary_morality_speech|Je suis un homme de parole, et j'ai juré que ces nobles paieraient pour leurs actes. Je pensais que vous étiez comme eux, mais par {s21}, vous m'avez montré le contraire. Quelle déception.
str_npc23_2ary_morality_speech|Mon ami, essayons-nous de parcourir le monde ou de le ruiner?
str_npc1_personalityclash_speech|Mon seigneur, n'y voyez aucune offense, mais {s11} me fatigue, il se comporte comme s'il valait mieux que votre humble serviteur! Alors qu'il est un simple marchand, et un pauvre type.
str_npc2_personalityclash_speech|{playername}... Comme vous pouvez vous en souvenir, j'étais marchand avant que vous ne m'engagiez. Je respecte les personnes qui gagnent leur vie sans avoir recours à la violence et qui risquent tout pour amener des marchandises dans des contrées très lointaines.
str_npc3_personalityclash_speech|Mon seigneur, selon moi, {s11} est un homme dur et cruel. Il parle sans cesse de son besoin de fouetter, battre et pendre ses semblables.
str_npc4_personalityclash_speech|{playername}. La Maison des Paton est parmi les familles les plus respectées et les plus anciennes de cette partie du monde. Ses origines remontent à l'Ancien Empire Ghiscari. Et malgré tout, Arratos me témoigne ouvertement son irrespect et sème le doute sur les origines de ma Maison. alors que lui-même descend d'une lignée d'esclave!
str_npc5_personalityclash_speech|Pouvez-vous m'accorder un instant? Brynden me considère comme un vulgaire brigand, simplement parce qu'il m'est déjà arrivé de participer au pillage légitime des caravanes ennemies qui traversaient les terres de mes aïeux. Bah! Les gens payent pour traverser nos terres, ceux qui refusent sont considérés comme des hors-la-lois.
str_npc6_personalityclash_speech|Rien.
str_npc7_personalityclash_speech|{playername},  j'ai fait de mon mieux pour supporter les conversations grossières et les habitudes répugnantes de vos congénères. Mais celui qui se fait appeler Martyn Snow va au-delà de ma patience.
str_npc8_personalityclash_speech|Je tiens à ce que vous sachiez que je ne peux plus tolérer ce charlatan de Serol. Il y a quelques minutes, je faisais remarquer à nos compagnons que les paysans de cette région avaient tendance à rester bouche bée et à froncer les sourcils un peu plus que la moyenne et j'ai émis l'hypothèse qu'ils avaient peut-être été croisés avec des aurochs.
str_npc9_personalityclash_speech|{playername} -- Drollo n'est qu'un fanfaron de bas étages qui n'a aucun respect pour l'honneur des femmes. Je suis las d'entendre ses innombrables récits de conquêtes féminines.
str_npc10_personalityclash_speech|Excusez-moi, mon seigneur, je n'aime pas vous déranger avec ce genre de choses, mais je voulais vous faire savoir que je ne pouvais plus supporter ce Garrett, celui qui se fait passer pour un baron alors qu'il n'est rien d'autre qu'un pervers.
str_npc11_personalityclash_speech|Je vous demande pardon, mon seigneur, mais je ne puis garder le silence. Cet homme, Alexos, il est insupportable.
str_npc12_personalityclash_speech|Mon seigneur. Alexos, se plaint de maux de tête - un symptôme du, je suppose à un excès de consanguinité, mais dans son cas, j'imagine que c'est un mal de tête provoqué par son penchant incontrôlé pour le bon vin. Je vais lui appliquer mes sangsues.
str_npc13_personalityclash_speech|Mon seigneur, Gyrnir me fatigue, il n'a de cesse de parler de choses tristes et se répète sans cesse.
str_npc14_personalityclash_speech|Mes excuses, {playername}. Il y a quelques minutes de cela, j'ai exprimé mon opinion sur l'utilisation libre du fouet et le recours occasionnel à la potence qui sont, selon moi, essentiels pour que les soldats tiennent les rangs. Les hommes qui n'expriment pas une vive crainte à l'égard de leur commandant risquent vraisemblablement de fuir le combat.
str_npc15_personalityclash_speech|Excusez-moi, j'espère que cela ne vous dérange pas que je vous donne mon opinion, mais ce gars, {s11}, il met le groupe en danger. C'est un sauvage, irrespectueux envers l'autorité et les principes fondamentaux de l'armée.
str_npc16_personalityclash_speech|Mon seigneur, il faut que vous sachiez, cet homme muet se comporte de manière étrange. Il fait de curieux gribouillages dans la terre et il bredouille des choses incompréhensibles.
str_npc17_personalityclash_speech|{playername}, avez-vous vu Martyn? Ce salaud vient de fouiller une de mes poches, rempli de mèches de cheveux de toutes les femmes avec qui j'ai couché. J'étais ne train de parler à vos hommes, essayant de leur apprendre à être de vrais guerriers, Quand l'un d'eux m'a signalé qu'il avait vu visiter une de mes quarante-deux poches contenant de l'argent. J'ai immédiatement couru vers lui, mais il a disparu vite fait.
str_npc18_personalityclash_speech|{playername}, êtes-vous le seul dans ce groupe , à qui je peux vraiment faire confiance? Je pensais que Colin pourrait être un ami, mais il ne fait que s'amuser de mon passé.
str_npc19_personalityclash_speech|Hum...
str_npc20_personalityclash_speech|Puis-je vous parler au sujet de {s11}? J'ai cru comprendre qu'elle a fait fausse route, et s'est égarée avec des croyances erronées.
str_npc21_personalityclash_speech|Mon ami, est-ce que je vous laisserai tomber? Je veux juste vous parler de ce perfide de {s11} qui pense que je vais vous trahir sur un caprice. Quel manque de respect! N'a t'il jamais entendu parler de la parole des Septons?
str_npc22_personalityclash_speech|Capitaine, avez-vous entendu ce que vient de dire Kanut? A propos des soldats qui ont besoin de craindre le commandant? C'est l'aristocratie qui revient en force.
str_npc23_personalityclash_speech|{playername}, avez-vous entendu ce que Kanut vient de dire? A propos des soldats qui ont besoin de craindre le commandant? L'homme est un imbécile, et il sera la ruine de tous. Les soldats devraient admirer et respecter leur commandant, pas le craindre.
str_npc24_personalityclash_speech|{playername}, Cette femmes du Nord est une sale prostituée comme j'en ai jamais vu. Son culte pour ces arbres et probablement le signe d'une manque de volonté! Pourquoi la garder, vous n'avez pas besoin d'elle, pas quand vous avez le courageux Roddy dans votre garde! Connaissez-vous cette chanson sur moi! «Brave et audacieux Roddy, chargeait l'armée d'Aemon! Il n'avait pas peur de mourir, oh brave Roddy! Il n'avait pas du tout peur, d'être tué de manière désagréable! Brave, brave et courageux, brave Roddy»! 
str_npc25_personalityclash_speech|{playername}, Cette femmes du Nord est une sale prostituée comme j'en ai jamais vu. Son culte pour ces arbres et probablement le signe d'un manque de volonté! Pourquoi la garder, vous n'avez pas besoin d'elle, pas quand vous avez le courageux Roddy dans votre garde! Il était une fois une chanson qui parlait de moi! «Brave et audacieux Roddy, chargeait l'armée d'Aemon! Il n'avait pas peur de mourir, oh brave Roddy! Il n'avait pas du tout peur, d'être tué de manière désagréable! Brave, brave et courageux, brave Roddy»! 
str_npc26_personalityclash_speech|{playername}, Cette femmes du Nord est une sale prostituée comme j'en ai jamais vu. Son culte pour ces arbres et probablement le signe d'un manque de volonté! Pourquoi la garder, vous n'avez pas besoin d'elle, pas quand vous avez le courageux Roddy dans votre garde! Il était une fois une chanson qui parlait de moi! «Brave et audacieux Roddy, chargeait l'armée d'Aemon! Il n'avait pas peur de mourir, oh brave Roddy! Il n'avait pas du tout peur, d'être tué de manière désagréable! Brave, brave et courageux, brave Roddy»! 
str_npc1_personalityclash_speech_b|C'est un simple bandit, tout comme moi, et qu'est-ce qui lui donne le droit de me dire ce que je dois faire.
str_npc2_personalityclash_speech_b|Je n'ai que faire de {s11} et de sa vantardise quant aux caravanes qu'il aurait pillées ou qu'il projette de piller. C'est comme s'il n'avait aucun respect pour le commerce honnête et équitable.
str_npc3_personalityclash_speech_b|Je sais bien qu'une armée n'est pas une garderie et que la discipline et la fermeté y sont très importantes, mais cet homme n'est cruel que pour son plaisir personnel. J'espère que vous ne voyez pas d'inconvénient à ce que je vous le dise ainsi.
str_npc4_personalityclash_speech_b|Nous vivons dans une bien triste époque si les petites gens peuvent se permettre de railler leurs supérieurs. Alors, c'est la fin!
str_npc5_personalityclash_speech_b|Je lui ai suggéré de devenir Septon ou mendiant étant donné que la vie de guerrier semble lui déplaire. Ainsi, il n'aura plus à s'en soucier. J'espère que vous ne voyez pas d'inconvénient à une telle remarque.
str_npc6_personalityclash_speech_b|Rien.
str_npc7_personalityclash_speech_b|Je n'aime pas la façon dont il me suis du regard dans le camp après un repas, pendant qu'il ramasse ses dents. Je crois que je vais l'engager comme écuyer. Il est stupide et ignorant, je n'aime pas voyager avec ce genre de personne.
str_npc8_personalityclash_speech_b|{s11}, cet intarissable d'insolence, m'a surpris lors d'une discussion puis m'a affirmé qu'il était à moitié aurochs lui-même, puis m'a traité d'ignorant, de sauvage et encore de certains termes que je me garderai de répéter. Ce n'est que par respect pour vous que j'ai refréné mon envie de lui trancher la gorge. Il m'a semblé indispensable de vous en avertir.
str_npc9_personalityclash_speech_b|S'il continue comme ça, il va finir par savoir que je pense qu'il n'est qu'un pauvre minable. Et si on doit en venir aux mains, il ne faudra pas compter sur moi pour des excuses. Voilà c'est tout que j'ai à dire.
str_npc10_personalityclash_speech_b|Ce n'est rien qu'un brigand, pour autant que je sache. Maison des Rolf, mon cul ! Les Hommes du Bief sont déjà assez dégoutants comme ça, mais alors ceux qui prétendent en être sont carrément intolérables. D'ailleurs, j'ai dû le lui dire un peu trop crûment à son goût, parce qu'il l'a vraiment mal pris. J'ai pensé que vous deviez le savoir.
str_npc11_personalityclash_speech_b|Juste parce qu'il est habitué à la vie sauvage de ces sales Dorniens, il pense que tout le monde devrait avoir les mains sales. Je vous le dis, comme tous les Dorniens, il est stupide et pervers!
str_npc12_personalityclash_speech_b|Mais quand j'ai essayé de les lui appliquer, il a reculé, m'a frappé et m'a accusée de sorcellerie. Pff. {playername}, je suis très fatigué d'assister aux plaintes d'un tel lot d'ingrats et d'ignorants.
str_npc13_personalityclash_speech_b|Il me fatigue à un point... la prochaine fois qu'il recommence à me casser les oreilles comme quoi notre existence est terrible, je crains de devoir le frapper avec un baril de bière sur la tête!
str_npc14_personalityclash_speech_b|Ce fumier de {s11} a jugé bon de me réprimander pour ça. D'après lui, je n'aurai pas de bonnes méthodes pour interroger les hommes, et je ne trouverai jamais un commandant qui tolèrerait une telle insubordination dans sa compagnie. Je vous remercie de m'avoir permis de m'exprimer calmement.
str_npc15_personalityclash_speech_b|Qui plus est, je pense que c'est un voleur. Je l'ai surpris en train de fouiller mes bagages et divulguer certains de mes dessins, puis il m'a menacé avec un couteau que j'ai pris pour un bâton. Un seigneur digne de ce nom n'en voudrait pas dans sa compagnie.
str_npc16_personalityclash_speech_b|Craignant la sorcellerie, je lui ai demandé de m'en parler, alors il me fixa. Quel regard! J'ai donc jeté un œil dans ses bagages, et j'ai trouvé des plans et des dessins étranges. Je pense que c'est un sorcier, mon seigneur, et si j'essaye de l'attraper et qu'il tente de me jeter un sort, il aura un couteau planté dans sa gorge.
str_npc17_personalityclash_speech_b|Comment peut-on mener une vie décente dans cette armée avec ce voleur dans les environs? Si je peux lui mettre la main dessus, il ne recommencera pas, je peux vous l'assurer.
str_npc18_personalityclash_speech_b|Après avoir essayé de nous rapprocher pendant des semaines, j'ai enfin osé m'ouvrir à lui, et tout ce qu'il a trouvé à faire c'est de se moquer de moi. Quel rire horrible! Je vous le dis, quand je l'ai regardé dans les yeux, j'ai vu le démon!
str_npc19_personalityclash_speech_b|Hum...
str_npc20_personalityclash_speech_b|J'ai récemment parlé avec elle, et j'ai découvert nos différences, dont j'ai eu l'occasion de corriger les erreurs. Les insultes qu'elle m'a lancé! Je n'ose pas les répéter. Plus tard, j'ai découvert qu'elle avait fouillé mes bagages et détruit un de mes manuscrits sacrés! Si elle reste plus longtemps avec nous, je crains de recourir à mes anciennes habitudes et la tuer sur le champ. S'il vous plaît, {mon seigneur /ma dame}, faites en sorte que cela n'arrive pas.
str_npc21_personalityclash_speech_b|Il compte ses morts pour prouver sa valeur, mais qui de nos jours se soucie de ce qui a été écrit il y a mille ans? J'espère que vous allez utiliser votre bon sens pour virer {s11} à la première occasion.
str_npc22_personalityclash_speech_b|Quand je lui ai parlé de moi, il a voulu me tuer! Je ne vais pas voyager avec des gens qui agissent comme les chevaliers qui ont violé ma sœur. Si vous ne faites pas quelque chose, je vais trouver une autre compagnie pour m'aider à me venger.
str_npc23_personalityclash_speech_b|Quand je lui ai parlé des arbres, il m'a traité de chienne! J'ai eu envie de castrer cette homme, mais c'est vous qui commandez cette bande de guerriers, je m'en remets à vous.
str_npc24_personalityclash_speech_b|«Il n'était pas le moins du monde effrayé, d'être réduit en purée! Ou d'avoir les yeux crevés et ses bras cassés! Ou d'avoir ses rotules coupées et son corps brûlé, et tous ses membres arrachés et mutilés, oh brave Roddy»!
str_npc25_personalityclash_speech_b|«Il n'était pas le moins du monde effrayé, d'être réduit en purée! Ou d'avoir les yeux crevés et ses bras cassés! Ou d'avoir ses rotules coupées et son corps brûlé, et tous ses membres arrachés et mutilés, oh brave Roddy»!
str_npc26_personalityclash_speech_b|«Il n'était pas le moins du monde effrayé, d'être réduit en purée! Ou d'avoir les yeux crevés et ses bras cassés! Ou d'avoir ses rotules coupées et son corps brûlé, et tous ses membres arrachés et mutilés, oh brave Roddy»!
str_npc1_personalityclash2_speech|Mon seigneur, je ne suis pas une âme sensible empreint de fantaisie, mais je n'aime pas la façon dont {s11} est allé dépouiller les ennemis blessés, là-bas. Ce n'est pas convenable!
str_npc2_personalityclash2_speech|{Mon seigneur/Ma dame}. Si cela ne vous gêne pas, je préfèrerais ne pas prendre part aux même combats que {s11}, après ce qu'il m'a dit lors de la dernière bataille.
str_npc3_personalityclash2_speech|{Mon seigneur/Ma dame}, depuis que j'ai rejoint votre groupe, j'ai essayé d'apprendre à vivre comme un soldat et de faire honneur au code des guerriers. S'il m'arrive de faire une erreur de temps en temps, j'espère que l'on ne m'en tiendra pas rigueur.
str_npc4_personalityclash2_speech|{Mon seigneur/Ma dame}, j'ai eu l'occasion d'échanger quelques mots avec Arrastos, pendant le partage du butin de la bataille. Veuillez l'informer que lorsqu'il s'adresse à moi, il devrait avoir l'obligeance de m'appeler 'Mon seigneur' ou peut-être 'Votre Magnificence ' ou alors 'Votre Grâce' mais certainement pas seulement 'Graznon'. Je suis du sang du Vieux Ghiscar et Astapor!
str_npc5_personalityclash2_speech|Brynden a besoin d'avoir la langue coupée .
str_npc6_personalityclash2_speech|Rien.
str_npc7_personalityclash2_speech|{playername} -- J'ai cherché dans ma mémoire en essayant de me rappeler où j'ai vu Martyn, celui qui lui-même se dit être un descendant des Dustins de Barrowton. Je l'ai regardé se battre lors de cette dernière bataille, je me suis soudain souvenu. C'est un bon combattant, mais aussi un vicieux..
str_npc8_personalityclash2_speech|{s11} est un homme très insolent. J'ai essayé d'être poli avec lui, même amical, mais il ne veut rien savoir.
str_npc9_personalityclash2_speech|J'espère que vous ne m'en voudrez pas de vous dire cela, mais à mon avis {s11}, le marchand, ne sait pas où est sa place. Au cours de cette dernière bataille, il passe devant moi pour engager un ennemi que j'avais déjà entrepris.
str_npc10_personalityclash2_speech|Mon seigneur, j'ai une une question. Êtes-vous responsable de cette compagnie, ou est-ce {s11}?
str_npc11_personalityclash2_speech|Je n'aime pas trop les manières de {s11}. Après cette dernière bataille, il s'est mis à tourner en rond en marmonnant quelques incantations païennes, ensuite il s'est mis à dépouiller les cadavres.
str_npc12_personalityclash2_speech|Mon seigneur. Je ne peux plus supporter le manque d'éducation de {s11}. Comme je soignais les blessés durant notre dernière bataille, il a jugé bon de me dénigrer parce que j'utilisais du lait du pavot pour soulager la douleur des blessés pendant mes opérations chirurgicales et mes pansements de plaies avec un cataplasme de miel.
str_npc13_personalityclash2_speech|Bonjour, Votre Grandeur! {s11} est caractériel, n'est-ce pas? Au cours de cette dernière bataille, je voulais simplement avoir une discussion amicale avec nos ennemis à propos de leurs mères tandis que nous échangions des coups d'épée, il ne l'a pas supporté, il a piqué une crise de nerf!
str_npc14_personalityclash2_speech|{s11} est indiscutablement indiscipliné. Au cours de ce combat, je lui criais qu'il devait rester aligné avec le reste de notre troupe. Il m'a dit de nouveau "... que je devais aller me faire foutre".
str_npc15_personalityclash2_speech|Mon Lord - Je dois vous dire que je m'interroge sur les pouvoirs médicaux de {s11}. Comme il soignait nos blessés après la dernière bataille, j'ai jugé bon de lui rappeler que l'incomparable Gerardys a souvent préconisé l'administration d'une distillation de betteraves afin de rétablir le déséquilibre de l'humeur apporté par la perte de sang.
str_npc16_personalityclash2_speech|Je vous demande pardon. Je pense que {s11} pourrait être un homme bon, mais il n'a pas les trippes d'un guerrier, si je puis me permettre.
str_npc17_personalityclash2_speech|{playername}, Je me demande pourquoi vous avez toujours {s11} dans votre armée. Je l'ai observé pendant la bataille et j'ai remarqué qu'il est resté tout le temps à l'arrière. Bien sûr, un commandant doit avoir une certaine vue d'ensemble mais il n'est pas Lord: juste un roturier à votre service.
str_npc18_personalityclash2_speech|{Lord/Ma dame}, Je crains de ne plus pouvoir tolérer la présence de {s11} plus longtemps. Lors de la dernière bataille, je me tenais derrière lui et reconnut son coup d'épée.
str_npc19_personalityclash2_speech|Hum...
str_npc20_personalityclash2_speech|{Lord/Ma Dame}, Je crains que {s11} ait succombé aux traditions païennes et pourrait même être possédé par un esprit maléfique.
str_npc21_personalityclash2_speech|Vous êtes là, mon ami. Vous ne croirez pas ce qui vient de se passer lors de notre dernière bataille! Je me battais aux côtés de {s11}, il m'a montré sa nature meurtrière.
str_npc22_personalityclash2_speech|Capitaine, Je dois dire que vous devriez apprendre à {s11} à se comporter plus dignement. Si je n'avais pas le contrôle de moi-même, je lui aurais déjà sauté à la gorge depuis longtemps.
str_npc23_personalityclash2_speech|Capitaine, Je dois dire que vous devriez apprendre à {s11} à se comporter plus dignement. Si je n'avais pas le contrôle de moi-même, je lui aurais déjà sauté à la gorge depuis longtemps.
str_npc24_personalityclash2_speech|Capitaine, Je dois dire que vous devriez apprendre à {s11} à se comporter plus dignement. Si je n'avais pas le contrôle de moi-même, je lui aurais déjà sauté à la gorge depuis longtemps.
str_npc25_personalityclash2_speech|Capitaine, Je dois dire que vous devriez apprendre à {s11} à se comporter plus dignement. Si je n'avais pas le contrôle de moi-même, je lui aurais déjà sauté à la gorge depuis longtemps.
str_npc26_personalityclash2_speech|Capitaine, Je dois dire que vous devriez apprendre à {s11} à se comporter plus dignement. Si je n'avais pas le contrôle de moi-même, je lui aurais déjà sauté à la gorge depuis longtemps.
str_npc1_personalityclash2_speech_b|La façon dont il siffle gaiement comme à son habitude - me fait froid dans le dos. Ce n'est pas digne d'un noble.
str_npc2_personalityclash2_speech_b|L'ennemi fonçait sur ​​nous, et il a dit: "Ecarte-toi, malandrin, c'est le travail d'un guerrier". La prochaine fois je le laisserai faire, il saura ce que c'est que de prendre une lance dans les tripes.
str_npc3_personalityclash2_speech_b|Après notre dernière victoire je ramassais le butin parmi les morts, j'ai récupéré une des bourses de nos ennemis. A peine avais-je fait ça que {s11} est venu derrière moi et me l'a arraché des mains en disant que c'était lui qui avait tué ces  hommes, donc il méritait ce butin. Mon seigneur, personne ne peut affirmer dans le feu de la bataille qui a frappé qui. Si {s11} m'avait simplement dit qu'il méritait cette bourse, j'aurais été heureux de la lui donner .
str_npc4_personalityclash2_speech_b|Je suis de sang noble et il est de la plus vile naissance. Il ne doit pas oublier sa place. La Maison Paton n'oubliera pas les insultes. L'Harpie n'oublie pas les insultes.
str_npc5_personalityclash2_speech_b|Lorsque le butin a été entassé après la dernière bataille, j'ai trouvé parmi les affaires de l'ennemi une marmite en très bon étatt. Souvent j'ai souhaité trouver un tel pot, pour faire bouillir quelques-uns des ragoûts que mon père faisait pour nous réchauffer le ventre pendant l'hiver. Mais Brynden a saisi le pot et m'a dit que je n'étais pas autorisé à la «souiller» avec la nourriture d'un homme du Bief et qu'elle devrait lui revenir. Je lui ai cédé le pot mais je ne tolérerai pas un tel manque de respect à l'avenir.
str_npc6_personalityclash2_speech_b|Rien.
str_npc7_personalityclash2_speech_b|À l'époque où je vivais dans le château de mon grand père, seigneur, j'ai vu se faire pendre beaucoup de voleurs. Cet homme ressemble à ces voleurs.
str_npc8_personalityclash2_speech_b|Alors que nous étions en train de nettoyer nos armes, il a presque taillé ma tête en trébuchant!
