dlga_start:lco_conversation_end|Ha! Vous êtes là!
; dlga_dplmc_chamberlain_talk_sellsword_windblown_2:minister_pretalk|Yes.
; dlga_dplmc_chamberlain_talk_sellsword_company_cat_2:minister_pretalk|Yes.
; dlga_dplmc_chamberlain_talk_sellsword_windblown_2:minister_pretalk.1|No.
; dlga_dplmc_chamberlain_talk_sellsword_company_cat_2:minister_pretalk.1|No.
dlga_minister_talk:minister_replace|J'aimerais que vous vous abandonniez vos fonctions de ministre. 
dlga_minister_talk:minister_replace.1|J'aimerais que vous rejoigniez mon groupe. 
dlga_minister_talk:minister_grant_fief|Je veux que vous confiez un fief à l'un de mes vassaux. 
dlga_minister_talk:minister_grant_self_fief|Je veux devenir seigneur de {s4}.
dlga_minister_grant_self_fief:minister_pretalk|Soit. Vous serez seigneur de {s4}.
dlga_start:dplmc_recruiter_talk|Bonjour {reg65?madame:Sire}, j'effectue la tâche que vous m'avez assigné.
dlga_dplmc_recruiter_talk:close_window|Très bien, continuez.
dlga_dplmc_recruiter_talk:dplmc_recruiter_talk_2|J'ai changé d'avis, il me faudrait d'autres troupes.
dlga_dplmc_recruiter_talk_2:dplmc_recruiter_talk_3|Ma présente mission est de recruter {reg1} {s1} troupes pour vous. Dois-je recruter d'autres soldats à partir de maintenant ?
dlga_dplmc_recruiter_talk_3:close_window|Non, continuez.
dlga_dplmc_recruiter_talk_3:dplmc_recruiter_talk_4|{s11}.
dlga_dplmc_recruiter_talk_3:dplmc_recruiter_talk_4.1|Recruter des troupes.
dlga_dplmc_recruiter_talk_4:dplmc_recruiter_talk|Bien sûr {reg65?madame:sir}. Je le ferais. Est-ce tout ce que vous voulez ?
dlga_start:dplmc_messenger_talk|Salutations. Désolé, mais je n'ai guère le temps de discuter maintenant, je dois délivrer une missive très importante à {s6}.
dlga_dplmc_messenger_talk:dplmc_messenger_talk_farewell|Très bien, je ne veux pas vous retarder. Bon courage !
dlga_dplmc_messenger_talk_farewell:close_window|Merci. Adieu !
dlga_start:dplmc_patrol_talk|Salutations, Sire. Nous sommes encore en train de patrouiller {s6}. Désirez-vous donner de nouvelles directives ?
dlga_dplmc_patrol_pretalk:dplmc_patrol_talk|Salutations, Sire. Désirez-vous donner de nouvelles directives ?
dlga_dplmc_patrol_talk:dplmc_patrol_orders_area_ask|Patrouillez dans une nouvelle zone s'il vous plaît.
dlga_dplmc_patrol_orders_area_ask:dplmc_patrol_orders_area|Où devons-nous aller ?
dlga_dplmc_patrol_orders_area:dplmc_patrol_confirm_ask|{s11}.
dlga_dplmc_patrol_orders_area:dplmc_patrol_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_patrol_confirm_ask:dplmc_patrol_confirm|Comme vous le désirez, nous allons désormais patrouiller aux alentours de {s5}.
dlga_dplmc_patrol_confirm:close_window|Merci.
dlga_dplmc_patrol_confirm:dplmc_patrol_pretalk|Attendez, j'ai changé d'avis.
dlga_dplmc_patrol_talk:dplmc_patrol_orders_garrison_ask|J'ai besoin de vous pour renforcer une garnison.
dlga_dplmc_patrol_orders_garrison_ask:dplmc_patrol_garrison_target|Où devons-nous aller ?
dlga_dplmc_patrol_garrison_target:dplmc_patrol_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_patrol_garrison_confirm_ask:dplmc_patrol_garrison_confirm|Comme vous le désirez, nous allons renforcer la garnison de {s5}.
dlga_dplmc_patrol_garrison_confirm:close_window|Merci.
dlga_dplmc_patrol_garrison_confirm:dplmc_patrol_pretalk|Attendez, j'ai changé d'avis.
dlga_dplmc_patrol_talk:dplmc_patrol_give_troops|Je veux vous donnez quelques hommes supplémentaires.
dlga_dplmc_patrol_give_troops:dplmc_patrol_pretalk|Et bien, je vais pouvoir ainsi disposer de bons renforts.
dlga_dplmc_patrol_talk:close_window|Je n'ai plus besoin de vous plus longtemps, disparaissez !
dlga_dplmc_patrol_talk:close_window.1|Continuez je vous prie.
dlga_start:dplmc_gift_talk|Salutations. Je suis en train de livrer les ressources de {s12} que vous offrez à {s13}.
dlga_dplmc_gift_talk:dplmc_gift_talk_farewell|Très bien! Bon voyage.
dlga_dplmc_gift_talk_farewell:close_window|Merci. Adieu !
dlga_start:dplmc_scout_talk|Sire, je viens d'accomplir ma mission.
dlga_dplmc_scout_talk:close_window|Très bien, continuez je vous prie.
dlga_start:dplmc_chancellor_talk|Mon seigneur ?
dlga_dplmc_chancellor_pretalk:dplmc_chancellor_talk|Avez-vous besoin d'autre chose Sire?
dlga_dplmc_chancellor_talk:dplmc_chancellor_domestic_policy_options_ask|Parlons de politique intérieure.
dlga_dplmc_chancellor_domestic_policy_options_ask:dplmc_chancellor_domestic_policy_options|Comme vous le désirez, Sire.
dlga_dplmc_chancellor_domestic_policy_options:dplmc_chancellor_kingdom_culture_ask|Je souhaite changer la culture du Royaume.
dlga_dplmc_chancellor_kingdom_culture_ask:dplmc_chancellor_talk|Le {s0} de {s11} serait peu enclin à se laisser imposer une autre doctrine.
dlga_dplmc_chancellor_kingdom_culture_ask:dplmc_chancellor_kingdom_culture_select|{s11}. Voulez-vous la changer ?
dlga_dplmc_chancellor_kingdom_culture_select:dplmc_chancellor_pretalk|{s11}.
dlga_dplmc_chancellor_kingdom_culture_select:dplmc_chancellor_pretalk.1|Aucune.
dlga_dplmc_chancellor_kingdom_culture_select:dplmc_chancellor_pretalk.2|Ne faire aucun changement.
dlga_dplmc_chancellor_domestic_policy_options:dplmc_chancellor_domestic_policy_info_ask|S'il vous plaît donnez moi des informations sur la politique intérieure du royaume.
dlga_dplmc_chancellor_domestic_policy_info_ask:dplmc_chancellor_domestic_policy_info_select|Au sujet de quel royaume voulez-vous discuter ?
dlga_dplmc_chancellor_domestic_policy_info_select:dplmc_chancellor_domestic_policy_info|{s10}.
dlga_dplmc_chancellor_domestic_policy_info_select:dplmc_chancellor_pretalk|Aucun.
dlga_dplmc_chancellor_domestic_policy_info:dplmc_chancellor_domestic_policy_info_ask|{s4} {s5} {s6} {s7} {s0}
dlga_dplmc_chancellor_domestic_policy_options:dplmc_chancellor_domestic_policy_ask|Changeons notre politique intérieure.
dlga_dplmc_chancellor_domestic_policy_options:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_domestic_policy_ask:dplmc_chancellor_domestic_policy|{s4} {s5} {s6} {s7} {s0}. Que voulez-vous changer ?
dlga_dplmc_chancellor_domestic_policy_ask:dplmc_chancellor_pretalk|{s4} {s5} {s6} {s7} {s0}.  Nous ne pouvons changer de politique que tous les {reg1} jours, sous peine d'exaspérer la population. Nous devons encore attendre {reg0} jours.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm|Il nous faut plus de serfs.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.1|Il faut qu'il y ait davantage d'hommes libres.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.2|Centralisons le pouvoir.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.3|Décentralisons le pouvoir en donnant plus d'autorité à mes vassaux.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.4|S'agissant de nos armées, je préfère la qualité à la quantité.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.5|S'agissant de nos armées, je préfère la quantité à la qualité.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.6|Donnons plus de pouvoirs aux aristocrates.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.7|Donnons plus de pouvoirs aux bourgeois.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.8|Gérer l'économie plus efficacement de manière à accroître la production et maximiser les exportations.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_domestic_policy_confirm.9|Réduire le rôle de l'État dans la gestion de l'industrie et du commerce.
dlga_dplmc_chancellor_domestic_policy:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_domestic_policy_confirm:dplmc_chancellor_pretalk|Je vais prendre les mesures nécessaires.
dlga_dplmc_chancellor_talk:dplmc_chancellor_info_kingdom_ask|Pouvez-vous me renseigner au sujet d'un seigneur ?
dlga_dplmc_chancellor_info_kingdom_ask:dplmc_chancellor_info_kingdom_select|De quel Royaume vient-il ?
dlga_dplmc_chancellor_info_kingdom_select:dplmc_chancellor_info_person_ask|{s11}.
dlga_dplmc_chancellor_info_kingdom_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_info_person_ask:dplmc_chancellor_info_person_select|A propos de quel seigneur voulez-vous des informations ?
dlga_dplmc_chancellor_info_person_select:dplmc_chancellor_info_person|{s1}.
dlga_dplmc_chancellor_info_person_select:dplmc_chancellor_pretalk|Aucun.
dlga_dplmc_chancellor_info_person:dplmc_chancellor_pretalk|{s47}
dlga_dplmc_chancellor_talk:dplmc_chancellor_cur_stance|Quelle est l'opinion des seigneurs en ce qui concerne le fief de {s4} ?
dlga_dplmc_chancellor_cur_stance:dplmc_chancellor_pretalk|{s10}
dlga_dplmc_chancellor_talk:dplmc_chancellor_message_ask_type|S'il vous plaît, envoyez une missive à un autre seigneur.
dlga_dplmc_chancellor_message_ask_type:dplmc_chancellor_message_lord_select|A qui voulez-vous envoyer la missive ?
dlga_dplmc_chancellor_message_lord_select:dplmc_chancellor_message_ask|{s1}.
dlga_dplmc_chancellor_message_lord_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_gift_lord_select:dplmc_chancellor_pretalk|Non, laissez tomber finalement...
dlga_dplmc_chancellor_message_ask:dplmc_chancellor_message_select|Que voulez-vous dire {s6} ?
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_lord_ask|Demandez-lui s'il est prêt à m'accompagner sur le terrain.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_goto_lord_ask|Demandez-lui s'il est prêt à aller à un certain endroit.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_goto_lord_ask.1|Demandez-lui s'il est disposé à patrouiller dans une région.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_goto_lord_ask.2|Demandez-lui s'il est prêt à fuir vers un certain endroit.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_goto_lord_ask.3|Demandez-lui s'il est prêt à assiéger une place forte.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_message_goto_lord_ask.4|Demandez-lui s'il est prêt à effectuer des raids dans une région.
dlga_dplmc_chancellor_message_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_message_goto_lord_ask:dplmc_chancellor_message_order_details|Où désirez-vous qu'il aille ?
dlga_dplmc_chancellor_message_order_details:dplmc_chancellor_message_lord_ask|{s1}
dlga_dplmc_chancellor_message_order_details:dplmc_chancellor_pretalk|Nulle part.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm|Bien sûr, je vais transmettre une missive au {s11} afin de lui faire savoir que vous désirez qu'il vous accompagne sur le terrain.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm.1|Bien sûr, je vais transmettre une missive au {s11} afin de lui demander s'il est prêt à aller à {s12}.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm.2|Bien sûr, je vais transmettre une missive au {s11} afin de lui demander s'il est prêt à patrouiller autour de {s12}.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm.3|Bien sûr, je vais transmettre une missive au {s11} afin de lui demander s'il est prêt à se retirer vers {s12}.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm.4|Bien sûr, je vais transmettre une missive au {s11} afin de lui demander s'il est prêt à assiéger {s12}.
dlga_dplmc_chancellor_message_lord_ask:dplmc_message_send_confirm.5|Bien sûr, je vais transmettre une missive au {s11} afin de lui demander s'il est prêt à effectuer des raids autour de {s12}.
dlga_dplmc_message_send_confirm:dplmc_chancellor_pretalk|Merci.
dlga_dplmc_message_send_confirm:dplmc_chancellor_pretalk.1|J'ai changé d'avis.
dlga_dplmc_chancellor_talk:dplmc_chancellor_gift_ask_where|Veuillez envoyer un présent.
dlga_dplmc_chancellor_gift_ask_where:dplmc_chancellor_pretalk|Nous n'avons pas assez de trésorerie pour envoyer un présent ! Envoyer un cadeau coûte 50 dragons d'or.
dlga_dplmc_chancellor_gift_ask_where:dplmc_chancellor_gift_where|Envoyer un présent nous coûte 50 dragons d'or. Je vais retirer cette somme du Trésor. Désirez-vous envoyer ce cadeau à une personne ou à un hameau ?
dlga_dplmc_chancellor_gift_where:dplmc_chancellor_gift_ask_person|A une personne.
dlga_dplmc_chancellor_gift_where:dplmc_chancellor_center_gift_ask_type|A une ville ou un village.
dlga_dplmc_chancellor_gift_where:dplmc_chancellor_pretalk|Nulle part.
dlga_dplmc_chancellor_center_gift_ask_type:dplmc_chancellor_center_gift_select|Je recommande d'envoyer 300 unités de poisson fumé, de fromage ou de miel. Si nous avons assez de ressources dans votre réserve, je vais demander à un de nos domestiques d'aller les livrer.
dlga_dplmc_chancellor_center_gift_select:dplmc_chancellor_center_gift_kingdom_ask|Envoyez du poisson.
dlga_dplmc_chancellor_center_gift_select:dplmc_chancellor_center_gift_kingdom_ask.1|Envoyez du fromage.
dlga_dplmc_chancellor_center_gift_select:dplmc_chancellor_center_gift_kingdom_ask.2|Envoyez du miel.
dlga_dplmc_chancellor_center_gift_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_center_gift_kingdom_ask:dplmc_chancellor_center_gift_kingdom_select|Dans quel royaume se situe la ville ou le village ?
dlga_dplmc_chancellor_center_gift_kingdom_select:dplmc_chancellor_center_gift_lord_ask|{s11}.
dlga_dplmc_chancellor_center_gift_kingdom_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_center_gift_lord_ask:dplmc_chancellor_pretalk|Étant donné que nous sommes actuellement en guerre avec le {s11} et qu'ils ne reconnaissent pas officiellement votre légitimité, les messagers que nous allons envoyer courent le risque d'être pendus comme des bandits.
dlga_dplmc_chancellor_center_gift_lord_ask:dplmc_chancellor_center_gift_lord_select|Vers quelle ville ou village voulez-vous envoyer ce présent ?
dlga_dplmc_chancellor_center_gift_lord_select:dplmc_chancellor_center_gift_send_ask|{s11}
dlga_dplmc_chancellor_center_gift_lord_select:dplmc_chancellor_pretalk|J'ai changé d'avis.
dlga_dplmc_chancellor_center_gift_send_ask:dplmc_chancellor_center_gift_send_confirm|Je vais envoyer un domestique avec le {s6} à {s11}.
dlga_dplmc_chancellor_center_gift_send_confirm:dplmc_chancellor_pretalk|Merci.
dlga_dplmc_chancellor_center_gift_send_confirm:dplmc_chancellor_pretalk.1|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_gift_ask_person:dplmc_chancellor_gift_lady_or_lord|Voulez-vous envoyer votre présent à une dame ou à un seigneur ?
dlga_dplmc_chancellor_gift_lady_or_lord:dplmc_chancellor_gift_ask_type|Envoyez ce présent à un seigneur je vous prie.
dlga_dplmc_chancellor_gift_ask_type:dplmc_chancellor_gift_select|Je recommande d'envoyer 150 unités de bière, de vin ou d'huile. Si nous avons assez de ressources dans votre réserve, je vais demander à un de nos domestiques d'aller les livrer.
dlga_dplmc_chancellor_gift_select:dplmc_chancellor_gift_kingdom_ask|Envoyez de la bière.
dlga_dplmc_chancellor_gift_select:dplmc_chancellor_gift_kingdom_ask.1|Envoyez du vin.
dlga_dplmc_chancellor_gift_select:dplmc_chancellor_gift_kingdom_ask.2|Envoyez de l'huile.
dlga_dplmc_chancellor_gift_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_gift_kingdom_ask:dplmc_chancellor_gift_kingdom_select|Dans quel royaume réside le seigneur à qui vous destinez ce présent ?
dlga_dplmc_chancellor_gift_kingdom_select:dplmc_chancellor_gift_lord_ask|Dans le {s11}.
dlga_dplmc_chancellor_gift_kingdom_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_gift_lord_ask:dplmc_chancellor_pretalk|Étant donné que nous sommes actuellement en guerre avec le {s11} et qu'ils ne reconnaissent pas officiellement votre légitimité, les messagers que nous allons envoyer courent le risque d'être pendus comme des bandits.
dlga_dplmc_chancellor_gift_lord_ask:dplmc_chancellor_gift_lord_select|A qui voulez-vous envoyer ce présent ?
dlga_dplmc_chancellor_gift_lord_select:dplmc_chancellor_gift_send_ask|{s11}.
dlga_dplmc_chancellor_gift_send_ask:dplmc_chancellor_gift_send_confirm|Je vais envoyer un domestique avec ces ressources de {s6} à {s11}.
dlga_dplmc_chancellor_gift_send_confirm:dplmc_chancellor_pretalk|Merci.
dlga_dplmc_chancellor_gift_send_confirm:dplmc_chancellor_pretalk.1|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_gift_lady_or_lord:dplmc_chancellor_lady_gift_ask_type|Envoyez ce présent à une dame je vous prie.
dlga_dplmc_chancellor_gift_lady_or_lord:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_lady_gift_ask_type:dplmc_chancellor_lady_gift_select|Je recommande d'envoyer de la teinture, de la soie ou du velours. Si nous avons assez de ressources dans votre réserve, je vais demander à un de nos domestiques d'aller les livrer.
dlga_dplmc_chancellor_lady_gift_select:dplmc_chancellor_lady_gift_kingdom_ask|Envoyez de la teinture.
dlga_dplmc_chancellor_lady_gift_select:dplmc_chancellor_lady_gift_kingdom_ask.1|Envoyez de la soie.
dlga_dplmc_chancellor_lady_gift_select:dplmc_chancellor_lady_gift_kingdom_ask.2|Envoyez du velours.
dlga_dplmc_chancellor_lady_gift_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_lady_gift_kingdom_ask:dplmc_chancellor_lady_gift_kingdom_select|Dans quel royaume réside la dame à qui vous destinez ce présent ?
dlga_dplmc_chancellor_lady_gift_kingdom_select:dplmc_chancellor_lady_gift_lady_ask|Dans le {s11}.
dlga_dplmc_chancellor_lady_gift_kingdom_select:dplmc_chancellor_pretalk|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_lady_gift_lady_ask:dplmc_chancellor_pretalk|Étant donné que nous sommes actuellement en guerre avec le {s11} et qu'ils ne reconnaissent pas officiellement votre légitimité, les messagers que nous allons envoyer courent le risque d'être pendus comme des bandits.
dlga_dplmc_chancellor_lady_gift_lady_ask:dplmc_chancellor_lady_gift_lady_select|A quelle dame est destinée ce cadeau ?
dlga_dplmc_chancellor_lady_gift_lady_select:dplmc_chancellor_lady_gift_send_ask|{s11}.
dlga_dplmc_chancellor_lady_gift_lady_select:dplmc_chancellor_pretalk|Je ne pense à personne en réalité.
dlga_dplmc_chancellor_lady_gift_send_ask:dplmc_chancellor_lady_gift_send_confirm|Je vais envoyer un domestique avec ces ressources de {s6} à {s11}.
dlga_dplmc_chancellor_lady_gift_send_confirm:dplmc_chancellor_pretalk|Merci.
dlga_dplmc_chancellor_lady_gift_send_confirm:dplmc_chancellor_pretalk.1|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_chancellor_talk:dplmc_chancellor_talk_household|Voyons voir l'état de mes réserves.
dlga_dplmc_chancellor_talk_household:dplmc_chancellor_pretalk|Je vous suggère de conserver tous vos objets de valeur dans la réserve.
dlga_dplmc_chancellor_talk:dplmc_chancellor_pretalk|Je voudrais contrôler l'entrepôt de ma deuxième maison.
dlga_dplmc_chancellor_talk:dplmc_chancellor_dismiss_confirm_ask|Je n'ai plus besoin de vos services.
dlga_dplmc_chancellor_dismiss_confirm_ask:dplmc_chancellor_dismiss_confirm|Etes-vous sur de ne plus avoir besoin de moi?
dlga_dplmc_chancellor_dismiss_confirm:dplmc_chancellor_dismiss_confirm_yes|Oui.
dlga_dplmc_chancellor_dismiss_confirm_yes:close_window|Comme il vous plaira.
dlga_dplmc_chancellor_dismiss_confirm:dplmc_chancellor_pretalk|Non.
dlga_dplmc_chancellor_talk:close_window|Au revoir.
dlga_start:dplmc_constable_talk|Toujours à votre service!
dlga_dplmc_constable_pretalk:dplmc_constable_talk|Désirez-vous autre chose, {s0}?
dlga_dplmc_constable_talk:dplmc_constable_talk_ask_war|Comment se déroule la guerre ?
dlga_dplmc_constable_talk_ask_war:dplmc_constable_talk_ask_war_2|{s12}
dlga_dplmc_constable_talk_ask_war_2:dplmc_constable_talk_ask_war_details|Dîtes m'en plus sur la guerre avec le {s1}.
dlga_dplmc_constable_talk_ask_war_2:dplmc_constable_pretalk|C'est tout ce que je voulais savoir. Merci.
dlga_dplmc_constable_talk:dplmc_constable_scout_ask|Je veux être informé sur la situation d'un fief.
dlga_dplmc_constable_scout_ask:dplmc_constable_scout_location|Nous pouvons envoyer un espion, mais cela nous coûtera 300 dragons d'or. Quel royaume souhaitez-vous espionner ?
dlga_dplmc_constable_scout_location:dplmc_constable_pretalk|Non, laissez tomber finalement...
dlga_dplmc_constable_scout_location_confirm_ask:dplmc_constable_scout_location2|Quel fief voulez-vous espionner ?
dlga_dplmc_constable_scout_location2:dplmc_constable_pretalk|Non, laissez tomber, j'ai changé d'avis.
dlga_dplmc_constable_scout_location_confirm_ask2:dplmc_constable_scout_location_confirm|Comme il vous plaira, je vais envoyer un espion à {s11} afin qu'il glane des informations pour nous. Je vais retirer 300 dragons d'or du Trésor de ce pas.
dlga_dplmc_constable_scout_location_confirm:dplmc_constable_pretalk|Parfait.
dlga_dplmc_constable_scout_location_confirm:dplmc_constable_pretalk.1|Non ! Attendez !
dlga_dplmc_constable_talk:dplmc_constable_talk_ask_prisoner|Je veux libérer un prisonnier.
dlga_dplmc_constable_talk_ask_prisoner:dplmc_constable_talk_prisoner_select|Très bien, quel prisonnier désirez-vous relâcher ?
dlga_dplmc_constable_talk_prisoner_select:dplmc_constable_exchange_prisoner_ask_confirm|{s10} de {s11}.
dlga_dplmc_constable_talk_prisoner_select:dplmc_constable_pretalk|Personne.
dlga_dplmc_constable_exchange_prisoner_ask_confirm:dplmc_constable_exchange_prisoner_confirm|Vos désirs sont des ordres, je vais demander au garde de relâcher {s10} de {s11}.
dlga_dplmc_constable_exchange_prisoner_confirm:dplmc_constable_pretalk|Très bien.
dlga_dplmc_constable_exchange_prisoner_confirm:dplmc_constable_pretalk.1|Laissez tomber, j'ai changé d'avis.
dlga_dplmc_constable_talk:dplmc_constable_reports_ask|Faîtes moi un rapport je vous prie.
dlga_dplmc_constable_reports_ask:dplmc_constable_reports|A quel sujet désirez-vous avoir un rapport ?
dlga_dplmc_constable_reports:dplmc_constable_kingdom_overview|Faîtes moi un rapport sur l'état de l'armée du royaume.
dlga_dplmc_constable_reports:dplmc_constable_overview|Faîtes moi un rapport sur l'état de mon armée.
dlga_dplmc_constable_reports:dplmc_constable_lord|Faîtes moi un rapport sur l'état de l'armée d'un seigneur.
dlga_dplmc_constable_lord:dplmc_constable_status_lord_select|A propos de quel seigneur voulez-vous être informé ?
dlga_dplmc_constable_status_lord_select:dplmc_constable_reports_ask|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_constable_reports:dplmc_constable_status|Faîtes moi un rapport sur l'état de la garnison d'un fief.
dlga_dplmc_constable_status:dplmc_constable_status_select_fief|A propos de quel fief voulez-vous être informé ?
dlga_dplmc_constable_status_select_fief:dplmc_constable_reports_ask|Laissez tomber, cela n'a aucune importance.
dlga_dplmc_constable_reports:dplmc_constable_pretalk|Merci, ce sera tout pour l'instant.
dlga_dplmc_constable_talk:dplmc_constable_armory_end|Je voudrais contrôler l'armurerie.
dlga_dplmc_constable_armory_end:dplmc_constable_armory_end_2|Avez-vous besoin d'autre chose, {s0}?
dlga_dplmc_constable_armory_end_2:dplmc_constable_talk|Avez-vous besoin d'autre chose, {s0}?
dlga_dplmc_constable_talk:dplmc_constable_recruits_and_training_ask|Parlons un peu des recrues et de leur entraînement.
dlga_dplmc_constable_recruits_and_training_ask:dplmc_constable_recruits_and_training|Bien sûr.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_train_ask|Pouvez-vous former des recrues, s'il vous plaît?
dlga_dplmc_constable_train_ask:dplmc_constable_train_select|Bien sûr, où dois-je les former?
dlga_dplmc_constable_train_type_ask:dplmc_constable_train_type|Préférez-vous des unités de mêlée ou à distance?
dlga_dplmc_constable_train_type:dplmc_constable_train_improved_ask|Mêlée.
dlga_dplmc_constable_train_type:dplmc_constable_train_improved_ask.1|Distance.
dlga_dplmc_constable_train_type:dplmc_constable_pretalk|Aucun des deux.
dlga_dplmc_constable_train_improved_ask:dplmc_constable_train_improved|Si vous voulez, je peux embaucher des formateurs supplémentaires afin que nous puissions former les recrues plus vite et mieux. Cela vous coûtera 10 dragons d'or supplémentaires par jour.
dlga_dplmc_constable_train_improved:dplmc_constable_train_center|Oui, je vous en prie, engagez des formateurs supplémentaires.
dlga_dplmc_constable_train_improved:dplmc_constable_train_center.1|Non, vous les formerez tout seul.
dlga_dplmc_constable_train_center:dplmc_constable_pretalk|Bien, je vais entraîner les recrues à {s11}. {s12} S'il vous plaît, assurez-vous que nous avons assez d'argent dans la trésorerie pour payer l'évolution de leur équipement.
dlga_dplmc_constable_train_select:dplmc_constable_pretalk|J'ai changé d'avis, peut-être vous ne devriez pas les former.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_train_stop|Arrêtez la formation des recrues à {s11}.
dlga_dplmc_constable_train_stop:dplmc_constable_pretalk|Vos désirs sont des ordres.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_recruit|Je veux recruter de nouveaux soldats.
dlga_dplmc_constable_recruit:dplmc_constable_pretalk|Nous avons besoin de trésorerie pour recruter de nouveaux soldats. Nommez avant tout un chambellan.
dlga_dplmc_constable_recruit:dplmc_constable_pretalk.1|Vous avez déjà engagé le nombre maximum de recruteurs autorisés ici.
dlga_dplmc_constable_recruit:dplmc_constable_recruit_select|Si vous le désirez, je vais envoyer quelqu'un visiter les villages afin de recruter de nouvelles troupes. Après qu'il ait recruté le nombre de troupes demandé, il reviendra ici et mettra ces hommes au service de la garnison. Il existe une limite de recruteurs de l'ordre de 2 par château et de 4 par ville. Quel type de recrues désirez-vous ?
dlga_dplmc_constable_recruit_select:dplmc_constable_recruit_amount|{s11}.
; dlga_dplmc_constable_recruit_amount:dplmc_constable_recruit_amount_select|You have to pay 50 coins for each recruit and 100 coins for the recruiter. I will take the money from the treasury. How many recruits are you willing to pay for?
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask|5.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.1|10
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.2|20
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.3|30
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.4|40
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.5|50
; dlga_dplmc_constable_recruit_confirm_ask:dplmc_constable_recruit_confirm|Do you really want to recruit {s6} {s11} soldiers?
dlga_dplmc_constable_recruit_confirm:dplmc_constable_pretalk|Oui.
dlga_dplmc_constable_recruit_confirm:dplmc_constable_pretalk.1|Non.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_pretalk|Aucun.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_pretalk|J'ai changé d'avis.
dlga_dplmc_constable_talk:dplmc_constable_security_ask|Parlons des patrouilles et des mouvements de troupes.
dlga_dplmc_constable_security_ask:dplmc_constable_security|Bien sûr.
