trp_multiplayer_profile_troop_male|Profil multi-joueurs homme
trp_custom_e_archer_equip|A4 Archer indépendant
trp_custom_e_archer_equip_pl|A4 Archers indépendants
trp_custom_e_archer_selection|A4 Archer indépendant
trp_custom_e_archer_selection_pl|A4 Archers indépendants
trp_custom_e_skirmisher|A4 Tirailleur indépendant
trp_custom_e_skirmisher_pl|A4 Tirailleurs indépendants
trp_custom_e_skirmisher_equip|A4 Tirailleur indépendant
trp_custom_e_skirmisher_equip_pl|A4 Tirailleurs indépendants
trp_custom_e_skirmisher_selection|A4 Tirailleur indépendant
trp_custom_e_skirmisher_selection_pl|A4 Tirailleurs indépendants
trp_custom_e_swordmaster|I5 Maître-épéiste indépendant
trp_custom_e_swordmaster_pl|I5 Maîtres-épéistes indépendants
trp_custom_e_swordmaster_equip|I5 Maître-épéiste indépendant
trp_custom_e_swordmaster_equip_pl|I5 Maîtres-épéistes indépendants
trp_custom_e_swordmaster_selection|I5 Maître-épéiste indépendant
trp_custom_e_swordmaster_selection_pl|I5 Maîtres-épéistes indépendants
trp_custom_e_spearmaster|I5 Maître-lancier indépendant
trp_custom_e_spearmaster_pl|I5 Maîtres-lanciers indépendants
trp_custom_e_spearmaster_equip|I5 Maître-lancier indépendant
trp_custom_e_spearmaster_equip_pl|I5 Maîtres-lanciers indépendants
trp_custom_e_spearmaster_selection|I5 Maître-lancier indépendant
trp_custom_e_spearmaster_selection_pl|I5 Maîtres-lanciers indépendants
trp_custom_e_knight|C5 Chevalier indépendant
trp_custom_e_knight_pl|C5 Chevaliers indépendants
trp_custom_e_knight_equip|C5 Chevalier indépendant
trp_custom_e_knight_equip_pl|C5 Chevaliers indépendants
trp_custom_e_knight_selection|C5 Chevalier indépendant
trp_custom_e_knight_selection_pl|C5 Chevaliers indépendants
trp_custom_e_horse_archer|H5 Archer monté indépendant
trp_custom_e_horse_archer_pl|H5 Archers montés indépendants
trp_custom_e_horse_archer_equip|H5 Archer monté indépendant
trp_custom_e_horse_archer_equip_pl|H5 Archers montés indépendants
trp_custom_e_horse_archer_selection|H5 Archer monté indépendant
trp_custom_e_horse_archer_selection_pl|H5 Archers montés indépendants
trp_custom_e_expert_archer|A5 Maître-archer indépendant
trp_custom_e_expert_archer_pl|A5 Maîtres-archers indépendants
trp_custom_e_expert_archer_equip|A5 Maître-archer indépendant
trp_custom_e_expert_archer_equip_pl|A5 Maîtres-archers indépendants
trp_custom_e_expert_archer_selection|A5 Maître-archer indépendant
trp_custom_e_expert_archer_selection_pl|A5 Maîtres-archers indépendants
trp_custom_e_frontline_skirmisher|A5 Tirailleur de front indépendant
trp_custom_e_frontline_skirmisher_pl|A5 Tirailleurs de front indépendants
trp_custom_e_frontline_skirmisher_equip|A5 Tirailleur de front indépendant
trp_custom_e_frontline_skirmisher_equip_pl|A5 Tirailleurs de front indépendants
trp_custom_e_frontline_skirmisher_selection|A5 Tirailleur de front indépendant
trp_custom_e_frontline_skirmisher_selection_pl|A5 Tirailleurs de front indépendants
trp_custom_e_heavy_knight|C6 Chevalier lourd indépendant
trp_custom_e_heavy_knight_pl|C6 Chevaliers lourds indépendants
trp_custom_e_heavy_knight_equip|C6 Chevalier lourd indépendant
trp_custom_e_heavy_knight_equip_pl|C6 Chevaliers lourds indépendants
trp_custom_e_heavy_knight_selection|C6 Chevalier lourd indépendant
trp_custom_e_heavy_knight_selection_pl|C6 Chevaliers lourds indépendants
trp_custom_e_heavy_horse_archer|H6 Archer monté lourd indépendant
trp_custom_e_heavy_horse_archer_pl|H6 Archers montés lourds indépendants
trp_custom_e_heavy_horse_archer_equip|H6 Archer monté lourd indépendant
trp_custom_e_heavy_horse_archer_equip_pl|H6 Archers montés lourds indépendants
trp_custom_e_heavy_horse_archer_selection|H6 Archer monté lourd indépendant
trp_custom_e_heavy_horse_archer_selection_pl|H6 Archers montés lourds indépendants
trp_custom_master|Grazmak mo Senko
trp_custom_master_pl|Grazmak mo Senko
trp_custom_messenger|Messager
trp_custom_messenger_pl|Messagers
trp_custom_deserter|Déserteur
trp_custom_deserter_pl|Déserteurs
trp_custom_prison_guard|Geôlier 
trp_custom_prison_guard_pl|Geôliers
trp_custom_castle_guard|Garde du château
trp_custom_castle_guard_pl|Gardes du château
trp_bandit_n_looter|Pilleur
trp_bandit_n_looter_pl|Pilleurs
trp_bandit_n_bandit|Bandit
trp_bandit_n_bandit_pl|Bandits
trp_bandit_n_brigand|Brigand
trp_bandit_n_brigand_pl|Brigands
trp_bandit_n_mountain|Bandit des montagnes
trp_bandit_n_mountain_pl|Bandits des montagnes
trp_bandit_n_forest|Bandit des forêts
trp_bandit_n_forest_pl|Bandits des forêts
trp_bandit_n_sea_raider|Pirate
trp_bandit_n_sea_raider_pl|Pirates
trp_bandit_n_steppe|Guerrier Dothraki
trp_bandit_n_steppe_pl|Guerriers Dothrakis
trp_bandit_n_taiga|Cavalier sauvageon
trp_bandit_n_taiga_pl|Cavaliers sauvageons
trp_bandit_n_desert|Hors-la-loi
trp_bandit_n_desert_pl|Hors-la-loi
trp_bandit_n_outlaw|Chef de hors-la-loi
trp_bandit_n_outlaw_pl|Chefs de hors-la-loi
trp_bandit_n_outlaw1|Archer hors-la-loi
trp_bandit_n_outlaw1_pl|Archers hors-la-loi
trp_bandit_n_valemen|Chef de clan
trp_bandit_n_valemen_pl|Chefs de clan
trp_bandit_n_valemen1|Homme de clan archer
trp_bandit_n_valemen1_pl|Hommes de clan archers
trp_bandit_n_valemen2|Homme de clan avec masse
trp_bandit_n_valemen2_pl|Hommes de clan avec masse
trp_bandit_n_raiders|Chef des écumeurs
trp_bandit_n_raiders_pl|Chefs des écumeurs
trp_bandit_n_raiders1|Archer écumeur
trp_bandit_n_raiders1_pl|Archers écumeurs
trp_bandit_n_raiders2|Cavalier écumeur
trp_bandit_n_raiders2_pl|Cavaliers écumeurs
trp_bandit_n_essoslooter|Bandit du désert
trp_bandit_n_essoslooter_pl|Bandits du désert
trp_bandit_n_dothraki|Bandit du désert
trp_bandit_n_dothraki_pl|Bandits du désert
trp_bandit_n_dothraki1|Bandit du désert
trp_bandit_n_dothraki1_pl|Bandits du désert
trp_bandit_n_dothraki2|Bandit du désert
trp_bandit_n_dothraki2_pl|Bandits du désert
trp_bandit_n_slavers|Chef des esclavagistes
trp_bandit_n_slavers_pl|Chefs des esclavagistes
; trp_bandit_n_slavers1|Slaver Horseman
; trp_bandit_n_slavers1_pl|Slaver Horsemen
trp_bandit_n_slavers2|Lancier esclavagiste
trp_bandit_n_slavers2_pl|Lanciers esclavagistes
trp_bandit_n_pirates|Bandit Rhoynar
trp_bandit_n_pirates_pl|Bandits Rhoynars
trp_bandit_n_pirates1|Archer Rhoynar
trp_bandit_n_pirates1_pl|Archers Rhoynars
trp_bandit_n_escapedslave|Chef des esclaves
trp_bandit_n_escapedslave_pl|Chefs des esclaves
trp_bandit_n_escapedslave1|Esclave
trp_bandit_n_escapedslave1_pl|Esclaves
trp_bandit_n_wildling_archer|Archer sauvageon
trp_bandit_n_wildling_archer_pl|Archers sauvageons
trp_bandit_n_dothraki_archer|Archer Dothraki
trp_bandit_n_dothraki_archer_pl|Archers Dothrakis
trp_bandit_n_wildling_spearwifes|Lancière sauvageonne 
trp_bandit_n_wildling_spearwifes_pl|Lancières sauvageonnes
trp_crannogmen|Crannogman
trp_crannogmen_pl|Crannogmans
trp_brienne|Brienne de Torth
trp_brienne_pl|Brienne de Torth
; trp_emmon_cuy|Ser Emmon Cuy
; trp_emmon_cuy_pl|Ser Emmon Cuy
; trp_robar_royce|Ser Robar Royce
; trp_robar_royce_pl|Ser Robar Royce
; trp_parmen_crane|Ser Parmen Crane
; trp_parmen_crane_pl|Ser Parmen Crane
; trp_cortnay_penrose|Ser Cortnay Penrose
; trp_cortnay_penrose_pl|Ser Cortnay Penrose
; trp_rolland_storm|Ser Rolland Storm
; trp_rolland_storm_pl|Ser Rolland Storm
; trp_mark_mullendore|Ser Mark Mullendore
; trp_mark_mullendore_pl|Ser Mark Mullendore
; trp_bonifer_hasty|Ser Bonifer the Good
; trp_bonifer_hasty_pl|Ser Bonifer the Good
; trp_dermot_rainwood|Ser Dermot of the Rainwood
; trp_dermot_rainwood_pl|Ser Dermot of the Rainwood
; trp_timon_scrapesword|Ser Timon the Scrapesword
; trp_timon_scrapesword_pl|Ser Timon the Scrapesword
; trp_alyn_estermont|Ser Alyn Estermont
; trp_alyn_estermont_pl|Ser Alyn Estermont
; trp_herbert_bolling|Ser Herbert Bolling
; trp_herbert_bolling_pl|Ser Herbert Bolling
; trp_shadrick|Ser Shadrich of the Shady Glen
; trp_shadrick_pl|Ser Shadrich of the Shady Glen
; trp_alesander_staedmon|Lord Alesander Staedmon
; trp_alesander_staedmon_pl|Lord Alesander Staedmon
; trp_aemon_estermont|Ser Aemon Estermont
; trp_aemon_estermont_pl|Ser Aemon Estermont
; trp_gunthor_estermont|Ser Gunthor Estermont
; trp_gunthor_estermont_pl|Ser Gunthor Estermont
; trp_dacey_mormont|Dacey Mormont
; trp_dacey_mormont_pl|Dacey Mormont
; trp_robin_flint|Robin Flint
; trp_robin_flint_pl|Robin Flint
; trp_perwyn_frey|Ser Perwyn Frey
; trp_perwyn_frey_pl|Ser Perwyn Frey
; trp_lucas_blackwood|Lucas Blackwood
; trp_lucas_blackwood_pl|Lucas Blackwood
; trp_olyvar_frey|Olyvar Frey
; trp_olyvar_frey_pl|Olyvar Frey
; trp_owen_norrey|Owen Norrey
; trp_owen_norrey_pl|Owen Norrey
; trp_ronnel_stout|Ronnel Stout
; trp_ronnel_stout_pl|Ronnel Stout
; trp_kyle_condon|Ser Kyle Condon
; trp_kyle_condon_pl|Ser Kyle Condon
; trp_steelshanks_walton|Steelshanks Walton
; trp_steelshanks_walton_pl|Steelshanks Walton
; trp_donnel_locke|Ser Donnel Locke
; trp_donnel_locke_pl|Ser Donnel Locke
; trp_samwell_stone|Ser Samwell Stone
; trp_samwell_stone_pl|Ser Samwell Stone
; trp_damon_shett|Ser Damon Shett
; trp_damon_shett_pl|Ser Damon Shett
; trp_uthor_tollett|Ser Uthor Tollett
; trp_uthor_tollett_pl|Ser Uthor Tollett
; trp_aenys_frey|Ser Aenys Frey
; trp_aenys_frey_pl|Ser Aenys Frey
; trp_rhaegar_frey|Ser Rhaegar Frey
; trp_rhaegar_frey_pl|Ser Rhaegar Frey
; trp_jared_frey|Ser Jared Frey
; trp_jared_frey_pl|Ser Jared Frey
; trp_hosteen_frey|Ser Hosteen Frey
; trp_hosteen_frey_pl|Ser Hosteen Frey
; trp_symond_frey|Ser Symond Frey
; trp_symond_frey_pl|Ser Symond Frey
; trp_jammos_frey|Ser Jammos Frey
; trp_jammos_frey_pl|Ser Jammos Frey
; trp_walder_rivers|Ser Walder Rivers
; trp_walder_rivers_pl|Ser Walder Rivers
; trp_andrey_charlton|Ser Andrey Charlton
; trp_andrey_charlton_pl|Ser Andrey Charlton
; trp_garse_goodbrook|Ser Garse Goodbrook
; trp_garse_goodbrook_pl|Ser Garse Goodbrook
; trp_lymond_goodbrook|Lord Lymond Goodbrook
; trp_lymond_goodbrook_pl|Lord Lymond Goodbrook
; trp_leslyn_haigh|Ser Leslyn Haigh
; trp_leslyn_haigh_pl|Ser Leslyn Haigh
; trp_halmon_paege|Ser Halmon Paege
; trp_halmon_paege_pl|Ser Halmon Paege
; trp_robert_paege|Ser Robert Bolling
; trp_robert_paege_pl|Ser Robert Bolling
; trp_damon_paege|Damon Paege
; trp_damon_paege_pl|Damon Paege
; trp_lycias_vypren|Lord Lycias Vypren
; trp_lycias_vypren_pl|Lord Lycias Vypren
; trp_daemon_sand|Ser Daemon Sand
; trp_daemon_sand_pl|Ser Daemon Sand
; trp_perros_blackmont|Perros Blackmont
; trp_perros_blackmont_pl|Perros Blackmont
; trp_obara_sand|Obara Sand
; trp_obara_sand_pl|Obara Sand
; trp_garibald_shells|Ser Garibald Shells
; trp_garibald_shells_pl|Ser Garibald Shells
; trp_joss_hood|Ser Joss Hood
; trp_joss_hood_pl|Ser Joss Hood
; trp_andrey_dalt|Ser Andrey Dalt
; trp_andrey_dalt_pl|Ser Andrey Dalt
; trp_myles_manwoody|Ser Myles Manwoody
; trp_myles_manwoody_pl|Ser Myles Manwoody
; trp_dickon_manwoody|Ser Dickon Manwoody
; trp_dickon_manwoody_pl|Ser Dickon Manwoody
; trp_gerald_gower|Ser Gerald Gower
; trp_gerald_gower_pl|Ser Gerald Gower
; trp_triston_of_tally_hill|Ser Triston of Tally Hill
; trp_triston_of_tally_hill_pl|Ser Triston of Tally Hill
; trp_omer_blackberry|Omer Blackberry
; trp_omer_blackberry_pl|Omer Blackberry
; trp_narbert_grandison|Ser Narbert Grandison
; trp_narbert_grandison_pl|Ser Narbert Grandison
; trp_benethon_scales|Ser Benethon Scales
; trp_benethon_scales_pl|Ser Benethon Scales
; trp_patrek_kings_mountain|Ser Patrek of King's Mountain
; trp_patrek_kings_mountain_pl|Ser Patrek of King's Mountain
; trp_dorden_the_dour|Ser Dorden the Dour
; trp_dorden_the_dour_pl|Ser Dorden the Dour
; trp_harys_cobb|Ser Harys Cobb
; trp_harys_cobb_pl|Ser Harys Cobb
; trp_ormund_wylde|Ser Ormund Wylde
; trp_ormund_wylde_pl|Ser Ormund Wylde
; trp_humfrey_clifton|Ser Humfrey Clifton
; trp_humfrey_clifton_pl|Ser Humfrey Clifton
; trp_willam_foxglove|Ser Willam Foxglove
; trp_willam_foxglove_pl|Ser Willam Foxglove
; trp_corliss_penny|Ser Corliss Penny
; trp_corliss_penny_pl|Ser Corliss Penny
; trp_malegorn_of_redpool|Ser Malegorn of Redpool
; trp_malegorn_of_redpool_pl|Ser Malegorn of Redpool
; trp_lambert_whitewater|Ser Lambert Whitewater
; trp_lambert_whitewater_pl|Ser Lambert Whitewater
; trp_perkin_follard|Ser Perkin Follard
; trp_perkin_follard_pl|Ser Perkin Follard
; trp_brus_buckler|Ser Brus Buckler
; trp_brus_buckler_pl|Ser Brus Buckler
; trp_richard_horpe|Ser Richard Horpe
; trp_richard_horpe_pl|Ser Richard Horpe
; trp_godry_farring|Ser Godry Farring
; trp_godry_farring_pl|Ser Godry Farring
; trp_robin_peasebury|Lord Robin Peasebury
; trp_robin_peasebury_pl|Lord Robin Peasebury
; trp_clayton_suggs|Ser Clayton Suggs
; trp_clayton_suggs_pl|Ser Clayton Suggs
; trp_morosh|Morosh the Myrman
; trp_morosh_pl|Morosh the Myrman
; trp_meizo_mahr|Meizo Mahr
; trp_meizo_mahr_pl|Meizo Mahr
; trp_khorane_sathmantes|Khorane Sathmantes
; trp_khorane_sathmantes_pl|Khorane Sathmantes
; trp_hookface_will|Hookface Will
; trp_hookface_will_pl|Hookface Will
; trp_hal_the_hog|Hal the Hog
; trp_hal_the_hog_pl|Hal the Hog
; trp_dale_seaworth|Lewys the Fishwife
; trp_dale_seaworth_pl|Lewys the Fishwife
; trp_allard_seaworth|Allard Seaworth
; trp_allard_seaworth_pl|Allard Seaworth
; trp_maric_seaworth|Maric Seaworth
; trp_maric_seaworth_pl|Maric Seaworth
; trp_matthos_seaworth|Matthos Seaworth
; trp_matthos_seaworth_pl|Matthos Seaworth
; trp_lyseni_pirate|Lyseni Pirate
; trp_lyseni_pirate_pl|Lyseni Pirates
; trp_lambert_turnberry|Ser Lambert Turnberry
; trp_lambert_turnberry_pl|Ser Lambert Turnberry
; trp_josmyn_peckledon|Josmyn Peckledon
; trp_josmyn_peckledon_pl|Josmyn Peckledon
; trp_jon_bettley|Ser Jon Bettley
; trp_jon_bettley_pl|Ser Jon Bettley
; trp_kennos_of_kayce|Ser Kennos of Kayce
; trp_kennos_of_kayce_pl|Ser Kennos of Kayce
; trp_lymond_vikary|Ser Lymond Vikary
; trp_lymond_vikary_pl|Ser Lymond Vikary
; trp_manfryd_yew|Ser Manfryd Yew
; trp_manfryd_yew_pl|Ser Manfryd Yew
; trp_tybolt_hetherspoon|Ser Tybolt Hetherspoon
; trp_tybolt_hetherspoon_pl|Ser Tybolt Hetherspoon
; trp_illifer_the_penniless|Ser Illifer the Penniless
; trp_illifer_the_penniless_pl|Ser Illifer the Penniless
; trp_creighton_longbough|Ser Creighton Longbough
; trp_creighton_longbough_pl|Ser Creighton Longbough
; trp_harwyn_plumm|Ser Harwyn Plumm
; trp_harwyn_plumm_pl|Ser Harwyn Plumm
; trp_ben_bushy|Big Ben Bushy
; trp_ben_bushy_pl|Big Ben Bushy
; trp_hyle_hunt|Ser Hyle Hunt
; trp_hyle_hunt_pl|Ser Hyle Hunt
; trp_alyn_hunt|Ser Alyn Hunt
; trp_alyn_hunt_pl|Ser Alyn Hunt
; trp_edmund_ambrose|Ser Edmund Ambrose
; trp_edmund_ambrose_pl|Ser Edmund Ambrose
; trp_richard_farrow|Ser Richard Farrow
; trp_richard_farrow_pl|Ser Richard Farrow
; trp_will_the_stork|Will the Stork
; trp_will_the_stork_pl|Will the Stork
; trp_hugh_beesbury|Ser Hugh Beesbury
; trp_hugh_beesbury_pl|Ser Hugh Beesbury
; trp_raymond_nayland|Ser Raymond Nayland
; trp_raymond_nayland_pl|Ser Raymond Nayland
; trp_harry_sawyer|Ser Harry Sawyer
; trp_harry_sawyer_pl|Ser Harry Sawyer
; trp_owen_inchfield|Ser Owen Inchfield
; trp_owen_inchfield_pl|Ser Owen Inchfield
; trp_robin_potter|Ser Robin Potter
; trp_robin_potter_pl|Ser Robin Potter
; trp_willam_wythers|Ser Willam Wythers
; trp_willam_wythers_pl|Ser Willam Wythers
; trp_portifer_woodwright|Ser Portifer Woodwright
; trp_portifer_woodwright_pl|Ser Portifer Woodwright
; trp_lucantine_woodwright|Ser Lucantine Woodwright
; trp_lucantine_woodwright_pl|Ser Lucantine Woodwright
; trp_garse_flowers|Garse Flowers
; trp_garse_flowers_pl|Garse Flowers
; trp_garrett_flowers|Garrett Flowers
; trp_garrett_flowers_pl|Garrett Flowers
; trp_tanton_fossoway|Ser Tanton Fossoway
; trp_tanton_fossoway_pl|Ser Tanton Fossoway
; trp_edwyd_fossoway|Ser Edwyd Fossoway
; trp_edwyd_fossoway_pl|Ser Edwyd Fossoway
; trp_dagmer_cleftjaw|Dagmer Cleftjaw
; trp_dagmer_cleftjaw_pl|Dagmer Cleftjaw
; trp_bluetooth|Bluetooth
; trp_bluetooth_pl|Bluetooth
; trp_uller|Uller
; trp_uller_pl|Uller
; trp_skyte|Skyte
; trp_skyte_pl|Skyte
trp_qarl|Qarl la Pucelle
trp_qarl_pl|Qarl la Pucelle
; trp_roggon_rustbeard|Roggon Rustbeard
; trp_roggon_rustbeard_pl|Roggon Rustbeard
; trp_grimtongue|Grimtongue
; trp_grimtongue_pl|Grimtongue
; trp_rolfe_the_dwarf|Rolfe the Dwarf
; trp_rolfe_the_dwarf_pl|Rolfe the Dwarf
; trp_lorren_longaxe|Lorren Longaxe
; trp_lorren_longaxe_pl|Lorren Longaxe
; trp_rook|Rook
; trp_rook_pl|Rook
; trp_fingers|Fingers
; trp_fingers_pl|Fingers
; trp_eerl_hawlaw|Eerl Harlaw
; trp_eerl_hawlaw_pl|Eerl Harlaw
; trp_cromm|Cromm
; trp_cromm_pl|Cromm
; trp_hagen_the_horn|Hagen the Horn
; trp_hagen_the_horn_pl|Hagen the Horn
; trp_quenton_greyjoy|Quenton Greyjoy
; trp_quenton_greyjoy_pl|Quenton Greyjoy
; trp_dagon_greyjoy|Dagon Greyjoy
; trp_dagon_greyjoy_pl|Dagon Greyjoy
; trp_red_ralf|Red Ralf Stonehouse
; trp_red_ralf_pl|Red Ralf Stonehouse
; trp_ralf_the_limper|Ralf the Limper
; trp_ralf_the_limper_pl|Ralf the Limper
; trp_nute_the_barber|Nute the Barber
; trp_nute_the_barber_pl|Nute the Barber
; trp_wulf_one_ear|Wulf One-Ear
; trp_wulf_one_ear_pl|Wulf One-Ear
; trp_ragnor_pyke|Ragnor Pyke
; trp_ragnor_pyke_pl|Ragnor Pyke
; trp_event_young_noblemen|Young Nobleman
; trp_event_young_noblemen_pl|Young Nobleman
trp_event_bandits|Bandit
trp_event_bandits_pl|Bandits
; trp_event_religious_fanatic_oldtown|Septon
; trp_event_religious_fanatic_oldtown_pl|Septon
; trp_event_religious_fanatic_volantis|Red Priest
; trp_event_religious_fanatic_volantis_pl|Red Priest
trp_event_camp_followers|Suiveuse de Camp
trp_event_camp_followers_pl|Suiveuses de camp
trp_event_singer|Chanteur
trp_event_singer_pl|Chanteurs
trp_event_lute_player|Joueur de luth
trp_event_lute_player_pl|Joueurs de luth
trp_event_peasant|Paysan
trp_event_peasant_pl|Paysans
; trp_event_peasant_female|Peasant
; trp_event_peasant_female_pl|Peasants
; trp_event_plump_bastard|Bastard
; trp_event_plump_bastard_pl|Bastard
trp_goldcloak_1|Vougier des Manteaux d'Or
trp_goldcloak_1_pl|Vougiers des Manteaux d'Or
trp_goldcloak_2|Homme d'arme des Manteaux d'Or
trp_goldcloak_2_pl|Hommes d'arme des Manteaux d'Or
trp_goldcloak_3|Archer des Manteaux d'Or
trp_goldcloak_3_pl|Archers des Manteaux d'Or
trp_goldcloak_4|Arbalétrier des Manteaux d'Or
trp_goldcloak_4_pl|Arbalétriers des Manteaux d'Or
trp_goldcloak_5|Officier des Manteaux d'Or
trp_goldcloak_5_pl|Officiers des Manteaux d'Or
trp_zombie_wight|Créature Putride
trp_zombie_wight_pl|Créatures Putrides
trp_wildling_wight|Créature
trp_wildling_wight_pl|Créatures
trp_unsullied|Immaculé
trp_unsullied_pl|Immaculés
; trp_white_harbor_knight|White Harbor Knight
; trp_white_harbor_knight_pl|White Harbor Knight
; trp_rill_lances|Rill Lancer
; trp_rill_lances_pl|Rill Lances
; trp_clan_champion|Clan Champion
; trp_clan_champion_pl|Clan Champions
; trp_raventree_archer|Raventree Hall Archer
; trp_raventree_archer_pl|Raventree Hall Archers
; trp_stone_hedge_knight|Stone Hedge Knight
; trp_stone_hedge_knight_pl|Stone Hedge Knights
; trp_crossing_spearman|Crossing Man-at-Arms
; trp_crossing_spearman_pl|Crossing Men-at-Arms
; trp_sarsfield_archer|Mounted Sarsfield Archer
; trp_sarsfield_archer_pl|Mounted Sarsfield Archers
; trp_banefort_two_hander|Banefort Two-Hander
; trp_banefort_two_hander_pl|Banefort Two-Handers
; trp_casterly_rock_man_at_arms|Casterly Rock Man-at-Arms
; trp_casterly_rock_man_at_arms_pl|Casterly Rock Men-at-Arms
; trp_lannisport_spearman|Lannisport Spearman
; trp_lannisport_spearman_pl|Lannisport Spearmen
; trp_runestone_squire|Runestone Squire
; trp_runestone_squire_pl|Runestone Squires
; trp_longbow_hall_archer|Longbow Hall Archer
; trp_longbow_hall_archer_pl|Longbow Hall Archers
; trp_marcher_longbowman|Marcher Longbowman
; trp_marcher_longbowman_pl|Marcher Longbowmen
; trp_stonehelm_knight|Stonehelm Knight
; trp_stonehelm_knight_pl|Stonehelm Knights
; trp_oldtown_knight|Oldtown Knight
; trp_oldtown_knight_pl|Oldtown Knights
; trp_sailor|Sailor
; trp_sailor_pl|Sailors
; trp_skyreach_skirmisher|Skyreach Skirmisher
; trp_skyreach_skirmisher_pl|Skyreach Skirmishers
; trp_driftmark_spearman|Driftmark Spearman
; trp_driftmark_spearman_pl|Driftmark Spearmen
; trp_port_gold_cloak|Gold Cloak Deserter
; trp_port_gold_cloak_pl|Gold Cloak Deserters
; trp_port_claw_isle_archer|Claw Isle Archer
; trp_port_claw_isle_archer_pl|Claw Isle Archers
; trp_port_tarth_knight|Tarth Knight
; trp_port_tarth_knight_pl|Tarth Knights
; trp_port_tyroshi_corsair|Corsair
; trp_port_tyroshi_corsair_pl|Corsairs
; trp_port_ibben_axeman|Ibben Axeman
; trp_port_ibben_axeman_pl|Ibben Axemen
; trp_port_myrish_crossbowmen|Myrman Crossbowman
; trp_port_myrish_crossbowmen_pl|Myrman Crossbowmen
; trp_port_gulltown_knight|Gulltown Knight
; trp_port_gulltown_knight_pl|Gulltown Knights
; trp_port_wolfswood_champion|Wolfswood Champion
; trp_port_wolfswood_champion_pl|Wolfswood Champions
; trp_port_elyrian_javelinmen|Elyrian Javelinman
; trp_port_elyrian_javelinmen_pl|Elyrian Javelinmen
; trp_port_dothraki_sellswords|Dothraki Sellsword
; trp_port_dothraki_sellswords_pl|Dothraki Sellswords
; trp_port_rainwood_axemen|Rainwood Axeman
; trp_port_rainwood_axemen_pl|Rainwood Axemen
; trp_port_kingswood_archers|Kingswood Archer
; trp_port_kingswood_archers_pl|Kingswood Archers
; trp_long_lances_lancer|Long Lances Lancer
; trp_long_lances_lancer_pl|Long Lances Lancer
; trp_company_of_the_cat_infantry|Company of the Cat Man-at-Arms
; trp_company_of_the_cat_infantry_pl|Company of the Cat Men-at-Arms
; trp_company_of_the_cat_pikeman|Company of the Cat Pikeman
; trp_company_of_the_cat_pikeman_pl|Company of the Cat Pikeman
; trp_company_of_the_cat_archer|Company of the Cat Archer
; trp_company_of_the_cat_archer_pl|Company of the Cat Archers
; trp_company_of_the_cat_spearman|Company of the Cat Spearman
; trp_company_of_the_cat_spearman_pl|Company of the Cat Spearmen
; trp_windblown_infantry|Windblown Man-at-Arms
; trp_windblown_infantry_pl|Windblown Men-at-Arms
; trp_windblown_pikeman|Windblown Pikeman
; trp_windblown_pikeman_pl|Windblown Pikemen
; trp_windblown_crossbowman|Windblown Crossbowman
; trp_windblown_crossbowman_pl|Windblown Crossbowmen
; trp_windblown_lancer|Windblown Lancer
; trp_windblown_lancer_pl|Windblown Lancers
; trp_windblown_archer|Windblown Archer
; trp_windblown_archer_pl|Windblown Archers
; trp_golden_company_knight|Golden Company Knight
; trp_golden_company_knight_pl|Golden Company Knights
; trp_golden_company_squire|Golden Company Squire
; trp_golden_company_squire_pl|Golden Company Squires
; trp_golden_company_archer|Golden Company Archer
; trp_golden_company_archer_pl|Golden Company Archer
; trp_golden_company_man_at_arms|Golden Company Man-at-Arms
; trp_golden_company_man_at_arms_pl|Golden Company Men-at-Arms
; trp_lance_starter|Sellsword Spearman
; trp_lance_starter_pl|Sellsword Spearmen
; trp_lance_infantry_1|Sellsword Pikeman
; trp_lance_infantry_1_pl|Sellsword Pikemen
; trp_lance_infantry_2|Veteran Sellsword Pikeman
; trp_lance_infantry_2_pl|Veteran Sellsword Pikemen
; trp_lance_infantry_3|Elite Sellsword Pikeman
; trp_lance_infantry_3_pl|Elite Sellsword Pikemen
; trp_lance_infantry_4|Sellsword Halberdier
; trp_lance_infantry_4_pl|Sellsword Halberdiers
; trp_lance_infantry_5|Veteran Sellsword Halberdier
; trp_lance_infantry_5_pl|Veteran Sellsword Halberdiers
; trp_lance_archer_1|Sellsword Archer
; trp_lance_archer_1_pl|Sellsword Archers
; trp_lance_archer_2|Veteran Sellsword Archer
; trp_lance_archer_2_pl|Veteran Sellsword Archers
; trp_lance_archer_3|Elite Sellsword Archer
; trp_lance_archer_3_pl|Elite Sellsword Archers
; trp_lance_archer_4|Sellsword Crossbowman
; trp_lance_archer_4_pl|Sellsword Crossbowmen
; trp_lance_archer_5|Sellsword Skirmisher
; trp_lance_archer_5_pl|Sellsword Skirmishers
trp_bandit_n_black_khergit_horseman|Cavalier noir Khergit
trp_bandit_n_black_khergit_horseman_pl|Cavaliers noirs Khergits 
trp_bandit_n_manhunter|Chasseur de prime
trp_bandit_n_manhunter_pl|Chasseurs de prime
trp_bandit_n_slave_driver|Meneur d'esclaves
trp_bandit_n_slave_driver_pl|Meneurs d'esclaves
trp_bandit_n_slave_hunter|Chasseur d'esclaves
trp_bandit_n_slave_hunter_pl|Chasseurs d'esclaves
trp_bandit_n_slave_crusher|Bourreau d'esclaves
trp_bandit_n_slave_crusher_pl|Bourreaux d'esclaves
trp_bandit_n_slaver_chief|chef esclavagiste
