str_no_string|NO STRING!
; str_npc28_rehire_speech|I guess I'll join you again.
str_npc1_home_intro|{playername}! Queste sono le rovine infestate di Harrenhal!
str_npc2_home_intro|Ci stiamo avvicinando Pentos. Ecco dove ero diretto quando quel demone dalle orecchie enormi ha preso la mia nave!
str_npc3_home_intro|Lo sentite quest'odore? Alberi di limone, mele e fiori di ciliegio, il profumo di Oldtown. Ho passato tante estati felici qui quand'ero giovane, giocando nei prati con la famiglia di mia madre mentre mio padre era via per combattere come mercenario.
; str_npc4_home_intro|Ah, Volantis. Astapor is certainly the greatest city in the world, but I concede that Volantis has a certain charm. At least the slaves of this place knows to respect the old blood.
; str_npc5_home_intro|{playername}! That over there is the pool that Florian saw Jonquil and the six maidens bathe themselves in!
str_npc6_home_intro|Guardate, {playername}! Quello è il grande castello di Casterly Rock, residenza dei Lannister!
str_npc7_home_intro|Guardate, {playername}, su quella collina! Sono le torri gemelle del castello dei miei nonni!
; str_npc8_home_intro|Hmf. Do you hear that? The silence and the gulls. Do you see the desolation and the bleakness? We're close to the Fingers, the most godforsaken place in the world.
str_npc9_home_intro|Eccola! La baia di Braavos, la più puzzolente, sporca, brutta tra tutte le baie!
; str_npc10_home_intro|D'you smell that fresh air, {playername}? This was my home, before I went in search of coin and battles, in that order. It's good to be up close to the river again. It's the smell of freedom. This is the cradle of Dorne, here at the outskirts of Planky Town.
str_npc11_home_intro|Vedo le montagne. Dobbiamo essere vicino a casa.
str_npc12_home_intro|Stiamo passando per il posto in cui ho ottenuto i miei migliori trionfi in medicina, se v'interessa.
; str_npc13_home_intro|Ah, the ruins of Castamere! Such a lovely castle it once was, supposedly, at the foot of the Mountains. I'm sure you're familiar with the tale of Lord Reyne? You have, without a doubt, heard that song Lord Tywin had made after his destruction of the castle.
str_npc14_home_intro|Vedete quella città lassù, oltre la valle? Norvos? Ho passato qui un inverno qualche anno fa, cercando di addestrare alle armi gli uomini del posto.
str_npc15_home_intro|Vedete quel castello in cima alla collina? Viene chiamato castello Ten Towers. Ho lavorato lì per un po', non troppo tempo fa. Alla vista non è imponente come altri castelli del regno, ma è costruito con la più bella pietra che io abbia mai visto.
str_npc16_home_intro|Ecco, {playername}, vedede quelle? Queste sono le pietre di Re Mud. Siamo vicini al luogo dove sono nato.
; str_npc17_home_intro|Tyrosh... One of the few cities where I haven't been run out by an enraged magister and his dirty guard.
str_npc18_home_intro|Devo avvertirvi, {playername}. Dietro queste colline si trova Blackhold, il villaggio da dove sono scappato.
; str_npc19_home_intro|'In the darkness, smoke falls like rain! The flames are cold!' An old man once told me that. Ah, I have no idea what it means.
str_npc20_home_intro|Sorrows... Casa dei banditi, ma anche di molto, molto peggio.
; str_npc21_home_intro|Ah, my friend: the town of Lys. The place my forefather nearly burned to the ground.
str_npc22_home_intro|Guardate {playername}! Vulture's Roost!
str_npc23_home_intro|Guardate {playername}! Winterfell!
; str_npc24_home_intro|Look {playername}! That's Chelsted!
str_npc25_home_intro|Guardate {playername}! Ho già visto questo posto! GIOCATE CON I TESCHI!
; str_npc26_home_intro|{playername}, that over there is the Whispers.
; str_npc27_home_intro|Ah, the Dreadfort. Or, well, most people would run screaming from this place. Not go 'ah', as if they're awed by it. Though I guess you would be awed by the Dreadfort, it's big. Nasty place though.
; str_npc28_home_intro|That's Tumbleton over there. Dreadful place. The whores are old, the wine older and the dice filled with lead.
; str_npc1_home_description|Truth be told, the stories of Harrenhal are vastly exaggerated. The ghosts of Harren the Black and his sons haunting the castle, engulfed in flames, and mad lady Lothston sending out bats to bring home naughty children for her cookpots, bah!.
; str_npc2_home_description|People say that the Pentoshi are a bunch of treacherous money-grubbers, but they have a good head for trade, if you ask me. They make the people up and down the coast grow flax, which they weave here into linen. It can't compete with Volantene silks and velvets as a luxury fabric, but it makes good summertime wear and you can use it for the sails of ships. More importantly, linen was one of the few goods that someone else in Essos wasn't already making, if you can believe that.
str_npc3_home_description|Oldtown vive di inverni bagnati ed estati calde, ma la gente qui costruisce grandi cisterne d'acqua per le colture. Coltivano viti, il vino di Oldtown è famoso, {signore/signora}... E chi può permetterselo costruisce giardini, dove alberi da frutto crescono in abbondanza, e in cui noi passiamo le serate ascoltando musica, giocando a scacchi o, più semplicemente, apprezzando i profumi dell'aria notturna.
; str_npc4_home_description|While my house has never traded extensively with the Volantenes, I still think favorably of them. They know how keep their filthy slaves in check! And they train the best sluts outside of Lys. I myself once had the pleasure of experiencing a whore trained in the ways of the seven sighs. What a night, though her cunt was much too used for my taste.
; str_npc5_home_description|Imagine that! Riding along from tourney to tourney, never loosing a match, and on top of that, you spot the fairest maidens in the land, naked as the day they where born!
str_npc6_home_description|Che vista impossinante! Ho visto molti dei castelli di Westeros, ma non ne ho mai visto uno paragonabile a questo!
; str_npc7_home_description|Look at those high walls, and well-guarded crenelations. Truly, the Crossing is one of the greatest castles in Westeros! I used to swim in that river as a child, and I had my first woman in those trees over there.
; str_npc8_home_description|You haven't heard of this place? No surprise. The Fingers is the most remote part of the Vale of Arryn, and while they might have been somewhat pleasant once, they certainly are not today. During one of the frequent wars between the King in the North and the King of Mountain and Vale, a northern army landed on The Fingers, and systematically raped, pillaged and burned everything in sight. The Fingers have been a desolate place ever since.
; str_npc9_home_description|The Braavosi is a vile bunch, all of them descended from slaves, none of them washing more than once a day. Hmf, I shudder to even think of it. And they don't allow slavery! Even impossed it on Pentos, in that war they won through treachery and deceit!
; str_npc10_home_description|In the days of my ancestors, when Valyria still ruled the world, the Rhoynar led an army against the dragonlords. They were utterly obliterated, and so Queen Nymeria sailed, with all her people, across the Narrow Sea and landed in Dorne, where she took Mors Martell as her husband and brought all of Dorne under their joint rule.
; str_npc11_home_description|I'm from a small village close to Horn Hill. You know the saying, {playername} -- 'Barley grown in Horn Hill is made into ale in Oldtown, and we're all the better for it.' Not sure what that means, {playername}, but it's true about the barley. And wheat, and oats. We grow more grain here in the shadow of the Tarlys than all the rest of Westeros put together, and our ale is the best, too. You can see it in the soil here -- rich and black, and smells of good harvests and full bellies.
; str_npc12_home_description|The old knight of Stonedance, Ser Meribald Massey, had the dropsy, and had requested a maester from Oldtown to treat him. Like a typical citadel-educated healer, he went right to Ellendor for a cure. Ellendor recommends mercury for dropsy. Now, most of Ellendor's writings were useless back in the days of the Targaryen kings, when they were first written down, and they're doubly worthless today, but sometimes he hits upon the right cure by chance: mercury does cure some kinds of dropsy in small doses. However, mercury in large doses is poison, something that the Ellendor-worshippers never grasped.
; str_npc13_home_description|They say lord Tywins father was a foolish and weak man. Though they do not say that to Tywin Lannister. Anyhow, the lords Reyne and Tarbeck rebelled against their liege lord, though I forget why. Probably due to some silly thing, like a woman or gold.
; str_npc14_home_description|I say 'trying' because in my opinion, Norvoshi don't take well to discipline. Finest archers you ever saw, and good riders too, but they have no stomach for fighting in ranks. Their skills serve them well enough against brigands and sellswords, particularly when they can hide behind walls, but the Dothraki can match them arrow for arrow, and I've seen a khalasar cut through their infantry like a knife through butter.
; str_npc15_home_description|Like most castles that last around here, it's got foundations that are as old as the land itself. You can't see them any more with all the rebuilding, but the slabs are the size of a house. They must have utilized giants back in those days, because I don't see how they moved those things otherwise. Beautiful location, too -- Ten Towers sits right in front of the mines of Harlaw, which allows the lord to charge a pretty penny in tolls.
; str_npc16_home_description|Supposively, those stones where set up by old king Mudd, who ruled the Riverlands thousands of years ago. He was supposed to be unbeatable in battle, but he lost his last one. Took an arrow through the nose. His castle was named... well, no one knows, but we call the remains Oldstones.
; str_npc17_home_description|Before I met you, I travelled for a few months through Essos. Lords and ladies flocked to hear me sing! But alas, the rulers of the Free Cities are a jealous bunch! They always found some reason to throw me out of their manses, be it my beautiful voice or the effect I had on their beautiful daughters.
; str_npc18_home_description|It used to be a prosperous place amidst the rocks. We all respected and loved our village elder, like he deserved. He always traveled hence and forth between the neighboring villages, to improve our standing. One day he had forgotten something, and returned early, only to find his wife in bed with a large thrall. Immediately he swung his sword and killed them both.
; str_npc19_home_description|The same man sold me an excellent manticore shell though, so it was not an entirely useless discovery.
; str_npc20_home_description|These are the ruins of Chroyane, the Festival City. That over there is the Bridge of Dreams, and the large palace, or the ruins of a large palace, is the former Palace of Love. Chroyane was the pride of the Rhoynar.
; str_npc21_home_description|I hear that the Lyseni still hold an annual offering, to celebrate the fact that the entire city did not perish in that dreadful fire. Truly, wildfire is demon work.
; str_npc22_home_description|Vulture's Roost was the seat of the Vulture King. He rose up in rebellion during the reign of Daeron the Second, proclaiming himself king.
; str_npc23_home_description|Winterfell has been the seat of the Starks for thousands of years. Bran the Builder raised it with the help of magic and crowned himself the first King in the North.
; str_npc24_home_description|People say this is where Aemon the Dragonknight was born! And my uncle used to tell me how Garth Greenhand was buried beneath our farm!
; str_npc25_home_description|Where do I know this place from, {playername}? What are we doing here?
; str_npc26_home_description|It's where the Kings of Crackclaw Point used to have their seat. Some of the smallfolk tell a silly story about wizards, severed heads and giant knights when they hear about the place.
; str_npc27_home_description|The Boltons arguably have a reputation that's worse than reality, but that Roose... and his bastard... they're not very nice people is what I'm getting at.
; str_npc28_home_description|But that's to be expected. The people still wail over the Sack. And it's been almost two hundred years! To hear the locals tell it, 'twas only a fortnight ago that the Betrayers descended on the town with their dragons.
; str_npc1_home_description_2|Still, there's no denying that every house to hold the castle has met with an unfortunate end. House Hoare, Qoherys, Strong, Harroway, Lothston are all gone, and I hear that lady Whent has died as well. Murdered, more like it, when the Lannisters took the castle. Yes, the castle might not be haunted, but it's a bad place even so, {playername}.
; str_npc2_home_description_2|I had loaded up on saffron, cinnamon, cloves, peppers and other spices and a chest full of fine Arbor vine. I estimated that I could buy linens, furs, velvet, iron and wool, and the extra ships to carry them back, and I'd still make a profit. I just hadn't figured in lord Stannis, who apparently don't care for the common man.
; str_npc3_home_description_2|The poets call Oldtown the most beautiful city in the world, and I think for once that they do not exaggerate. How could they, with the Citadel, the Starry Sept and the Hightower right in front of them!
; str_npc4_home_description_2|The city is ruled by the elected triarchs, three each year. Ever since the Bleeding Years, and the War of Dominion, the Volantenes have kept to their trade and stayed out of war, in no great part thanks to the squabbling of the triarchs.
; str_npc5_home_description_2|I guess some men are truly favored by the gods. Say, did you ever hear the story about Florian the Fool, and his fair maiden Jonquil? No? I don't believe it, every child in Westeros have heard that tale at one point or another! Florian was a brave and homely knight, who one day spied the fair Jonquil bathing in this very pool. He was so captivated that he set out to slay the King of Cracklaw Point, who had been terrorizing the countryside, to gain her favor. When he finally completed his quest, Jonquils father gave him her hand in marriage, but a year later they where both dead! The King had sons, and they stormed in at the wedding feast, intent on revenge. Florian managed to kill all three of them, but not before Jonquil had been hit by an arrow. Consumed by grief, he fell on his own sword!
; str_npc6_home_description_2|They say that the caverns beneath the keep is filled with weapons, vaults stacked with golden coins and supply rooms filled with years worth of provisions. And look at the surrounding land! Never have I seen such rich grape groves, or such well-tended fields of wheat.
; str_npc7_home_description_2|Truly, these lands are the most prosperous and well-governed in all of Westeros! Oh, did I mention that already? Excuse me, but I feel a special kinship with these rolling hills and deep forests, after all, my father is a trueborn son of lord Walder Frey!
; str_npc8_home_description_2|The singers say that it was in retaliation for King Harrold and his men abducting and raping the bethroted of King Edderion, the one they called The Bridegroom. I don't care either way, but they could have left a few trees to smoother this blasted wind!
; str_npc9_home_description_2|Pah, I can smell that swampy city now, it's like a day old fish that's been raped by a scallop! We better avoid this town, {playername}, one is sure to catch a sudden case of slashed throat if I have to stay near this dirty place.
; str_npc10_home_description_2|Look at how the Orphans sail their painted ships up and down the river. It's customary for the children to meet travellers with songs and dancing, and they are generally a peaceful sort. They mostly trade up and down the river, picking fruits, selling dyes and doing the odd farm job. And the have astonishing knowledge of the healing arts, many of their midwives being more skilled than even the maesters.
; str_npc11_home_description_2|Truth be told, I can't quite remember why I left in the first place. Hah! Of course I can! The whores in these parts are old and wrinkled, and their cunts as dusty as the prison of Jak o' the Shadows, heh. Whatever that means. As I told you, {playername}, this land is old, and many of the sayings are older still. I never understood half of what my father told me, and I suspect that neither did he.
; str_npc12_home_description_2|The difference between poison and cure is the dose. You tell that to everyone you meet, and tell them you heard it first from Brynden the Wise. People think that all the wisdom worth knowing was written in old valyrian, but I say you can learn twice as much from village midwives and careful examination of nature than from the entire Citadel library. That's why they threw me out of the Citadel, although in retrospect that was a blessing. Anyway, I put that lord back on his feet, and he availed me of a sack of gold and the corpse of a freshly hanged criminal to dissect. Ha! To think of the lengths I had to go to get specimens back in those days.
; str_npc13_home_description_2|I think they thought that lord Tytos was so meek he'd just cave over, but they hadn't reckoned with young Tywin. He can't have been more than seventeen at the time! He destroyed their combined armies, and laid siege to Castamere and Tarbeck. When the walls finally fell to his catapults, lady Reyne approached him on her knees, her husband dead, and pleaded for the life of her young sons. Tywin Lannister had their infant bodies put on spikes before her, and then had her executed.
; str_npc14_home_description_2|But that's the usual story in these parts, is it not? These fat magisters, archons and what not, they all fear the khalasars, and cover behind their high walls. If they where to properly train an army of pikemen, with archers and crossbowmen behind them, why, I think the next khal to come by would be in for a surprise.
; str_npc15_home_description_2|And here's the funny thing -- old lord Harlaw was a fickle man, and he changed his designs a dozen times. Ten Towers is actually ten different castles, welded together. Anyhow, despite this, the castle is surprisingly defendable. I imagine that any enemy would have a hard time conquering this particular piece of the Iron Islands.
; str_npc16_home_description_2|Westeros is littered with remnants of the past. Essos too. I guess the world always moves on.
; str_npc17_home_description_2|They don't appreciate talent, those fat fish mongers. Bah!
; str_npc18_home_description_2|The fact that she had cheated on him drove him mad, and he started to demand the strangest things. In the end he took a new girl every night, only to have her hanged in the morning to prevent her being unfaithfull to him. Everyone in the village just let him get away with it! I'd rather stay out of sight when we pass through here, if you won't mind.
; str_npc19_home_description_2|Ever seen a manticore, {playername}? They're supposed to live on an island in the Jade Sea, but the natives refuse to tell us which one.
; str_npc20_home_description_2|When the dragonlords descended on prince Garin, he led more than two hundred thousand men against them. They destroyed his army and took him captive, put him in a golden cage, and mocked him. The continued laughing as he called on Mother Rhoyne to drown the invaders, but when the massive tidal wave descended on the invaders, their laughter ceased. It is said that the spirit of the invaders became the shrouded mist that covers these parts, and that prince Garin became the Shrouded Lord.
str_npc21_home_description_2|Non credo che vedano di buon occhio un Parren in mezzo a loro, mio signore. Dobbiamo andarcene da qui.
; str_npc22_home_description_2|Supposively, he was quite mad, often pretending to be a vulture himself, going around the castle with feathers stuck to his head, and eating rotten meat.
; str_npc23_home_description_2|King Rodrik was the King in the North who challenged the ironborn to a wrestling match over Bear Island. He wrestled a hundred man to the ground, one after the other, until everyone of the reavers where defeated, and left Bear Island. King Rodrik then granted Bear Island to House Mormont, and they've held it as vassals of the Starks ever since.
; str_npc24_home_description_2|And I've heard it told that Jaehaerys the Wise called this the most beautiful village in all the realm! And my uncles used to tell me the tale of how the remains of Vermithor, the great wyrm called the Bronze Fury, was buried under that large hill over there!
str_npc25_home_description_2|Chi sono io!
; str_npc26_home_description_2|But the Whispers are not named after whispering heads. The sound comes from the sea flooding the caves beneath the cliffs.
; str_npc27_home_description_2|Roose always kept tidings from reaching the Starks, but the houses closer to the Dreadfort heard the stories. But what could we do, rebel against our overlords?
; str_npc28_home_description_2|Sure, the Sack was horrible, but it's been a generations since the last person lived who could remember it, so I say they'd ought to get over it!
str_npc1_home_recap|Sono nato in un piccolo villaggio vicino a Summerhall, {playername}
; str_npc2_home_recap|I was born in Duskendale, {playername}, a couple of years before that dreadful defiance business. My entire family was away when lord Darklyn rebelled, else I would not have been here today. Say what you will of Lord Tywin, but if you're going to defy him, you better have an army at your back.
; str_npc3_home_recap|I used to live in my father's house in Oldtown, but I spent much of my childhood in the rivers and the sea, swimming.
; str_npc4_home_recap|My ancestral and glorious home lies in Astapor, looking out over the Bay of Grief, towards the smoking ruins of Valyria.
str_npc5_home_recap|Sono nato nella bassa pianura del Reach, vicino a Goldengrove.
str_npc6_home_recap|La mia famiglia vive vicino a Barrowton, ma dubito vogliano avere a che fare con me.
str_npc7_home_recap|Sono nato in un tugurio nelle paludi, non lontano da {s21}.
; str_npc8_home_recap|I was born on one of the islands adjacent to The Paps. Imagine that, being born on an island less important than The Paps...
str_npc9_home_recap|Io vengo dalla potente città di Pentos, sicuramente la più pulita tra tutte le Città Libere!
; str_npc10_home_recap|Born and raised in the hills surrounding the Greenblood, {playername}, and I hope to settle down there one day, perhaps in a small manse.
; str_npc11_home_recap|I was born in a small, and I say that with an emphasis, village close to Horn Hill. That makes me a full-blooded reachman, if nothing else.
; str_npc12_home_recap|Oh, my father was a very minor knight, in service to house Crane. Lived most of my life in Oldtown, but now I travel the world in search of medical lore.
str_npc13_home_recap|Oh, sono effettivamente nato a Ashford, {playername}, anche se con padre sono cresciuto a Standfast.
str_npc14_home_recap|Sono il figlio più giovane di Khal Ogo.
; str_npc15_home_recap|I'm from Braavos. But Westeros is where the money is to be made, these days, if your trade is siegecraft.
; str_npc16_home_recap|Why, {playername}, I was born in Fairmarket, but my father lost his land to a scheming relative and had to put himself in bond to a nearby lord. That's how I became a squire, a way too soothe my father in his sorrow over loosing our old keep.
str_npc17_home_recap|Vengo dalla corte di Lys, ma non ci sono più stato da quando ero ragazzo.
str_npc18_home_recap|Sono scappata da Blackhold, dove l'anziano del villaggio terrorizzava le donne.
; str_npc19_home_recap|I was born in the Queen of Cities. Qarth!
str_npc20_home_recap|Sono stato impiegato in tutta Essos, sia come guardia che come mercenario.
; str_npc21_home_recap|My father's servant left me as a young boy in Rhaggat Eveth before dropping dead.
str_npc22_home_recap|Sono nato ad Approdo del Re, ma la mia vera casa è a Cargyll Keep.
str_npc23_home_recap|Suppongo che vi chiamerò di nuovo.
; str_npc24_home_recap|My home is Chelsted.
str_npc25_home_recap|Così dolce la carne, così dolce il bambino. Per scolpire, per mangiare, le strisce sono così rosse...
; str_npc26_home_recap|None of your business.
; str_npc27_home_recap|I was born in a small holdfast in the Lonely Hills.
str_npc1_honorific|{playername}!
str_npc2_honorific|{playername}!
str_npc3_honorific|{playername}!
str_npc4_honorific|{playername}!
str_npc5_honorific|{playername}!
str_npc6_honorific|{playername}!
str_npc7_honorific|{playername}!
str_npc8_honorific|{playername}!
str_npc9_honorific|{playername}!
str_npc10_honorific|{playername}!
str_npc11_honorific|{playername}!
str_npc12_honorific|{playername}!
str_npc13_honorific|{playername}!
str_npc14_honorific|{playername}!
str_npc15_honorific|{playername}!
str_npc16_honorific|{playername}!
str_npc17_honorific|{playername}!
str_npc18_honorific|{playername}!
str_npc19_honorific|{playername}!
str_npc20_honorific|{playername}!
str_npc21_honorific|{playername}!
str_npc22_honorific|{playername}!
str_npc23_honorific|{playername}!
str_npc24_honorific|{playername}!
str_npc25_honorific|{playername}!
str_npc26_honorific|{playername}!
str_npc27_honorific|{playername}!
str_npc28_honorific|{playername}!
; str_npc1_kingsupport_1|That's a great idea, {playername}. All these merchants and archons and magisters who rule now, with their prisons and gibbets and scaffolds, the whippings and brandings and hangings for any man who might be driven by the crying of his children to steal a loaf of bread, or maybe a horse -- This realm deserves something better.
str_npc2_kingsupport_1|Bene {playername}, vi offro il mio sostegno. Penso che darete a questo mondo il tipo di governo illuminato di cui da tanto tempo ha bisogno.
str_npc3_kingsupport_1|Beh, mio signore... Io mi preoccuperei per voi stesso... Le nostre cronache ci dicono che il potere tende a corrompere. Ma alla fine, mi conforta la misericordia e il giudizio che avete dimostrato come Comandante di questa Compagnia.
str_npc4_kingsupport_1|Beh, Comandante, credo che sareste il tipo di {Re/Regina} che un gentiluomo nato, come son io, sarebbe fiero di seguire in battaglia...
str_npc5_kingsupport_1|Una bella idea, {playername} - voi avete dimostrato di saper governare gli uomini. Badate di governarli con giustizia, anche se...
str_npc6_kingsupport_1|Non posso giudicare la fondatezza giuridica della vostra richiesta. Tuttavia, credo che a differenza degli altri re qui, avete la capacità di unificare questa terra, e che potreste porre termine a queste guerre senza fine, tra regno e regno, tra nobile e nobile, e fratello contro fratello, che ci hanno portato tutti in disgrazia agli occhi del cielo.
str_npc7_kingsupport_1|Si, lo farò volentieri. Voi sapete come trattare banditi e ruffiani.
; str_npc8_kingsupport_1|The tale of Aegon the Conquerer tells us that a man who does great deeds, beyond those of the other men of his time, may claim the throne. I'd say that you could make that claim.
; str_npc9_kingsupport_1|Very good, {my lord/my lady}. I'm a Pentoshi by blood, but the magisters never stood for me when I was cheated of my inheritance. So I don't owe them anything, and I say, 'Let the rule go to the most valiant!' Which would be you, {playername}.
str_npc10_kingsupport_1|Beh, {playername}, suppongo che debbano esserci {Re/Re e Regine}, e se devono esserci {Re/Re e regine}, allora voi potreste essere {un Re buono come un altro/una Regina buona come un'altra}...
str_npc11_kingsupport_1|Questa si che è una bella idea, {playername}! Suppongo che dovrò imparare a chiamarvi 'Maestà', o 'Vostra Grazia', quindi...
str_npc12_kingsupport_1|Sono sicuro che voi potreste essere un buon Re, {playername}. Mi reputo d'essere un buon giudice del carattere altrui, e voi avete dimostrato di possedere un carattere compassionevole che supera di gran lunga quello di questi altri che si definiscono monarchi.
; str_npc13_kingsupport_1|That would be a fine thing, village 114! Many is the tale of the hero who has proven his worthiness to wear a crown through valor. Perhaps you know the song of Rand, son of Tam, who rose from obscurity to become king of the whole world. A splendid tale!
str_npc14_kingsupport_1|Beh, signore, i Cieli hanno istituito una gerarchia in questo mondo, e normalmente non vorrei avere niente a che fare con un suo sconvolgimento. Ma penso anche che i Re di queste terre siano deboli e mi dispiace molto, non è dignitoso per un Re, e questo lascia la corona libera di essere presa dal miglior {uomo/governante}, uno come voi.
str_npc15_kingsupport_1|Beh, voi pagate i vostri uomini in tempo, quando potete, parlando in linea generale. Questa è la miglior qualifica che esiste per la regalità, nel mio libro. Voi mostrate abbastanza rispetto per i diritti degli altri.
str_npc16_kingsupport_1|Perché no, {playername}? Sono sicuro che sareste {un buon Re/una buona Regina}, e certamente spero che vi ricorderete della piccola gente come me che ha fatto il possibile per la vostra scalata al trono.
str_npc17_kingsupport_1|Non vi preoccupate, sareste {un ottimo re / una ottima regina}.
str_npc18_kingsupport_1|Siete sempre stato così gentile: Penso che sareste un buon sovrano.
; str_npc19_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc20_kingsupport_1|As long as you praise the Heavens, nothing will stand in your way. I think you'd be a fine ruler.
; str_npc21_kingsupport_1|As a noble myself I can recognize royalty in an instant, and I dare say you are one of the finest I've met.
; str_npc22_kingsupport_1|Don't tell me you want to be one of them... But well, maybe you'd do better and be more sensible.
str_npc23_kingsupport_1|Siete sempre stato solo. Penso che sareste un buon sovrano.
str_npc24_kingsupport_1|Siete sempre stato solo. Penso che sareste un buon sovrano.
str_npc25_kingsupport_1|Come hai fatto a trovarmi?
str_npc26_kingsupport_1|Non mi interessa.
; str_npc27_kingsupport_1|You've always been just. I think you'd make a fair ruler.
; str_npc28_kingsupport_1|You've always been just. I think you'd make a fair ruler.
str_npc1_kingsupport_2|Certo, {playername}. Ma lasciatemi dire cosa potrebbe portare gli altri dalla vostra parte, in particolare la gente povera come me. Loro dicono che ai vecchi tempi, ogni nuovo imperatore, salendo al trono, decretava un'amnistia per tutti i prigionieri, dando alla gente una seconda possibilità... Come voi avete fatto con me, {playername}.
str_npc2_kingsupport_2|La maggior parte dei lord di questa terra... Bene, loro non hanno mai tenuto un denaro senza riscattare gli affitti o saccheggiare. Voi, d'altra parte, avete una certa esperienza nel commercio, dei rischi legati ad assicurarsi di non far morire di fame gli abitanti di Pentos mentre c'è abbondanza di cereali a Braavos, per farvi un esempio.... Se vi va bene, {playername}, ho trovato qualche supporto nei mercanti e nei borghesi di questo regno.
; str_npc3_kingsupport_2|I would, my lord. But I think it would help if you announced an a great tourney once your rule is secure.
str_npc4_kingsupport_2|Certamente,  {playername}. Il trucco sta nel farvi seguire. Come sapete, la discendenza di una persona è un fattore determinante per il rispetto. Forse avete un antenato di cui non sono a conoscenza?
; str_npc5_kingsupport_2|Aye, {playername}, I would. But there is something I should say, on behalf of the men of the Reach such as myself. It would bring great joy to us, to hear from the lips of one who would be khan, that you would restore an anicent right. From the days of the old Gardener kings, the men of the Reach have enjoyed the right to bring their flocks to new pastures or to market, which necessarily involves the crossing of lands owned by the great lords of this realm.
str_npc6_kingsupport_2|Lo vorrei. Vorrei dire a chiunque delle vostre gesta a nome dei deboli e degli indifesi, della vostra capacità di condurre gli uomini anche con poche possibilità di successo e dirgli che se diventerete {re/Regina}, ci sarà una legge e un po' di pace -- dal deserto di Dorne alle coste di Braavos, dal mare dothraki alla Barriera.
str_npc7_kingsupport_2|Sì, {playername}, lo vorrei. Un dovere di {un Re/una Regina} è quello di tenere al sicuro le strade per il popolo, fare in modo che una donna possa andare a raccogliere la legna da ardere o attingere l'acqua senza preoccuparsi che uno schifoso fuorilegge possa avvicinarsi. Comunque, avete spaccato un bel po' di crani di banditi. Gli uomini avrebbero paura anche di incrociare lo sguardo di una donna se voi foste {Re/Regina}.
str_npc8_kingsupport_2|Lo vorrei... Ad una condizione. Siate Re di Westeros  o Essosd o ovunque vogliate, una volta c'era una regola: Se qualcuno subisce un torto da un'altra persona per le terre, il bestiame o qualsiasi cosa dovete far risolvere la questione con la spada, che sia il Cielo a decidere chi sta nel giusto.
; str_npc9_kingsupport_2|I would, {playername}, and others would too. But here's what I think -- you need to show the noble lords that you'll uphold their ancient rights. Right now, the world's a mess -- the lord owns the land, except it's the prince who owns the forest, but the city has the right to levy tax at its gates, and the commons can use the pastures on odd days, except in Qohor when it's the fifth day. Who can remember? So I say you make things simple, like it was in the days of The Freehold -- first the prince, then the lords, then everyone else.
str_npc10_kingsupport_2|Senza dubbio, {playername}. Ma vi chiedo di prendere in considerazione un mio pensiero. Se diverrete {Re/Regina}, dovreste aprire un tribunale anche per le persone comuni, e non solamente per i nobili di sangue blu. Un uomo deve poter essere giudicato e condannato, ed avere il diritto di conferire direttamente con voi. Al momento, solo i lord hanno questo diritto, diritto, quando invece ogni uomo nel regno dovrebbe averlo.
str_npc11_kingsupport_2|Certo che lo vorrei! Fatemi vedere le vostre mani, c'è... Aha! Voi avete il 'Marchio dei Re'. Così viene chiamato a Horn Hill. Ho sentito che a Suno viene chiamato la 'Linea dell'Imperatore', ma chiamano tutto in modo differente da quelle parti... In ogni caso, il vostro segno è molto lungo... Direi che voi siete destinato a promulgare leggi! È il vostro destino! Credo di poter recuperare un'antica profezia. Hmm, com'era...
str_npc12_kingsupport_2|Certamente, comandante. Ma se io ho imparato qualcosa nei miei viaggi, è che il popolo di Calradia è pignolo. Tutto dovrà essere fatto come ai tempi del vecchio impero... Anche se solo uno su cento di loro sa leggere le vecchie cronache! I mercanti di Veluca fanno sposare le loro figlie secondo il rito 'imperiale'. I pastori di vacche di Rivacheg preparano il burro 'imperiale'. E, naturalmente, tutti i re devono essere incoronati secondo la legge 'imperiale'.
str_npc13_kingsupport_2|Certo. Inoltre, come impariamo dal racconto di Rand, quando reclamiamo un trono, non fa mai male comporre un poema epico, recitando i propri atti. Come certamente saprete, mi vanto di essere uno straordinario compositore poetico.
; str_npc14_kingsupport_2|I would indeed, {playername}. I think you can unite this land, and then we'll be able to raise an army such as the world has not seen for many generations -- Pikemen, archers, heavy cavalry, and utterly crush all resistance!
str_npc15_kingsupport_2|Lo vorrei. La gente potrebbe dire che voi non avete sangue reale nelle vostre vene. Ma per quel che ho visto, il sangue reale rende tirchi. Re e nobili si fanno fare prestiti o costruiscono in Calradia senza pensare che c'è chi muore di fame dopo un'onesta giornata di lavoro. È la parola che fa di {un uomo/una donna} {un Re/una Regina}, non una discendenza reale.
str_npc16_kingsupport_2|Certo, {mio signore/mia signora}. E per di più, ho servito per molto tempo i signori di questa terra. Forse ho avuto un piccolo ruolo in questi anni, ma credo di sapere cosa vogliano. E dato che conosco i loro segreti non credo che m'impediranno l'accesso alle loro sale, non credete?
